time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,2784.44,0.0,0.0,2784.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,2760.95,0.0,0.0,2760.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,2737.56,0.0,0.0,2737.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,2726.52,0.0,0.0,2726.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,2645.42,0.0,0.0,2645.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,2620.51,0.0,0.0,2620.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,2632.07,0.0,0.0,2632.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,2636.96,0.0,0.0,2636.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,2559.61,0.0,0.0,2559.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,2439.82,0.0,0.0,2439.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2946.37,2362.4
2011-01-18,0.0,2447.91,0.0,0.0,2447.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2909.01,2332.45
2011-01-19,0.0,2518.4,0.0,0.0,2518.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2882.09,2310.87
2011-01-20,0.0,2400.9,0.0,0.0,2400.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2844.72,2280.9
2011-01-21,0.0,2421.35,0.0,0.0,2421.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2810.85,2253.74
2011-01-24,0.0,2359.33,0.0,0.0,2359.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2779.09,2228.28
2011-01-25,0.0,2317.88,0.0,0.0,2317.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2745.5,2201.35
2011-01-26,0.0,2379.8,0.0,0.0,2379.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2717.5,2178.89
2011-01-27,0.0,2415.26,0.0,0.0,2415.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2692.89,2159.16
2011-01-28,0.0,2438.02,0.0,0.0,2438.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2679.39,2148.34
2011-01-31,0.0,2454.25,0.0,0.0,2454.25,0.0,0.0,2821.58,2534.85,2248.11,0.0,0.0,0.0,2,2680.99,2149.63
2011-02-01,0.0,2481.42,0.0,0.0,2481.42,0.0,0.0,2783.15,2519.7,2256.24,0.0,0.0,0.0,2,2684.71,2152.61
2011-02-09,0.0,2469.54,0.0,0.0,2469.54,0.0,0.0,2744.76,2505.13,2265.49,0.0,0.0,0.0,2,2679.29,2148.26
2011-02-10,0.0,2542.24,0.0,0.0,2542.24,0.0,0.0,2711.03,2495.36,2279.69,0.0,0.0,0.0,2,2694.98,2160.84
2011-02-11,0.0,2552.92,0.0,0.0,2552.92,0.0,0.0,2676.91,2486.68,2296.45,0.0,0.0,0.0,2,2709.58,2172.55
2011-02-14,0.0,2600.03,0.0,0.0,2600.03,0.0,0.0,2667.98,2484.41,2300.85,0.0,0.0,0.0,2,2736.3,2193.97
2011-02-15,0.0,2611.06,0.0,0.0,2611.06,0.0,0.0,2666.14,2483.94,2301.73,0.0,0.0,0.0,2,2768.84,2220.06
