time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3963.74,4142.81,4168.72,3948.29,204.32,5.19,1367.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,4113.08,4140.96,4190.26,4094.15,-1.85,-0.04,1172.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,4146.99,4170.51,4199.72,4111.95,29.55,0.71,872.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,4171.38,4172.73,4277.68,4141.2,2.22,0.05,1290.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,4179.29,4081.35,4246.4,4070.35,-91.38,-2.19,935.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,4070.41,4188.96,4201.97,4059.2,107.61,2.64,1023.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,4201.21,4237.77,4296.42,4174.04,48.81,1.17,1216.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,4244.37,4192.17,4267.72,4183.08,-45.6,-1.08,688.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,4171.03,4169.06,4196.08,4129.01,-23.11,-0.55,678.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,4128.63,3903.9,4148.09,3888.18,-265.16,-6.36,938.9,0.0,0.0,0.0,0.0,0.0,0.0,2,4595.42,3684.62
2011-01-18,3883.62,3875.43,3929.97,3854.58,-28.47,-0.73,634.81,0.0,0.0,0.0,0.0,0.0,0.0,2,4565.75,3660.82
2011-01-19,3873.94,3962.29,3968.4,3834.51,86.86,2.24,707.21,0.0,0.0,0.0,0.0,0.0,0.0,2,4545.91,3644.92
2011-01-20,3953.76,3808.41,3961.06,3807.22,-153.88,-3.88,717.02,0.0,0.0,0.0,0.0,0.0,0.0,2,4505.72,3612.69
2011-01-21,3799.03,3878.07,3989.6,3794.96,69.66,1.83,948.63,0.0,0.0,0.0,0.0,0.0,0.0,2,4473.01,3586.47
2011-01-24,3882.47,3864.96,3920.24,3828.75,-13.11,-0.34,685.89,0.0,0.0,0.0,0.0,0.0,0.0,2,4448.99,3567.21
2011-01-25,3848.36,3848.43,3903.34,3817.61,-16.53,-0.43,477.05,0.0,0.0,0.0,0.0,0.0,0.0,2,4411.19,3536.9
2011-01-26,3846.33,3894.67,3896.43,3845.53,46.24,1.2,404.37,0.0,0.0,0.0,18.45,17.95,19.46,2,4373.11,3506.37
2011-01-27,3799.63,3828.2,3837.75,3709.77,-66.47,-1.71,1157.96,0.0,0.0,0.0,21.31,19.07,25.79,2,4332.71,3473.97
2011-01-28,3825.33,3832.44,3898.57,3791.88,4.24,0.11,1011.96,0.0,0.0,0.0,28.82,22.32,41.82,2,4295.34,3444.02
2011-01-31,3820.68,3844.85,3845.82,3801.77,12.41,0.32,738.84,4310.18,4001.9,3693.62,35.3,26.65,52.62,2,4288.79,3438.76
2011-02-01,3851.43,3859.59,3871.25,3829.24,14.74,0.38,684.78,4294.84,3987.74,3680.63,41.38,31.56,61.03,2,4287.03,3437.35
2011-02-09,3810.42,3771.56,3828.19,3765.54,-88.03,-2.28,724.29,4281.68,3969.27,3656.86,34.95,32.69,39.47,2,4265.86,3420.38
2011-02-10,3770.07,3847.4,3849.04,3756.38,75.84,2.01,805.1,4255.48,3953.11,3650.74,45.1,36.82,61.64,2,4270.19,3423.85
2011-02-11,3839.41,3949.79,3968.82,3825.43,102.39,2.66,1287.79,4227.07,3941.96,3656.86,60.95,44.87,93.12,2,4278.15,3430.23
2011-02-14,3951.29,4052.58,4064.04,3948.49,102.79,2.6,1507.4,4223.09,3940.53,3657.97,72.89,54.21,110.25,2,4298.98,3446.93
2011-02-15,4049.52,4038.87,4087.64,4035.71,-13.71,-0.34,1209.28,4196.09,3933.02,3669.95,77.62,62.01,108.85,2,4320.11,3463.88
2011-02-16,4028.65,4044.32,4044.32,3985.7,5.45,0.13,949.26,4152.99,3923.35,3693.71,80.72,68.25,105.67,2,4336.73,3477.19
2011-02-17,4056.05,4021.23,4057.96,3982.96,-23.09,-0.57,1193.61,4114.56,3914.8,3715.04,80.47,72.32,96.76,2,4358.15,3494.37
2011-02-18,4018.66,3995.22,4054.11,3986.02,-26.01,-0.65,1035.74,4073.34,3906.11,3738.88,77.68,74.11,84.82,2,4376.22,3508.86
2011-02-21,3962.13,4044.71,4044.71,3954.47,49.49,1.24,1030.92,4090.94,3913.15,3735.36,80.8,76.34,89.72,2,4398.4,3526.65
2011-02-22,4045.7,3918.36,4045.7,3911.51,-126.35,-3.12,1548.51,4092.25,3915.3,3738.35,70.16,74.28,61.94,2,4404.93,3531.88
2011-02-23,3901.68,3964.65,3975.65,3901.68,46.29,1.18,1043.01,4092.49,3915.42,3738.34,64.47,71.01,51.4,2,4426.36,3549.06
2011-02-24,3965.31,3991.99,4000.56,3953.75,27.34,0.69,1048.17,4097.52,3924.59,3751.67,59.17,67.06,43.38,2,4442.41,3561.93
2011-02-25,3991.72,3984.19,4001.77,3944.03,-7.8,-0.2,973.4,4103.3,3929.9,3756.5,54.24,62.79,37.13,2,4446.23,3564.99
2011-02-28,3984.5,4010.97,4011.04,3953.7,26.78,0.67,1156.44,4111.34,3937.2,3763.06,59.47,61.68,55.04,2,4441.61,3561.29
2011-03-01,4012.12,4080.08,4111.84,4010.62,69.11,1.72,1698.0,4128.49,3948.78,3769.07,67.94,63.77,76.29,2,4446.18,3564.96
2011-03-02,4050.21,4045.51,4055.38,3999.46,-34.57,-0.85,1135.43,4138.95,3956.33,3773.7,68.11,65.22,73.89,2,4446.32,3565.06
2011-03-03,4040.97,4011.2,4070.95,4007.3,-34.31,-0.85,1122.87,4139.65,3965.48,3791.3,62.78,64.4,59.52,2,4445.2,3564.17
2011-03-04,4023.18,4095.52,4103.31,4005.85,84.32,2.1,1284.77,4150.35,3978.63,3806.91,72.6,67.13,83.52,2,4456.34,3573.1
2011-03-07,4120.78,4149.29,4165.01,4118.02,53.77,1.31,1523.83,4169.37,3993.85,3818.33,79.74,71.34,96.55,2,4467.95,3582.41
