time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,4979.3,0.0,0.0,4979.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,4920.76,0.0,0.0,4920.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,4872.2,0.0,0.0,4872.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,4859.77,0.0,0.0,4859.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,4716.14,0.0,0.0,4716.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,4701.67,0.0,0.0,4701.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,4700.24,0.0,0.0,4700.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,4765.88,0.0,0.0,4765.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,4729.03,0.0,0.0,4729.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4555.0,0.0,0.0,4555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5305.8,4254.2
2011-01-18,0.0,4626.67,0.0,0.0,4626.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5266.66,4222.82
2011-01-19,0.0,4702.05,0.0,0.0,4702.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5242.38,4203.35
2011-01-20,0.0,4562.93,0.0,0.0,4562.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5208.05,4175.82
2011-01-21,0.0,4533.43,0.0,0.0,4533.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5171.83,4146.78
2011-01-24,0.0,4424.68,0.0,0.0,4424.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5139.48,4120.84
