time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,5271.47,0.0,0.0,5271.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,5258.27,0.0,0.0,5258.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,5221.16,0.0,0.0,5221.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,5196.94,0.0,0.0,5196.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,5084.41,0.0,0.0,5084.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,5071.88,0.0,0.0,5071.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,5086.61,0.0,0.0,5086.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,5099.46,0.0,0.0,5099.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,5012.73,0.0,0.0,5012.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,4794.27,0.0,0.0,4794.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5671.79,4547.65
2011-01-18,0.0,4803.51,0.0,0.0,4803.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5619.85,4506.0
2011-01-19,0.0,4935.77,0.0,0.0,4935.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5584.05,4477.3
2011-01-20,0.0,4758.63,0.0,0.0,4758.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5532.71,4436.13
2011-01-21,0.0,4788.23,0.0,0.0,4788.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5487.34,4399.76
2011-01-24,0.0,4676.62,0.0,0.0,4676.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5442.08,4363.47
2011-01-25,0.0,4653.3,0.0,0.0,4653.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5395.61,4326.21
2011-01-26,0.0,4720.76,0.0,0.0,4720.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5355.0,4293.65
2011-01-27,0.0,4813.45,0.0,0.0,4813.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5323.26,4268.2
2011-01-28,0.0,4867.31,0.0,0.0,4867.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5307.12,4255.25
2011-01-31,0.0,4913.0,0.0,0.0,4913.0,0.0,0.0,5341.66,4951.39,4561.11,0.0,0.0,0.0,2,5320.29,4265.82
2011-02-01,0.0,4920.34,0.0,0.0,4920.34,0.0,0.0,5295.47,4933.83,4572.19,0.0,0.0,0.0,2,5333.26,4276.22
2011-02-09,0.0,4839.1,0.0,0.0,4839.1,0.0,0.0,5244.19,4912.87,4581.56,0.0,0.0,0.0,2,5322.53,4267.62
2011-02-10,0.0,4988.53,0.0,0.0,4988.53,0.0,0.0,5203.51,4901.24,4598.97,0.0,0.0,0.0,2,5348.05,4288.08
2011-02-11,0.0,5036.32,0.0,0.0,5036.32,0.0,0.0,5171.19,4893.21,4615.24,0.0,0.0,0.0,2,5375.59,4310.16
2011-02-14,0.0,5197.01,0.0,0.0,5197.01,0.0,0.0,5195.98,4898.84,4601.7,0.0,0.0,0.0,2,5433.35,4356.47
2011-02-15,0.0,5199.02,0.0,0.0,5199.02,0.0,0.0,5221.68,4905.2,4588.72,0.0,0.0,0.0,0,5493.93,4405.04
2011-02-16,0.0,5272.65,0.0,0.0,5272.65,0.0,0.0,5261.25,4914.5,4567.75,0.0,0.0,0.0,0,5555.19,4454.16
2011-02-17,0.0,5274.26,0.0,0.0,5274.26,0.0,0.0,5296.03,4923.24,4550.45,0.0,0.0,0.0,0,5606.34,4495.17
2011-02-18,0.0,5200.06,0.0,0.0,5200.06,0.0,0.0,5322.93,4932.61,4542.29,0.0,0.0,0.0,0,5643.27,4524.79
2011-02-21,0.0,5290.48,0.0,0.0,5290.48,0.0,0.0,5371.75,4957.42,4543.08,0.0,0.0,0.0,0,5685.17,4558.38
2011-02-22,0.0,5135.86,0.0,0.0,5135.86,0.0,0.0,5389.0,4974.03,4559.07,0.0,0.0,0.0,2,5709.1,4577.56
2011-02-23,0.0,5157.8,0.0,0.0,5157.8,0.0,0.0,5407.24,4985.14,4563.04,0.0,0.0,0.0,2,5744.47,4605.93
2011-02-24,0.0,5203.09,0.0,0.0,5203.09,0.0,0.0,5426.21,5007.36,4588.51,0.0,0.0,0.0,2,5768.29,4625.02
2011-02-25,0.0,5215.21,0.0,0.0,5215.21,0.0,0.0,5444.22,5028.71,4613.2,0.0,0.0,0.0,2,5788.14,4640.94
2011-02-28,0.0,5303.36,0.0,0.0,5303.36,0.0,0.0,5458.81,5060.05,4661.28,0.0,0.0,0.0,2,5799.95,4650.41
2011-03-01,0.0,5321.91,0.0,0.0,5321.91,0.0,0.0,5461.13,5093.48,4725.83,0.0,0.0,0.0,2,5813.59,4661.35
2011-03-02,0.0,5300.22,0.0,0.0,5300.22,0.0,0.0,5457.97,5122.45,4786.93,0.0,0.0,0.0,2,5816.65,4663.8
2011-03-03,0.0,5231.93,0.0,0.0,5231.93,0.0,0.0,5450.17,5143.37,4836.58,0.0,0.0,0.0,2,5811.95,4660.03
2011-03-04,0.0,5300.12,0.0,0.0,5300.12,0.0,0.0,5451.24,5165.01,4878.79,0.0,0.0,0.0,2,5823.06,4668.94
