time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1309.84,1308.32,1318.65,1306.69,-5.37,-0.41,1247.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1307.96,1328.81,1332.37,1306.15,20.49,1.57,1968.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1337.16,1320.75,1339.01,1318.02,-8.06,-0.61,1711.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1317.59,1322.07,1327.83,1311.8,1.32,0.1,1739.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1324.72,1332.52,1334.16,1322.04,10.45,0.79,1586.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1342.74,1398.37,1411.83,1342.74,65.85,4.94,4767.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1402.28,1408.57,1416.34,1400.71,10.2,0.73,3356.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1401.76,1400.65,1401.95,1389.64,-7.92,-0.56,2446.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1411.28,1411.4,1420.32,1396.78,10.75,0.77,2596.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1409.87,1393.24,1413.2,1393.03,-18.15,-1.29,2191.63,0.0,0.0,0.0,0.0,0.0,0.0,2,1512.34,1212.6
2012-09-14,1414.82,1407.84,1421.07,1395.26,14.6,1.05,2987.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1523.39,1221.46
2012-09-17,1407.33,1372.92,1409.57,1372.44,-34.93,-2.48,2423.35,0.0,0.0,0.0,0.0,0.0,0.0,2,1528.28,1225.38
2012-09-18,1365.5,1356.49,1369.1,1351.44,-16.43,-1.2,1613.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1532.25,1228.56
2012-09-19,1357.88,1367.56,1369.37,1351.07,11.07,0.82,1739.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1537.3,1232.61
2012-09-20,1360.22,1334.37,1360.82,1331.93,-33.19,-2.43,2168.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1537.51,1232.78
2012-09-21,1330.97,1339.47,1353.22,1329.09,5.1,0.38,2166.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1530.97,1227.53
2012-09-24,1327.58,1349.29,1355.46,1319.95,9.82,0.73,1975.96,0.0,0.0,0.0,29.43,44.82,-1.37,2,1524.39,1222.26
2012-09-25,1344.81,1342.69,1353.18,1338.26,-6.6,-0.49,1542.12,0.0,0.0,0.0,27.11,38.92,3.5,1,1517.95,1217.1
2012-09-26,1341.14,1323.98,1346.44,1320.51,-18.71,-1.39,1446.24,0.0,0.0,0.0,19.4,32.42,-6.62,1,1508.25,1209.32
2012-09-27,1322.95,1362.96,1372.12,1322.48,38.99,2.94,2638.39,1425.32,1359.11,1292.91,28.93,31.25,24.29,2,1504.89,1206.62
2012-09-28,1355.04,1393.3,1395.14,1353.8,30.34,2.23,2904.27,1426.84,1363.36,1299.89,51.81,38.11,79.21,2,1503.28,1205.33
2012-10-08,1391.95,1378.95,1399.66,1371.18,-14.35,-1.03,1799.82,1427.62,1365.87,1304.12,59.21,45.14,87.35,2,1503.95,1205.87
2012-10-09,1385.93,1409.5,1413.25,1385.93,30.55,2.22,2615.34,1431.2,1370.31,1309.41,71.47,53.92,106.57,2,1509.83,1210.58
2012-10-10,1404.09,1411.94,1412.42,1397.2,2.43,0.17,2002.46,1434.04,1374.8,1315.56,80.51,62.78,115.97,2,1514.76,1214.53
2012-10-11,1405.33,1396.94,1409.95,1396.51,-14.99,-1.06,1948.3,1434.66,1378.02,1321.38,81.18,68.91,105.71,2,1521.7,1220.1
2012-10-12,1402.4,1396.21,1415.19,1384.31,-0.73,-0.05,1833.62,1434.4,1377.91,1321.42,80.77,72.87,96.58,2,1528.0,1225.15
2012-10-15,1395.13,1386.35,1395.52,1375.37,-9.86,-0.71,1433.62,1431.69,1376.8,1321.92,77.03,74.25,82.58,2,1532.11,1228.45
2012-10-16,1384.64,1392.28,1402.77,1382.05,5.93,0.43,1563.88,1430.66,1376.38,1322.11,76.45,74.98,79.37,2,1537.62,1232.86
2012-10-17,1398.05,1395.46,1401.99,1382.08,3.18,0.23,1704.75,1428.23,1375.59,1322.95,73.59,74.52,71.72,2,1545.55,1239.23
2012-10-18,1399.04,1417.38,1419.95,1398.83,21.93,1.57,2393.85,1432.04,1376.79,1321.55,80.63,76.56,88.79,2,1551.59,1244.07
2012-10-19,1416.44,1412.16,1422.02,1409.82,-5.22,-0.37,1744.02,1432.77,1377.01,1321.25,80.04,77.72,84.69,2,1553.69,1245.75
2012-10-22,1402.75,1415.18,1419.07,1398.28,3.02,0.21,1630.21,1437.26,1379.12,1320.99,81.81,79.08,87.26,2,1557.71,1248.97
2012-10-23,1414.33,1396.27,1416.75,1394.48,-18.91,-1.34,1944.65,1438.73,1381.11,1323.49,69.47,75.88,56.66,2,1556.24,1247.8
2012-10-24,1389.44,1392.61,1400.57,1388.06,-3.66,-0.26,1812.99,1439.84,1382.36,1324.89,58.63,70.13,35.64,2,1554.09,1246.07
2012-10-25,1392.34,1381.95,1402.19,1378.61,-10.66,-0.77,2106.66,1437.85,1384.74,1331.64,43.79,61.35,8.67,2,1552.43,1244.74
2012-10-26,1382.89,1351.12,1384.09,1345.33,-30.83,-2.23,1963.55,1436.66,1385.33,1333.99,31.71,51.47,-7.81,2,1547.42,1240.73
2012-10-29,1347.39,1345.31,1352.86,1340.57,-5.81,-0.43,1352.0,1437.04,1385.13,1333.21,23.08,42.01,-14.77,2,1542.87,1237.08
2012-10-30,1344.91,1349.52,1360.09,1342.3,4.21,0.31,1743.42,1436.34,1385.47,1334.59,19.05,34.35,-11.56,2,1538.12,1233.27
2012-10-31,1350.31,1362.69,1362.93,1346.34,13.17,0.98,1793.51,1431.23,1387.4,1343.57,21.75,30.15,4.95,2,1534.49,1230.35
