time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1790.17,1786.82,1802.74,1786.73,-8.43,-0.47,622.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1787.54,1804.66,1810.03,1785.31,17.84,1.0,979.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1814.79,1791.9,1815.87,1787.84,-12.76,-0.71,892.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1788.25,1786.62,1792.72,1775.68,-5.28,-0.29,933.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1787.59,1796.28,1798.24,1782.09,9.66,0.54,716.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1807.61,1875.27,1892.75,1807.61,78.99,4.4,2233.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1876.83,1878.12,1889.94,1869.83,2.85,0.15,1554.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1869.43,1866.29,1869.43,1853.07,-11.83,-0.63,1059.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1878.56,1874.5,1890.85,1859.08,8.21,0.44,1215.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1872.84,1856.4,1877.0,1855.79,-18.11,-0.97,927.07,0.0,0.0,0.0,0.0,0.0,0.0,2,2033.17,1630.2
2012-09-14,1878.95,1877.4,1891.1,1862.46,21.0,1.13,1360.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2043.23,1638.26
2012-09-17,1876.94,1839.36,1879.59,1838.03,-38.03,-2.03,1209.74,0.0,0.0,0.0,0.0,0.0,0.0,2,2047.08,1641.35
2012-09-18,1830.39,1819.39,1834.51,1815.05,-19.97,-1.09,775.45,0.0,0.0,0.0,0.0,0.0,0.0,2,2050.13,1643.8
2012-09-19,1819.86,1825.84,1829.17,1808.3,6.45,0.35,805.84,0.0,0.0,0.0,0.0,0.0,0.0,2,2054.48,1647.29
2012-09-20,1817.97,1789.59,1819.8,1787.97,-36.25,-1.99,1081.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2053.74,1646.69
2012-09-21,1785.21,1798.23,1813.67,1783.67,8.63,0.48,1069.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2045.19,1639.84
2012-09-24,1785.12,1806.83,1813.53,1775.45,8.6,0.48,911.19,0.0,0.0,0.0,27.38,41.19,-0.24,2,2037.28,1633.49
2012-09-25,1802.63,1799.73,1810.28,1794.71,-7.1,-0.39,683.48,0.0,0.0,0.0,25.25,35.87,4.0,1,2029.89,1627.57
2012-09-26,1797.35,1779.83,1803.7,1774.86,-19.89,-1.11,668.28,0.0,0.0,0.0,18.26,30.0,-5.23,1,2019.38,1619.14
