time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2674.67,2668.14,2691.35,2668.14,-13.57,-0.51,521.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2656.06,2673.79,2689.68,2652.17,5.66,0.21,856.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2673.54,2638.82,2676.41,2631.19,-34.97,-1.31,750.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2633.6,2612.97,2638.91,2603.87,-25.85,-0.98,874.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2616.11,2637.06,2638.84,2607.97,24.09,0.92,728.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2653.16,2749.16,2774.92,2653.16,112.1,4.25,2031.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2742.8,2737.26,2755.86,2725.43,-11.9,-0.43,1086.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2726.74,2713.32,2726.74,2689.87,-23.94,-0.87,748.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2728.15,2708.64,2738.7,2687.84,-4.68,-0.17,753.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2702.83,2692.91,2714.44,2692.73,-15.73,-0.58,610.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2978.36,2388.05
2012-09-14,2713.81,2715.64,2734.76,2699.85,22.73,0.84,995.84,0.0,0.0,0.0,0.0,0.0,0.0,2,2983.63,2392.28
2012-09-17,2709.85,2660.19,2714.3,2658.38,-55.45,-2.04,719.79,0.0,0.0,0.0,0.0,0.0,0.0,2,2982.12,2391.07
2012-09-18,2650.0,2636.36,2656.32,2628.22,-23.84,-0.9,529.24,0.0,0.0,0.0,0.0,0.0,0.0,2,2981.85,2390.85
2012-09-19,2638.58,2640.5,2651.81,2628.56,4.15,0.16,601.52,0.0,0.0,0.0,0.0,0.0,0.0,2,2984.91,2393.3
2012-09-20,2631.29,2601.31,2631.29,2596.26,-39.19,-1.48,718.26,0.0,0.0,0.0,0.0,0.0,0.0,2,2980.94,2390.12
2012-09-21,2593.6,2597.91,2618.1,2583.2,-3.4,-0.13,601.38,0.0,0.0,0.0,0.0,0.0,0.0,2,2964.15,2376.66
2012-09-24,2581.46,2613.17,2622.83,2572.83,15.26,0.59,707.59,0.0,0.0,0.0,20.53,28.28,5.05,2,2950.37,2365.62
2012-09-25,2607.2,2615.29,2632.14,2604.37,2.12,0.08,501.5,0.0,0.0,0.0,22.43,26.33,14.63,1,2939.49,2356.89
2012-09-26,2611.23,2598.9,2626.61,2593.84,-16.39,-0.63,490.51,0.0,0.0,0.0,20.32,24.33,12.31,1,2927.31,2347.12
2012-09-27,2603.09,2687.06,2715.39,2601.39,88.16,3.39,1358.34,2753.35,2659.92,2566.49,40.26,29.64,61.5,2,2926.66,2346.6
2012-09-28,2663.39,2715.71,2723.11,2661.05,28.65,1.07,1225.94,2758.82,2662.3,2565.78,58.53,39.27,97.05,2,2926.67,2346.61
2012-10-08,2713.09,2695.71,2736.68,2681.95,-20.0,-0.74,701.09,2760.9,2663.39,2565.89,64.02,47.52,97.02,2,2930.61,2349.77
2012-10-09,2710.89,2753.56,2768.21,2710.89,57.85,2.15,1133.38,2773.44,2669.13,2564.82,73.51,56.18,108.17,2,2943.62,2360.2
2012-10-10,2748.28,2746.29,2752.84,2733.25,-7.28,-0.26,652.26,2781.93,2675.8,2569.67,78.6,63.66,108.49,2,2955.37,2369.62
2012-10-11,2737.56,2728.85,2743.19,2718.15,-17.44,-0.64,707.92,2787.35,2680.39,2573.42,79.02,68.78,99.5,2,2969.52,2380.97
2012-10-12,2739.64,2741.24,2768.46,2721.86,12.4,0.45,819.41,2785.99,2679.99,2573.99,80.82,72.79,96.87,2,2985.43,2393.72
2012-10-15,2748.49,2741.71,2757.57,2723.31,0.47,0.02,541.22,2786.71,2680.21,2573.72,82.1,75.9,94.52,2,2999.7,2405.16
2012-10-16,2740.13,2744.18,2763.91,2734.33,2.47,0.09,738.4,2790.99,2681.76,2572.53,83.23,78.34,93.0,2,3014.01,2416.64
2012-10-17,2754.36,2744.93,2760.57,2722.66,0.75,0.03,815.02,2795.69,2683.57,2571.45,81.51,79.4,85.75,2,3030.22,2429.63
2012-10-18,2750.9,2773.0,2781.34,2742.29,28.07,1.02,965.71,2806.27,2687.58,2568.88,84.88,81.22,92.19,2,3039.75,2437.28
2012-10-19,2769.55,2771.75,2780.49,2765.68,-1.26,-0.05,619.37,2814.15,2690.38,2566.62,85.38,82.61,90.93,2,3045.98,2442.27
2012-10-22,2759.14,2791.13,2798.02,2756.63,19.39,0.7,704.7,2827.29,2696.93,2566.57,87.38,84.2,93.74,2,3056.57,2450.76
2012-10-23,2792.11,2754.68,2798.7,2752.24,-36.45,-1.31,680.87,2832.41,2702.84,2573.28,73.37,80.59,58.93,2,3056.69,2450.86
2012-10-24,2746.86,2747.79,2764.56,2744.4,-6.89,-0.25,531.55,2835.88,2708.21,2580.54,60.16,73.78,32.92,2,3056.86,2450.99
2012-10-25,2745.3,2727.02,2757.61,2725.05,-20.78,-0.76,549.39,2832.5,2714.49,2596.49,42.02,63.19,-0.33,2,3056.65,2450.83
2012-10-26,2728.15,2687.65,2733.62,2673.71,-39.36,-1.44,695.92,2825.15,2718.98,2612.81,31.73,52.71,-10.22,2,3050.71,2446.06
2012-10-29,2681.71,2659.21,2687.99,2650.19,-28.44,-1.06,566.89,2819.9,2721.28,2622.67,23.18,42.86,-16.19,2,3041.55,2438.72
2012-10-30,2660.54,2662.16,2681.02,2649.34,2.95,0.11,660.55,2813.94,2723.63,2633.32,18.31,34.68,-14.42,2,3032.44,2431.42
2012-10-31,2667.17,2673.17,2676.83,2654.43,11.02,0.41,580.82,2801.49,2727.34,2653.19,17.53,28.96,-5.34,2,3024.48,2425.03
2012-11-01,2676.89,2723.9,2741.99,2676.83,50.72,1.9,1112.21,2801.03,2729.18,2657.33,28.32,28.75,27.47,2,3019.03,2420.66
2012-11-02,2723.55,2745.82,2749.66,2713.2,21.92,0.8,884.79,2802.61,2730.69,2658.77,40.41,32.64,55.97,2,3016.15,2418.36
2012-11-05,2743.87,2744.02,2763.09,2727.77,-1.8,-0.07,1083.81,2803.39,2733.1,2662.82,54.33,39.87,83.26,2,3010.92,2414.16
2012-11-06,2745.6,2743.47,2748.89,2701.16,-0.55,-0.02,934.66,2802.43,2732.6,2662.76,63.81,47.85,95.72,2,3009.68,2413.16
2012-11-07,2737.18,2730.91,2744.03,2718.01,-12.56,-0.46,627.49,2801.38,2731.83,2662.28,66.44,54.05,91.23,2,3007.8,2411.66
2012-11-08,2709.59,2689.43,2717.61,2688.13,-41.48,-1.52,757.95,2801.83,2729.86,2657.89,56.04,54.71,58.7,2,3003.63,2408.32
2012-11-09,2684.76,2685.02,2695.86,2676.87,-4.42,-0.16,717.55,2801.37,2727.05,2652.72,47.82,52.41,38.62,2,3003.34,2408.08
2012-11-12,2687.56,2703.05,2704.57,2678.38,18.03,0.67,865.66,2799.83,2725.11,2650.4,46.79,50.54,39.3,2,3008.21,2411.98
2012-11-13,2702.34,2655.95,2702.54,2646.39,-47.1,-1.74,841.18,2800.63,2720.7,2640.78,33.93,45.0,11.77,2,3007.52,2411.43
2012-11-14,2654.59,2665.32,2671.79,2647.37,9.38,0.35,583.75,2799.31,2716.72,2634.14,28.02,39.34,5.39,2,3006.64,2410.73
2012-11-15,2651.99,2637.73,2662.87,2637.18,-27.59,-1.04,588.05,2795.12,2709.96,2624.8,18.83,32.5,-8.52,2,2997.08,2403.06
2012-11-16,2633.63,2617.95,2636.98,2602.62,-19.78,-0.75,677.69,2791.4,2702.27,2613.13,16.05,27.02,-5.9,2,2982.89,2391.68
2012-11-19,2615.57,2621.34,2623.65,2592.66,3.38,0.13,643.27,2779.73,2693.78,2607.83,17.01,23.68,3.67,2,2969.27,2380.77
2012-11-20,2627.11,2597.4,2630.04,2593.49,-23.94,-0.91,493.76,2776.78,2685.92,2595.05,12.61,19.99,-2.16,1,2953.06,2367.76
2012-11-21,2597.14,2641.22,2643.34,2595.04,43.82,1.69,708.62,2768.77,2680.59,2592.4,22.87,20.95,26.7,2,2943.1,2359.78
2012-11-22,2629.63,2632.98,2636.19,2617.99,-8.24,-0.31,463.02,2763.69,2675.88,2588.08,27.26,23.05,35.66,2,2936.83,2354.76
2012-11-23,2641.67,2652.61,2665.17,2633.64,19.63,0.75,695.27,2762.33,2674.13,2585.94,36.36,27.49,54.1,2,2933.24,2351.87
2012-11-26,2644.11,2642.58,2652.66,2632.95,-10.03,-0.38,477.6,2762.35,2673.3,2584.25,45.27,33.41,68.97,2,2926.52,2346.49
2012-11-27,2636.63,2630.63,2650.2,2628.96,-11.95,-0.45,748.9,2762.61,2671.72,2580.84,47.63,38.15,66.59,2,2923.71,2344.24
2012-11-28,2622.63,2625.34,2632.21,2617.01,-5.3,-0.2,708.35,2762.43,2669.33,2576.24,46.78,41.03,58.28,2,2919.28,2340.68
2012-11-29,2627.32,2593.56,2636.9,2589.84,-31.77,-1.21,876.93,2757.95,2662.82,2567.69,32.83,38.3,21.9,2,2914.37,2336.75
2012-11-30,2589.41,2611.54,2616.4,2583.66,17.98,0.69,807.93,2745.64,2656.1,2566.56,33.29,36.63,26.61,2,2913.66,2336.18
2012-12-03,2607.2,2592.86,2631.22,2592.2,-18.68,-0.72,830.76,2732.47,2648.54,2564.62,25.96,33.07,11.73,2,2910.5,2333.64
2012-12-04,2590.61,2624.56,2631.04,2589.02,31.7,1.22,740.89,2714.81,2642.6,2570.39,34.03,33.39,35.31,2,2913.51,2336.06
