time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2021.99,2020.52,2033.92,2019.69,-6.77,-0.33,2125.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2015.03,2034.02,2043.39,2011.59,13.5,0.67,3195.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2032.85,2008.73,2036.13,2003.85,-25.28,-1.24,2784.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2004.97,1999.86,2010.76,1990.76,-8.87,-0.44,2848.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2004.0,2017.53,2018.3,2000.22,17.67,0.88,2652.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2031.19,2104.19,2126.81,2031.19,86.66,4.3,7918.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2104.3,2107.22,2112.97,2095.71,3.03,0.14,5165.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2098.55,2090.87,2098.55,2075.39,-16.35,-0.78,3675.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2102.48,2094.11,2111.52,2075.8,3.24,0.16,3977.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2090.74,2078.94,2099.93,2078.92,-15.18,-0.72,3391.63,0.0,0.0,0.0,0.0,0.0,0.0,2,2281.71,1829.48
2012-09-14,2097.71,2093.37,2107.73,2080.57,14.44,0.69,5083.8,0.0,0.0,0.0,0.0,0.0,0.0,2,2289.8,1835.97
2012-09-17,2089.43,2043.35,2091.54,2042.36,-50.02,-2.39,3956.58,0.0,0.0,0.0,0.0,0.0,0.0,2,2290.84,1836.8
2012-09-18,2035.81,2023.3,2039.02,2017.87,-20.05,-0.98,2703.26,0.0,0.0,0.0,0.0,0.0,0.0,2,2292.45,1838.09
2012-09-19,2025.05,2030.56,2035.47,2019.26,7.26,0.36,2831.46,0.0,0.0,0.0,0.0,0.0,0.0,2,2295.86,1840.83
2012-09-20,2023.11,1989.1,2023.11,1988.21,-41.46,-2.04,3469.16,0.0,0.0,0.0,0.0,0.0,0.0,2,2292.71,1838.3
2012-09-21,1984.33,1991.46,2006.66,1981.05,2.36,0.12,3079.37,0.0,0.0,0.0,0.0,0.0,0.0,2,2280.19,1828.26
2012-09-24,1979.82,2004.64,2013.24,1969.26,13.18,0.66,3118.73,0.0,0.0,0.0,22.11,32.97,0.38,2,2268.81,1819.13
2012-09-25,1999.82,2001.6,2013.73,1994.18,-3.04,-0.15,2312.76,0.0,0.0,0.0,22.52,29.49,8.6,1,2258.9,1811.19
2012-09-26,1999.35,1982.27,2006.52,1979.24,-19.33,-0.97,2249.8,0.0,0.0,0.0,18.15,25.71,3.03,1,2246.48,1801.23
2012-09-27,1984.32,2045.72,2059.56,1983.81,63.45,3.2,4515.5,2119.76,2038.07,1956.37,32.94,28.12,42.59,2,2242.8,1798.28
2012-09-28,2029.56,2077.69,2081.76,2028.43,31.98,1.56,4806.41,2123.96,2040.93,1957.9,54.09,36.78,88.71,2,2241.06,1796.88
2012-10-08,2076.54,2059.32,2090.83,2048.31,-18.38,-0.88,2939.74,2125.53,2042.19,1958.85,60.75,44.77,92.72,2,2242.83,1798.3
2012-10-09,2069.99,2102.86,2111.53,2069.99,43.55,2.11,4429.27,2132.74,2046.9,1961.05,71.8,53.78,107.85,2,2251.66,1805.38
