time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2213.38,2212.24,2227.61,2211.03,-6.39,-0.29,1231.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2206.58,2224.05,2235.16,2203.12,11.81,0.53,1831.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2222.74,2196.66,2225.99,2190.9,-27.4,-1.23,1608.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2192.79,2183.9,2198.94,2174.58,-12.76,-0.58,1686.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2188.22,2203.02,2203.88,2183.31,19.12,0.88,1460.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2217.54,2291.57,2317.35,2217.54,88.55,4.02,4510.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2291.28,2291.98,2300.02,2281.71,0.41,0.02,2761.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2282.7,2270.87,2282.7,2254.72,-21.1,-0.92,1768.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2283.17,2271.87,2293.81,2253.79,1.0,0.04,1979.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2268.45,2256.73,2276.85,2256.47,-15.14,-0.67,1585.52,0.0,0.0,0.0,0.0,0.0,0.0,2,2486.72,1993.86
2012-09-14,2274.72,2271.81,2285.76,2257.21,15.08,0.67,2413.07,0.0,0.0,0.0,0.0,0.0,0.0,2,2493.33,1999.16
2012-09-17,2267.34,2220.31,2269.61,2219.05,-51.5,-2.27,1953.21,0.0,0.0,0.0,0.0,0.0,0.0,2,2492.92,1998.83
2012-09-18,2213.19,2199.5,2215.64,2195.05,-20.81,-0.94,1358.66,0.0,0.0,0.0,0.0,0.0,0.0,2,2493.23,1999.08
2012-09-19,2200.98,2203.38,2209.88,2192.72,3.88,0.18,1339.28,0.0,0.0,0.0,0.0,0.0,0.0,2,2495.4,2000.81
2012-09-20,2196.56,2161.91,2196.56,2161.01,-41.47,-1.88,1841.89,0.0,0.0,0.0,0.0,0.0,0.0,2,2490.83,1997.15
