time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2901.48,2908.11,2916.17,2896.77,-3.3,-0.11,952.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2904.2,2932.34,2938.81,2897.34,24.23,0.83,1450.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2931.5,2907.4,2937.99,2899.48,-24.94,-0.85,1408.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2901.51,2908.39,2916.34,2891.47,0.99,0.03,1565.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2912.97,2920.91,2925.36,2900.12,12.51,0.43,1293.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2935.52,3013.58,3042.49,2934.24,92.67,3.17,3436.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3017.7,3019.52,3026.15,3002.98,5.94,0.2,1863.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3009.27,3011.49,3012.47,2992.3,-8.03,-0.27,1357.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3022.36,3010.99,3034.42,2984.69,-0.5,-0.02,1526.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3004.97,2991.94,3019.33,2990.55,-19.05,-0.63,1338.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3288.34,2636.6
2012-09-14,3009.66,3000.23,3015.72,2983.82,8.29,0.28,2060.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3298.56,2644.79
2012-09-17,2998.35,2953.11,3001.21,2951.57,-47.13,-1.57,1580.79,0.0,0.0,0.0,0.0,0.0,0.0,2,3300.87,2646.64
2012-09-18,2945.21,2928.05,2945.37,2917.18,-25.06,-0.85,1088.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3303.16,2648.48
