time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2594.16,2597.91,2614.1,2594.05,-0.56,-0.02,261.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2593.46,2630.88,2644.83,2585.95,32.97,1.27,408.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2627.56,2612.33,2643.64,2608.14,-18.55,-0.7,380.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2610.83,2629.9,2637.32,2606.06,17.57,0.67,375.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2631.58,2642.86,2647.27,2620.31,12.96,0.49,322.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2657.4,2724.04,2764.51,2657.35,81.19,3.07,856.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2726.51,2749.22,2753.84,2724.11,25.18,0.92,517.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2743.23,2744.8,2744.97,2719.52,-4.42,-0.16,407.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2753.66,2746.9,2771.56,2724.15,2.1,0.08,541.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2744.03,2719.61,2755.12,2719.0,-27.29,-0.99,434.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2974.63,2385.06
2012-09-14,2743.33,2739.09,2761.26,2706.93,19.48,0.72,808.77,0.0,0.0,0.0,0.0,0.0,0.0,2,2990.3,2397.63
2012-09-17,2735.99,2669.34,2748.11,2669.2,-69.74,-2.55,600.35,0.0,0.0,0.0,0.0,0.0,0.0,2,2994.57,2401.05
2012-09-18,2662.3,2657.67,2677.04,2648.26,-11.68,-0.44,343.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2999.6,2405.09
2012-09-19,2659.0,2683.34,2690.56,2651.46,25.67,0.97,396.08,0.0,0.0,0.0,0.0,0.0,0.0,2,3005.53,2409.84
2012-09-20,2671.46,2622.47,2672.0,2621.38,-60.87,-2.27,447.8,0.0,0.0,0.0,0.0,0.0,0.0,2,3003.27,2408.03
2012-09-21,2615.58,2614.07,2637.24,2601.02,-8.4,-0.32,402.7,0.0,0.0,0.0,0.0,0.0,0.0,2,2991.06,2398.24
2012-09-24,2602.53,2626.45,2636.45,2580.9,12.37,0.47,326.58,0.0,0.0,0.0,24.51,38.58,-3.62,2,2977.44,2387.31
2012-09-25,2620.85,2619.73,2633.81,2608.9,-6.72,-0.26,228.82,0.0,0.0,0.0,23.52,33.56,3.43,1,2963.55,2376.18
2012-09-26,2623.65,2587.75,2628.62,2581.79,-31.98,-1.22,296.21,0.0,0.0,0.0,16.95,28.02,-5.21,1,2945.89,2362.02
2012-09-27,2592.35,2650.51,2671.33,2586.98,62.76,2.43,452.24,2769.99,2663.44,2556.89,25.17,27.07,21.37,2,2938.22,2355.87
2012-09-28,2635.12,2720.1,2725.33,2631.02,69.6,2.63,606.73,2774.37,2669.55,2564.74,48.91,34.35,78.02,2,2936.11,2354.18
2012-10-08,2721.1,2698.82,2733.29,2684.42,-21.28,-0.78,364.29,2776.93,2672.95,2568.97,58.4,42.37,90.46,2,2939.38,2356.8
2012-10-09,2712.94,2760.98,2763.4,2712.77,62.16,2.3,514.09,2787.18,2680.38,2573.58,71.82,52.19,111.1,2,2950.85,2366.0
2012-10-10,2754.52,2775.89,2784.85,2749.22,14.91,0.54,665.72,2799.52,2687.68,2575.84,79.75,61.37,116.51,2,2961.12,2374.23
2012-10-11,2766.99,2739.43,2766.99,2737.35,-36.46,-1.31,443.04,2804.53,2692.51,2580.49,79.08,67.28,102.68,2,2974.1,2384.64
2012-10-12,2756.58,2737.25,2776.48,2720.34,-2.18,-0.08,398.75,2806.08,2693.17,2580.26,78.24,70.93,92.85,2,2987.78,2395.6
2012-10-15,2737.74,2725.46,2745.52,2705.87,-11.8,-0.43,304.4,2802.99,2691.98,2580.97,75.74,72.53,82.16,2,2998.77,2404.42
2012-10-16,2722.74,2718.13,2739.59,2709.76,-7.33,-0.27,282.99,2799.71,2690.65,2581.59,72.59,72.55,72.66,2,3009.69,2413.17
2012-10-17,2730.5,2721.25,2731.76,2693.09,3.12,0.11,326.58,2796.34,2689.37,2582.4,67.94,71.02,61.8,2,3024.51,2425.06
