time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1176.51,1177.88,1183.66,1175.46,-2.29,-0.19,347.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1174.97,1182.37,1187.06,1172.01,4.49,0.38,453.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1180.72,1167.2,1182.49,1164.35,-15.18,-1.28,391.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1166.8,1172.87,1177.62,1162.55,5.67,0.49,401.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1176.58,1183.77,1184.47,1176.16,10.9,0.93,392.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1191.43,1224.49,1238.54,1191.43,40.73,3.44,1326.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1224.08,1226.4,1229.46,1220.13,1.91,0.16,805.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1221.73,1213.55,1221.73,1205.94,-12.85,-1.05,557.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1218.11,1212.49,1223.12,1201.59,-1.06,-0.09,561.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1211.53,1205.46,1214.55,1204.31,-7.03,-0.58,555.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1328.28,1065.02
2012-09-14,1211.02,1207.32,1213.7,1199.21,1.86,0.15,742.73,0.0,0.0,0.0,0.0,0.0,0.0,2,1331.55,1067.64
2012-09-17,1205.81,1184.94,1205.81,1183.53,-22.39,-1.85,585.5,0.0,0.0,0.0,0.0,0.0,0.0,2,1331.83,1067.87
2012-09-18,1181.82,1173.75,1182.53,1171.0,-11.19,-0.94,437.2,0.0,0.0,0.0,0.0,0.0,0.0,2,1332.56,1068.45
2012-09-19,1174.27,1173.22,1177.3,1167.65,-0.53,-0.05,407.8,0.0,0.0,0.0,0.0,0.0,0.0,2,1332.6,1068.48
2012-09-20,1169.79,1147.67,1169.79,1147.57,-25.55,-2.18,574.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1328.59,1065.27
2012-09-21,1146.99,1150.56,1157.62,1145.42,2.89,0.25,456.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1320.38,1058.69
2012-09-24,1145.36,1153.28,1158.36,1135.14,2.72,0.24,486.88,0.0,0.0,0.0,17.62,25.75,1.34,2,1312.27,1052.18
2012-09-25,1151.1,1150.12,1155.43,1144.79,-3.16,-0.27,332.23,0.0,0.0,0.0,18.03,23.18,7.74,1,1305.23,1046.53
2012-09-26,1148.64,1141.74,1151.4,1139.22,-8.38,-0.73,346.9,0.0,0.0,0.0,14.82,20.39,3.68,1,1297.37,1040.24
2012-09-27,1143.27,1167.2,1174.46,1141.38,25.46,2.23,674.65,1232.17,1180.81,1129.45,25.0,21.93,31.15,2,1293.13,1036.83
2012-09-28,1159.3,1190.45,1192.94,1158.24,23.25,1.99,798.75,1232.95,1181.44,1129.93,48.57,30.81,84.08,2,1291.26,1035.33
2012-10-08,1190.45,1179.55,1195.56,1173.79,-10.9,-0.92,423.92,1232.82,1181.3,1129.79,56.88,39.5,91.64,2,1290.66,1034.85
2012-10-09,1184.27,1200.96,1207.24,1184.27,21.41,1.82,724.52,1234.76,1182.99,1131.22,68.35,49.12,106.82,2,1293.68,1037.27
2012-10-10,1197.81,1197.6,1200.93,1190.69,-3.36,-0.28,498.31,1236.15,1184.23,1132.3,74.44,57.56,108.21,2,1296.38,1039.44
2012-10-11,1196.95,1194.08,1200.69,1189.63,-3.53,-0.29,568.12,1236.84,1184.74,1132.64,76.88,64.0,102.64,2,1301.53,1043.57
2012-10-12,1196.1,1192.83,1206.31,1186.97,-1.25,-0.1,492.79,1232.16,1183.16,1134.16,77.52,68.51,95.56,2,1306.23,1047.34
2012-10-15,1192.83,1187.85,1193.81,1180.64,-4.98,-0.42,310.34,1226.14,1181.23,1136.32,75.51,70.84,84.86,2,1310.06,1050.41
2012-10-16,1187.26,1185.73,1192.83,1182.66,-2.11,-0.18,328.74,1222.32,1179.84,1137.36,72.79,71.49,75.38,2,1314.02,1053.58
2012-10-17,1190.66,1188.75,1192.85,1178.92,3.01,0.25,406.69,1218.67,1178.65,1138.64,69.28,70.75,66.33,2,1319.24,1057.77
2012-10-18,1192.5,1206.01,1208.79,1191.13,17.26,1.45,587.27,1218.77,1178.68,1138.59,76.87,72.79,85.03,2,1323.54,1061.22
2012-10-19,1205.08,1203.48,1206.25,1198.64,-2.53,-0.21,388.07,1218.06,1178.49,1138.91,78.66,74.75,86.47,2,1324.99,1062.38
2012-10-22,1198.71,1203.77,1207.29,1193.32,0.29,0.02,346.78,1220.44,1179.43,1138.42,80.17,76.55,87.4,2,1327.68,1064.53
2012-10-23,1203.91,1193.95,1205.13,1191.49,-9.82,-0.82,358.39,1221.84,1180.44,1139.04,70.22,74.44,61.77,2,1326.9,1063.91
2012-10-24,1190.42,1203.08,1207.08,1188.87,9.13,0.76,526.52,1224.32,1181.93,1139.54,73.77,74.22,72.88,2,1327.51,1064.4
2012-10-25,1202.21,1201.34,1217.37,1199.95,-1.74,-0.14,720.43,1224.72,1184.62,1144.51,68.62,72.35,61.15,2,1328.31,1065.04
2012-10-26,1201.31,1184.94,1202.41,1179.89,-16.4,-1.37,590.34,1223.28,1186.34,1149.39,50.96,65.22,22.45,2,1327.44,1064.34
2012-10-29,1181.39,1180.41,1185.08,1174.99,-4.53,-0.38,340.93,1221.54,1187.69,1153.84,38.24,56.23,2.26,2,1326.61,1063.68
2012-10-30,1180.67,1180.3,1188.54,1176.82,-0.1,-0.01,473.31,1218.62,1189.2,1159.78,29.67,47.38,-5.74,2,1326.01,1063.2
