time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2930.88,2933.3,2943.16,2925.26,-5.93,-0.2,1041.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2926.82,2943.89,2953.71,2921.56,10.59,0.36,1525.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2942.77,2912.73,2947.39,2905.47,-31.16,-1.06,1504.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2906.88,2906.53,2916.9,2892.39,-6.2,-0.21,1607.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2913.36,2927.06,2928.13,2904.92,20.53,0.71,1427.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2941.69,3028.6,3058.31,2940.29,101.54,3.47,3832.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3028.24,3031.6,3037.29,3016.48,3.0,0.1,2012.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3020.65,3018.05,3020.65,2998.3,-13.55,-0.45,1402.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3030.07,3021.4,3043.03,2996.55,3.35,0.11,1678.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3017.81,3003.08,3028.48,3002.94,-18.32,-0.61,1458.88,0.0,0.0,0.0,0.0,0.0,0.0,2,3299.61,2645.64
2012-09-14,3022.05,3020.08,3036.85,3002.09,17.0,0.57,2196.65,0.0,0.0,0.0,0.0,0.0,0.0,2,3309.25,2653.36
2012-09-17,3016.2,2963.21,3017.99,2960.75,-56.87,-1.88,1718.77,0.0,0.0,0.0,0.0,0.0,0.0,2,3311.39,2655.08
2012-09-18,2955.92,2933.32,2955.92,2924.95,-29.89,-1.01,1256.96,0.0,0.0,0.0,0.0,0.0,0.0,2,3313.68,2656.91
2012-09-19,2934.1,2939.8,2947.17,2926.0,6.48,0.22,1287.69,0.0,0.0,0.0,0.0,0.0,0.0,2,3317.37,2659.87
