time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-07,2305.82,2324.02,2332.92,2300.93,12.91,0.56,4263.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,2323.72,2310.89,2328.86,2294.59,-13.13,-0.57,4135.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,2304.61,2310.18,2318.63,2294.18,-0.71,-0.03,3794.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,2309.71,2310.12,2333.03,2296.34,-0.06,0.0,3844.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,2312.56,2274.17,2318.5,2264.96,-35.95,-1.56,3958.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,2267.43,2358.16,2364.18,2267.0,83.99,3.69,5361.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,2358.09,2368.92,2376.99,2354.86,10.76,0.46,5225.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,2362.72,2345.9,2367.9,2316.48,-23.02,-0.97,4912.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,2340.87,2328.14,2345.01,2316.78,-17.76,-0.76,3822.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-18,2342.58,2367.03,2377.99,2330.24,38.89,1.67,4602.71,0.0,0.0,0.0,0.0,0.0,0.0,2,2586.03,2073.48
2013-01-21,2377.69,2379.56,2379.99,2355.7,12.53,0.53,4929.64,0.0,0.0,0.0,0.0,0.0,0.0,2,2592.19,2078.42
2013-01-22,2379.55,2376.08,2394.53,2356.25,-3.48,-0.15,6772.76,0.0,0.0,0.0,0.0,0.0,0.0,2,2599.43,2084.23
2013-01-23,2368.09,2388.32,2388.66,2360.3,12.24,0.52,4667.35,0.0,0.0,0.0,0.0,0.0,0.0,2,2608.1,2091.18
2013-01-24,2387.41,2373.78,2443.01,2357.43,-14.54,-0.61,6840.67,0.0,0.0,0.0,0.0,0.0,0.0,0,2615.17,2096.85
2013-01-25,2372.41,2363.34,2380.51,2358.36,-10.44,-0.44,3437.31,0.0,0.0,0.0,0.0,0.0,0.0,2,2625.06,2104.78
2013-01-28,2366.23,2431.95,2432.23,2366.23,68.6,2.9,5823.14,0.0,0.0,0.0,0.0,0.0,0.0,2,2633.26,2111.35
2013-01-29,2434.85,2454.1,2463.82,2424.39,22.15,0.91,6276.0,0.0,0.0,0.0,79.77,75.84,87.63,2,2642.71,2118.93
2013-01-30,2456.97,2467.18,2468.29,2439.68,13.09,0.53,6215.17,0.0,0.0,0.0,86.24,79.31,100.12,2,2656.17,2129.72
2013-01-31,2469.35,2466.91,2472.86,2446.86,-0.28,-0.01,5832.44,0.0,0.0,0.0,89.14,82.58,102.24,2,2671.58,2142.07
2013-02-01,2457.77,2527.48,2528.85,2453.29,60.57,2.46,6417.35,2501.78,2376.31,2250.84,92.49,85.89,105.71,2,2689.39,2156.35
2013-02-04,2535.15,2529.1,2548.13,2513.39,1.63,0.06,7724.85,2526.01,2386.57,2247.13,91.67,87.81,99.38,2,2705.98,2169.66
2013-02-05,2511.13,2548.73,2556.48,2508.22,19.63,0.78,7501.01,2550.09,2398.46,2246.83,93.15,89.59,100.26,2,2725.15,2185.03
