time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2786.3,2783.29,2797.37,2776.12,-12.16,-0.44,459.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2776.05,2803.82,2815.95,2771.35,20.53,0.74,727.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2803.98,2772.92,2810.16,2768.38,-30.91,-1.1,630.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2767.97,2764.78,2779.97,2752.08,-8.13,-0.29,630.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2768.92,2784.05,2788.09,2761.12,19.27,0.7,520.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2802.47,2904.47,2931.79,2802.47,120.42,4.33,1807.44,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2908.38,2924.41,2936.62,2902.73,19.94,0.69,1134.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2911.47,2909.79,2911.47,2881.71,-14.62,-0.5,773.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2922.83,2915.51,2935.51,2890.01,5.72,0.2,798.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2914.19,2886.76,2921.23,2886.74,-28.75,-0.99,652.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3157.93,2532.03
2012-09-14,2913.46,2911.33,2929.15,2890.33,24.57,0.85,953.08,0.0,0.0,0.0,0.0,0.0,0.0,2,3172.14,2543.43
2012-09-17,2905.96,2837.64,2907.48,2836.32,-73.69,-2.53,717.38,0.0,0.0,0.0,0.0,0.0,0.0,2,3175.89,2546.44
2012-09-18,2829.63,2811.4,2834.75,2804.76,-26.24,-0.92,543.85,0.0,0.0,0.0,0.0,0.0,0.0,2,3180.17,2549.86
2012-09-19,2814.2,2825.14,2832.13,2807.66,13.74,0.49,585.93,0.0,0.0,0.0,0.0,0.0,0.0,2,3186.87,2555.23
2012-09-20,2813.77,2763.98,2813.77,2761.35,-61.16,-2.16,723.69,0.0,0.0,0.0,0.0,0.0,0.0,2,3184.64,2553.45
2012-09-21,2757.7,2771.47,2792.57,2753.97,7.49,0.27,583.74,0.0,0.0,0.0,0.0,0.0,0.0,2,3169.87,2541.61
2012-09-24,2755.3,2785.99,2797.27,2738.17,14.52,0.52,643.87,0.0,0.0,0.0,24.87,39.25,-3.9,2,3154.51,2529.29
