time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2491.41,2489.08,2514.88,2480.62,-8.81,-0.35,124.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2489.33,2509.71,2522.49,2482.56,20.64,0.83,185.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2508.09,2489.32,2518.11,2484.68,-20.39,-0.81,174.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2478.85,2455.44,2484.62,2444.93,-33.88,-1.36,169.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2463.13,2480.52,2481.92,2457.44,25.08,1.02,148.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2500.22,2625.5,2658.64,2500.22,144.98,5.84,573.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2626.59,2640.76,2652.91,2609.9,15.27,0.58,395.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2627.16,2612.91,2627.16,2591.07,-27.86,-1.05,220.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2632.82,2643.3,2652.95,2613.94,30.39,1.16,284.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2642.05,2611.94,2645.86,2611.25,-31.36,-1.19,191.04,0.0,0.0,0.0,0.0,0.0,0.0,2,2836.99,2274.7
2012-09-14,2661.27,2648.24,2680.12,2627.94,36.31,1.39,346.28,0.0,0.0,0.0,0.0,0.0,0.0,2,2854.66,2288.87
2012-09-17,2643.27,2574.82,2643.27,2573.75,-73.43,-2.77,203.57,0.0,0.0,0.0,0.0,0.0,0.0,2,2861.89,2294.66
2012-09-18,2559.43,2526.92,2559.43,2521.25,-47.9,-1.86,187.02,0.0,0.0,0.0,0.0,0.0,0.0,2,2866.06,2298.01
2012-09-19,2526.8,2542.27,2544.17,2514.76,15.35,0.61,151.41,0.0,0.0,0.0,0.0,0.0,0.0,2,2875.7,2305.74
2012-09-20,2528.66,2466.31,2528.66,2463.11,-75.95,-2.99,198.15,0.0,0.0,0.0,0.0,0.0,0.0,2,2874.12,2304.47
2012-09-21,2461.03,2487.32,2521.42,2460.14,21.01,0.85,203.18,0.0,0.0,0.0,0.0,0.0,0.0,2,2858.78,2292.18
2012-09-24,2466.73,2521.39,2541.89,2447.63,34.07,1.37,210.28,0.0,0.0,0.0,29.43,43.27,1.75,2,2845.53,2281.55
2012-09-25,2507.65,2515.77,2530.97,2495.94,-5.62,-0.22,165.83,0.0,0.0,0.0,29.39,38.65,10.88,2,2834.75,2272.91
2012-09-26,2513.69,2490.87,2529.3,2485.18,-24.9,-0.99,166.53,0.0,0.0,0.0,25.79,34.36,8.66,2,2817.83,2259.34
2012-09-27,2489.28,2586.58,2613.36,2488.8,95.7,3.84,352.85,2673.63,2545.95,2418.27,40.87,36.53,49.55,2,2815.01,2257.08
2012-09-28,2560.54,2626.6,2629.64,2559.16,40.02,1.55,326.84,2682.31,2552.82,2423.34,60.02,44.36,91.35,2,2812.61,2255.16
2012-10-08,2620.3,2584.68,2632.11,2569.71,-41.92,-1.6,185.78,2685.19,2556.57,2427.96,64.78,51.17,92.0,2,2813.71,2256.04
2012-10-09,2600.99,2640.06,2659.57,2600.99,55.39,2.14,331.99,2693.74,2564.11,2434.48,73.45,58.6,103.16,2,2826.27,2266.1
2012-10-10,2640.57,2649.02,2654.78,2628.27,8.96,0.34,255.09,2698.33,2573.79,2449.25,80.64,65.94,110.04,2,2838.11,2275.61
2012-10-11,2640.41,2611.82,2640.98,2610.45,-37.2,-1.4,225.34,2698.2,2580.35,2462.51,79.58,70.49,97.77,2,2854.27,2288.56
2012-10-12,2625.21,2624.62,2649.78,2595.07,12.79,0.49,228.06,2698.09,2580.31,2462.53,79.71,73.56,92.0,2,2869.51,2300.78
2012-10-15,2619.0,2601.33,2619.61,2581.28,-23.29,-0.89,159.16,2693.29,2578.34,2463.39,75.34,74.16,77.71,2,2878.38,2307.89
2012-10-16,2602.77,2598.62,2623.78,2591.04,-2.71,-0.1,174.37,2691.88,2577.62,2463.37,71.66,73.32,68.34,2,2887.58,2315.26
2012-10-17,2612.27,2611.82,2632.28,2580.84,13.21,0.51,210.38,2687.48,2576.05,2464.62,65.26,70.64,54.5,2,2901.0,2326.03
2012-10-18,2616.95,2660.39,2666.62,2616.93,48.57,1.86,313.52,2694.91,2578.47,2462.04,74.7,71.99,80.11,2,2909.19,2332.6
2012-10-19,2657.89,2649.93,2671.35,2644.43,-10.47,-0.39,214.05,2695.2,2578.56,2461.92,75.24,73.07,79.58,2,2911.78,2334.67
2012-10-22,2633.54,2667.26,2670.63,2628.37,17.33,0.65,245.47,2706.02,2583.18,2460.34,81.99,76.04,93.87,2,2920.95,2342.02
2012-10-23,2663.34,2628.86,2668.75,2626.15,-38.39,-1.44,196.84,2709.81,2588.28,2466.74,72.34,74.81,67.41,2,2919.71,2341.03
2012-10-24,2612.13,2613.44,2629.83,2603.61,-15.43,-0.59,157.45,2711.93,2591.83,2471.74,60.24,69.95,40.8,2,2915.76,2337.86
2012-10-25,2610.39,2576.29,2628.01,2575.59,-37.15,-1.42,190.23,2703.16,2597.33,2491.51,40.4,60.1,1.0,2,2911.81,2334.7
2012-10-26,2575.22,2533.15,2578.86,2528.31,-43.15,-1.67,193.76,2697.51,2599.62,2501.74,28.06,49.42,-14.66,2,2901.66,2326.56
2012-10-29,2529.57,2527.34,2544.7,2516.81,-5.81,-0.23,121.22,2696.89,2599.92,2502.96,20.98,39.94,-16.94,2,2893.45,2319.97
2012-10-30,2529.91,2537.83,2563.14,2528.92,10.49,0.42,154.16,2694.58,2601.03,2507.47,18.52,32.8,-10.04,2,2886.7,2314.56
2012-10-31,2534.67,2554.1,2555.87,2527.32,16.27,0.64,160.64,2686.2,2604.19,2522.18,20.39,28.66,3.84,2,2880.29,2309.42
2012-11-01,2553.77,2594.13,2603.64,2552.33,40.04,1.57,229.98,2686.32,2604.56,2522.81,30.35,29.23,32.6,2,2872.94,2303.53
2012-11-02,2597.49,2598.94,2608.42,2581.35,4.8,0.19,165.73,2684.33,2603.18,2522.03,38.25,32.23,50.28,2,2867.28,2298.99
2012-11-05,2598.71,2617.28,2639.48,2597.7,18.34,0.71,254.15,2685.72,2604.81,2523.91,52.8,39.09,80.22,2,2861.73,2294.54
2012-11-06,2616.39,2592.07,2620.72,2563.28,-25.21,-0.96,185.04,2681.83,2602.41,2523.0,55.65,44.61,77.73,2,2857.65,2291.27
2012-11-07,2593.61,2592.85,2611.05,2576.53,0.79,0.03,140.68,2676.15,2599.6,2523.06,57.76,48.99,75.3,2,2855.36,2289.43
2012-11-08,2567.29,2520.93,2567.29,2520.58,-71.92,-2.77,173.21,2678.63,2595.06,2511.49,39.63,45.87,27.14,2,2849.22,2284.51
2012-11-09,2516.9,2520.21,2529.0,2512.52,-0.72,-0.03,107.16,2678.27,2589.84,2501.4,28.44,40.06,5.19,2,2847.78,2283.36
2012-11-12,2526.22,2535.31,2542.56,2513.26,15.1,0.6,115.75,2677.89,2586.54,2495.18,24.94,35.02,4.78,2,2848.67,2284.06
2012-11-13,2534.53,2488.44,2534.53,2488.02,-46.87,-1.85,129.42,2681.63,2581.03,2480.43,16.72,28.92,-7.68,2,2843.18,2279.67
2012-11-14,2491.59,2501.23,2504.05,2480.67,12.79,0.51,118.82,2680.77,2575.5,2470.23,15.46,24.43,-2.48,2,2837.31,2274.96
2012-11-15,2487.65,2451.67,2491.44,2450.45,-49.56,-1.98,124.14,2675.84,2565.06,2454.29,10.52,19.8,-8.03,2,2821.5,2262.28
2012-11-16,2448.74,2415.08,2454.27,2398.84,-36.6,-1.49,171.2,2674.89,2553.32,2431.76,9.46,16.35,-4.33,2,2801.09,2245.92
2012-11-19,2415.24,2424.58,2428.97,2403.66,9.51,0.39,107.46,2663.28,2541.19,2419.09,10.35,14.35,2.34,1,2779.7,2228.77
2012-11-20,2434.18,2403.72,2441.36,2402.33,-20.87,-0.86,104.2,2658.94,2529.93,2400.92,7.86,12.19,-0.78,1,2758.8,2212.01
2012-11-21,2407.49,2445.46,2446.24,2395.5,41.74,1.74,138.15,2649.56,2521.53,2393.5,16.57,13.65,22.41,1,2742.44,2198.89
2012-11-22,2433.74,2414.8,2433.74,2408.13,-30.66,-1.25,109.21,2646.91,2513.46,2380.0,15.42,14.24,17.78,1,2730.66,2189.44
2012-11-23,2429.14,2429.0,2448.13,2419.03,14.2,0.59,127.39,2646.27,2508.25,2370.22,18.31,15.6,23.74,2,2720.53,2181.33
2012-11-26,2423.12,2404.45,2424.4,2401.41,-24.55,-1.01,114.58,2646.96,2502.1,2357.25,14.96,15.38,14.1,2,2706.01,2169.68
2012-11-27,2395.07,2369.27,2400.53,2368.01,-35.18,-1.46,145.49,2648.5,2493.68,2338.85,10.31,13.69,3.55,2,2692.78,2159.07
2012-11-28,2360.67,2362.74,2370.73,2354.41,-6.53,-0.28,128.41,2646.29,2484.11,2321.92,9.65,12.35,4.27,2,2677.41,2146.75
2012-11-29,2362.25,2344.42,2371.6,2340.77,-18.33,-0.78,113.06,2636.43,2471.62,2306.81,7.57,10.75,1.2,2,2665.5,2137.2
2012-11-30,2343.55,2356.8,2364.81,2341.06,12.38,0.53,113.27,2620.67,2459.52,2298.36,10.02,10.51,9.05,2,2659.03,2132.02
