time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,884.35,883.15,888.3,880.35,-4.06,-0.46,106.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,880.92,883.71,886.29,874.91,0.56,0.06,119.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,884.66,870.55,884.66,868.21,-13.16,-1.49,125.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,869.45,860.02,870.87,858.18,-10.54,-1.21,113.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,861.25,871.07,871.82,861.25,11.05,1.29,132.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,874.56,904.76,910.15,873.73,33.69,3.87,398.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,903.06,900.04,904.18,895.01,-4.71,-0.52,202.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,895.68,893.62,895.68,888.99,-6.42,-0.71,143.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,902.14,899.02,909.12,891.9,5.39,0.6,231.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,897.86,892.71,901.43,891.6,-6.3,-0.7,148.85,0.0,0.0,0.0,0.0,0.0,0.0,2,983.31,788.42
2012-09-14,897.41,894.51,900.16,888.82,1.79,0.2,178.41,0.0,0.0,0.0,0.0,0.0,0.0,2,984.57,789.43
2012-09-17,894.2,876.11,894.2,875.06,-18.39,-2.06,157.56,0.0,0.0,0.0,0.0,0.0,0.0,2,983.73,788.75
2012-09-18,874.17,865.93,874.17,863.61,-10.18,-1.16,101.27,0.0,0.0,0.0,0.0,0.0,0.0,2,983.21,788.34
2012-09-19,866.74,867.18,871.66,863.16,1.25,0.14,104.83,0.0,0.0,0.0,0.0,0.0,0.0,2,984.01,788.98
2012-09-20,866.04,856.05,872.69,855.09,-11.13,-1.28,176.1,0.0,0.0,0.0,0.0,0.0,0.0,2,982.34,787.64
2012-09-21,852.97,868.14,874.72,852.63,12.09,1.41,232.46,0.0,0.0,0.0,0.0,0.0,0.0,2,978.28,784.38
2012-09-24,862.92,865.08,867.66,854.1,-3.06,-0.35,136.2,0.0,0.0,0.0,24.79,33.13,8.1,2,974.4,781.27
2012-09-25,864.25,858.36,865.44,855.28,-6.72,-0.78,81.11,0.0,0.0,0.0,20.44,28.9,3.52,1,970.48,778.14
2012-09-26,857.58,850.96,860.72,848.29,-7.4,-0.86,105.55,0.0,0.0,0.0,15.34,24.38,-2.74,1,965.15,773.86
2012-09-27,851.29,874.41,879.29,850.29,23.44,2.75,223.96,908.31,876.77,845.23,29.19,25.98,35.61,2,963.12,772.23
2012-09-28,867.41,887.45,888.64,866.71,13.04,1.49,231.27,908.75,876.98,845.21,51.81,34.59,86.25,2,962.33,771.6
2012-10-08,888.27,885.37,896.32,880.59,-2.08,-0.23,138.07,908.92,877.07,845.22,60.28,43.15,94.52,2,963.36,772.42
2012-10-09,887.06,898.71,903.11,887.06,13.34,1.51,197.05,911.51,878.48,845.44,70.84,52.38,107.76,2,967.0,775.34
2012-10-10,895.0,899.7,901.63,891.36,0.99,0.11,151.39,913.59,880.46,847.33,78.49,61.08,113.29,2,970.61,778.24
2012-10-11,897.5,893.02,897.5,891.18,-6.68,-0.74,134.66,914.83,881.56,848.29,79.52,67.23,104.11,2,974.71,781.53
2012-10-12,895.03,894.64,902.21,892.51,1.62,0.18,128.27,913.18,881.05,848.92,81.2,71.89,99.82,2,977.65,783.89
2012-10-15,895.38,891.19,896.59,885.51,-3.45,-0.39,97.1,911.92,880.61,849.3,80.22,74.66,91.33,2,980.55,786.21
2012-10-16,890.57,891.26,895.79,887.51,0.07,0.01,98.55,911.62,880.49,849.36,79.33,76.22,85.56,2,984.2,789.14
2012-10-17,894.15,893.72,894.74,886.95,2.46,0.28,109.6,910.8,880.22,849.65,77.62,76.69,79.49,2,988.95,792.94
2012-10-18,895.16,907.04,909.24,894.62,13.32,1.49,247.78,913.28,880.94,848.61,82.52,78.63,90.3,2,992.57,795.85
2012-10-19,906.8,906.33,908.84,903.4,-0.72,-0.08,197.17,915.24,881.53,847.82,84.26,80.51,91.76,2,994.67,797.53
2012-10-22,902.79,907.15,908.45,899.31,0.82,0.09,100.85,918.47,883.08,847.7,86.57,82.53,94.65,2,997.09,799.47
2012-10-23,908.81,899.15,908.98,897.19,-7.99,-0.88,149.51,919.87,884.75,849.62,76.87,80.64,69.33,2,997.14,799.5
2012-10-24,896.69,905.72,906.58,895.68,6.56,0.73,174.16,921.96,886.67,851.39,79.64,80.31,78.3,2,997.8,800.04
2012-10-25,903.44,911.56,933.71,901.54,5.84,0.65,376.34,923.37,889.45,855.53,71.11,77.24,58.84,2,999.86,801.69
2012-10-26,908.33,898.46,909.48,889.93,-13.1,-1.44,257.14,923.63,890.96,858.3,55.61,70.03,26.77,2,1000.29,802.03
2012-10-29,896.12,893.47,902.0,889.01,-4.99,-0.56,179.72,922.82,892.38,861.95,41.72,60.59,3.97,2,1000.54,802.23
2012-10-30,894.34,896.09,905.38,892.06,2.63,0.29,188.52,920.41,894.27,868.13,33.09,51.43,-3.57,2,1001.07,802.66
2012-10-31,897.24,897.06,901.99,891.85,0.96,0.11,177.19,913.55,896.58,879.6,28.07,43.64,-3.08,2,1001.45,802.96
2012-11-01,899.5,910.2,912.78,897.62,13.14,1.47,242.5,913.0,898.36,883.73,34.51,40.6,22.34,2,1001.8,803.24
2012-11-02,910.65,913.63,915.02,903.09,3.43,0.38,193.44,914.85,899.67,884.5,41.37,40.85,42.39,2,1002.61,803.89
2012-11-05,912.75,914.71,917.36,909.09,1.09,0.12,169.04,916.17,901.14,886.11,46.74,42.82,54.6,2,1003.45,804.56
2012-11-06,913.61,903.43,914.17,896.43,-11.28,-1.23,168.02,916.4,901.38,886.36,41.92,42.52,40.71,2,1003.92,804.95
2012-11-07,902.07,899.62,905.29,896.3,-3.81,-0.42,153.56,916.39,901.37,886.35,40.42,41.82,37.62,2,1003.24,804.4
2012-11-08,895.25,882.31,895.79,881.17,-17.31,-1.92,141.22,917.67,900.84,884.01,28.0,37.21,9.57,2,1000.0,801.8
