time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2331.86,2334.97,2346.1,2329.48,-2.56,-0.11,1184.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2332.36,2365.85,2372.21,2328.85,30.88,1.32,1628.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2373.94,2345.41,2378.19,2339.47,-20.44,-0.86,1624.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2341.43,2354.12,2360.76,2333.05,8.71,0.37,1497.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2360.36,2368.96,2375.24,2353.05,14.84,0.63,1473.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2386.91,2466.06,2490.59,2386.91,97.1,4.1,4173.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2471.38,2481.23,2488.47,2468.5,15.18,0.62,2909.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2473.83,2473.66,2474.45,2453.87,-7.57,-0.31,2321.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2486.12,2481.9,2498.24,2457.16,8.24,0.33,2307.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2478.92,2461.84,2489.41,2461.5,-20.06,-0.81,2307.62,0.0,0.0,0.0,0.0,0.0,0.0,2,2678.87,2147.93
2012-09-14,2477.95,2469.74,2485.27,2447.59,7.9,0.32,2936.98,0.0,0.0,0.0,0.0,0.0,0.0,2,2693.83,2159.92
2012-09-17,2467.48,2407.64,2469.02,2407.61,-62.1,-2.51,2414.53,0.0,0.0,0.0,0.0,0.0,0.0,2,2698.47,2163.64
2012-09-18,2401.49,2387.66,2407.99,2380.06,-19.98,-0.83,1593.9,0.0,0.0,0.0,0.0,0.0,0.0,2,2703.16,2167.4
2012-09-19,2389.89,2393.09,2399.35,2378.61,5.42,0.23,1549.76,0.0,0.0,0.0,0.0,0.0,0.0,2,2707.49,2170.87
2012-09-20,2383.09,2337.2,2383.17,2336.02,-55.89,-2.34,1954.26,0.0,0.0,0.0,0.0,0.0,0.0,2,2703.96,2168.04
2012-09-21,2331.79,2331.03,2349.83,2323.56,-6.16,-0.26,1587.99,0.0,0.0,0.0,0.0,0.0,0.0,2,2688.97,2156.02
2012-09-24,2318.19,2348.36,2359.07,2305.63,17.32,0.74,1578.95,0.0,0.0,0.0,22.31,37.41,-7.87,2,2674.23,2144.2
2012-09-25,2345.12,2345.34,2361.91,2337.35,-3.02,-0.13,1171.01,0.0,0.0,0.0,22.08,32.3,1.64,1,2659.98,2132.78
2012-09-26,2346.51,2313.01,2352.68,2308.97,-32.33,-1.38,1255.19,0.0,0.0,0.0,16.09,26.89,-5.52,1,2641.24,2117.75
2012-09-27,2314.03,2371.2,2387.06,2313.64,58.19,2.52,2072.92,2505.87,2391.91,2277.96,24.1,25.96,20.38,2,2631.17,2109.68
2012-09-28,2355.77,2423.19,2426.62,2355.25,51.99,2.19,2507.89,2507.93,2396.32,2284.72,48.46,33.46,78.45,2,2626.01,2105.54
