time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2263.06,2263.26,2278.63,2256.78,-6.71,-0.3,826.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2257.53,2292.77,2303.21,2252.59,29.51,1.3,1225.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2293.14,2257.92,2299.98,2256.59,-34.86,-1.52,1102.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2251.25,2258.63,2271.99,2239.5,0.71,0.03,983.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2266.12,2287.12,2287.75,2265.5,28.49,1.26,912.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2310.68,2433.09,2458.5,2310.68,145.97,6.38,3160.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2443.19,2469.2,2489.67,2439.32,36.11,1.48,2682.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2452.77,2453.34,2453.34,2425.0,-15.86,-0.64,1880.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2475.45,2484.19,2500.24,2450.07,30.86,1.26,1935.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2480.76,2436.36,2488.14,2435.9,-47.84,-1.93,1406.6,0.0,0.0,0.0,0.0,0.0,0.0,2,2623.58,2103.59
2012-09-14,2489.17,2463.85,2505.76,2445.16,27.49,1.13,2050.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2645.85,2121.45
2012-09-17,2460.09,2380.65,2466.08,2380.57,-83.2,-3.38,1553.42,0.0,0.0,0.0,0.0,0.0,0.0,2,2655.6,2129.27
2012-09-18,2363.31,2345.24,2372.55,2333.69,-35.41,-1.49,1068.44,0.0,0.0,0.0,0.0,0.0,0.0,2,2665.3,2137.04
2012-09-19,2350.06,2376.56,2380.3,2341.99,31.32,1.34,1019.27,0.0,0.0,0.0,0.0,0.0,0.0,2,2678.39,2147.53
2012-09-20,2363.24,2293.28,2363.24,2292.63,-83.28,-3.5,1267.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2679.07,2148.08
2012-09-21,2288.29,2298.26,2332.85,2283.41,4.98,0.22,1060.36,0.0,0.0,0.0,0.0,0.0,0.0,2,2664.1,2136.08
2012-09-24,2277.65,2337.32,2355.83,2260.43,39.05,1.7,1323.91,0.0,0.0,0.0,28.74,43.7,-1.19,2,2649.46,2124.35
2012-09-25,2324.63,2316.7,2348.39,2306.72,-20.61,-0.88,1082.03,0.0,0.0,0.0,26.8,38.07,4.27,2,2634.3,2112.18
2012-09-26,2315.88,2278.59,2329.01,2275.43,-38.11,-1.65,923.58,0.0,0.0,0.0,20.34,32.16,-3.31,1,2611.48,2093.89
2012-09-27,2279.47,2366.41,2384.05,2278.02,87.82,3.85,1918.72,2506.67,2354.64,2202.6,30.74,31.68,28.84,2,2603.71,2087.66
2012-09-28,2344.87,2416.75,2420.07,2342.73,50.35,2.13,1945.73,2510.57,2362.31,2214.06,53.13,38.83,81.73,2,2598.48,2083.47
2012-10-08,2412.26,2386.42,2427.87,2371.78,-30.34,-1.26,1176.41,2512.05,2366.99,2221.94,60.5,46.06,89.39,2,2599.12,2083.98
2012-10-09,2398.68,2451.02,2458.52,2398.68,64.6,2.71,1783.66,2517.01,2376.65,2236.29,72.41,54.84,107.54,2,2610.87,2093.4
2012-10-10,2443.69,2465.46,2465.46,2431.76,14.45,0.59,1438.04,2521.4,2386.99,2252.58,81.6,63.76,117.29,2,2620.73,2101.31
2012-10-11,2452.51,2422.91,2459.32,2422.91,-42.55,-1.73,1354.68,2520.84,2393.78,2266.72,80.82,69.45,103.56,2,2635.12,2112.85
2012-10-12,2431.48,2424.42,2457.74,2394.56,1.51,0.06,1143.02,2519.92,2393.35,2266.77,80.01,72.97,94.1,2,2649.13,2124.07
2012-10-15,2421.42,2395.83,2421.45,2370.86,-28.59,-1.18,943.7,2511.41,2389.68,2267.95,74.46,73.47,76.45,2,2655.62,2129.28
2012-10-16,2396.1,2391.62,2420.03,2385.51,-4.21,-0.18,937.38,2504.79,2386.59,2268.4,69.84,72.26,65.01,2,2663.94,2135.95
2012-10-17,2407.56,2398.74,2416.03,2369.43,7.12,0.3,1034.04,2491.96,2382.32,2272.68,61.77,68.76,47.8,2,2677.27,2146.64
2012-10-18,2406.54,2445.54,2453.13,2406.54,46.79,1.95,1633.08,2493.4,2382.78,2272.16,67.6,68.38,66.05,2,2686.06,2153.69
2012-10-19,2443.01,2442.22,2458.31,2437.16,-3.31,-0.14,1171.96,2489.51,2381.7,2273.88,70.33,69.03,72.94,2,2688.88,2155.95
2012-10-22,2424.99,2451.21,2457.96,2418.77,8.98,0.37,1132.66,2497.21,2385.23,2273.24,75.28,71.11,83.61,2,2696.08,2161.72
2012-10-23,2450.34,2415.18,2455.8,2412.33,-36.03,-1.47,1358.52,2499.86,2388.72,2277.59,67.15,69.79,61.87,2,2692.1,2158.53
2012-10-24,2397.94,2397.88,2416.61,2389.88,-17.3,-0.72,1244.74,2500.84,2389.79,2278.73,55.44,65.01,36.3,2,2684.6,2152.51
2012-10-25,2396.66,2369.57,2419.17,2367.18,-28.31,-1.18,1308.69,2496.04,2393.6,2291.16,37.83,55.95,1.6,2,2678.68,2147.77
2012-10-26,2366.41,2306.64,2369.73,2300.7,-62.93,-2.66,1274.44,2494.96,2394.02,2293.09,26.48,46.12,-12.82,2,2665.6,2137.28
2012-10-29,2302.13,2291.27,2309.32,2280.64,-15.37,-0.67,873.53,2499.59,2391.72,2283.85,19.65,37.3,-15.66,2,2654.0,2127.98
2012-10-30,2292.37,2298.03,2321.44,2288.65,6.76,0.3,1117.45,2501.52,2390.79,2280.05,16.36,30.32,-11.56,2,2643.61,2119.65
2012-10-31,2297.57,2314.61,2315.57,2286.31,16.58,0.72,1045.2,2496.95,2392.59,2288.22,17.28,25.97,-0.11,2,2634.27,2112.16
2012-11-01,2316.95,2366.6,2377.47,2316.89,52.0,2.25,1629.01,2496.95,2392.6,2288.24,27.68,26.54,29.95,2,2625.51,2105.14
2012-11-02,2367.43,2369.57,2376.25,2347.62,2.96,0.13,1242.37,2494.43,2390.24,2286.04,35.38,29.49,47.16,2,2617.44,2098.67
2012-11-05,2364.25,2364.15,2384.66,2355.97,-5.42,-0.23,1044.45,2493.93,2389.12,2284.31,43.68,34.22,62.6,2,2607.78,2090.92
