time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3303.23,3320.72,3330.47,3295.38,9.41,0.28,940.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3314.0,3380.5,3385.22,3310.34,59.78,1.8,1185.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3383.29,3344.24,3392.75,3339.62,-36.26,-1.07,1161.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3335.78,3363.27,3374.29,3328.09,19.02,0.57,1136.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3370.36,3400.87,3401.56,3370.33,37.61,1.12,1225.59,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3426.44,3523.29,3558.09,3426.44,122.42,3.6,2844.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3532.24,3553.22,3565.19,3517.84,29.93,0.85,2409.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3543.35,3541.01,3543.35,3512.88,-12.21,-0.34,1959.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3551.33,3571.73,3572.22,3532.46,30.72,0.87,1930.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3569.93,3523.61,3580.59,3523.38,-48.12,-1.35,2022.55,0.0,0.0,0.0,0.0,0.0,0.0,2,3831.99,3072.5
2012-09-14,3553.83,3533.49,3567.77,3503.25,9.88,0.28,2072.49,0.0,0.0,0.0,0.0,0.0,0.0,2,3855.61,3091.44
2012-09-17,3528.47,3423.65,3529.92,3422.89,-109.83,-3.11,1755.75,0.0,0.0,0.0,0.0,0.0,0.0,2,3860.4,3095.28
2012-09-18,3406.48,3406.03,3431.96,3390.7,-17.63,-0.51,1200.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3867.26,3100.78
2012-09-19,3408.61,3441.8,3442.8,3407.35,35.78,1.05,1145.78,0.0,0.0,0.0,0.0,0.0,0.0,2,3875.98,3107.76
2012-09-20,3437.21,3340.65,3437.21,3339.43,-101.15,-2.94,1536.04,0.0,0.0,0.0,0.0,0.0,0.0,2,3869.29,3102.4
2012-09-21,3333.17,3322.99,3362.67,3315.16,-17.66,-0.53,1365.96,0.0,0.0,0.0,0.0,0.0,0.0,2,3847.06,3084.58
2012-09-24,3308.97,3345.82,3356.76,3283.99,22.83,0.69,1335.96,0.0,0.0,0.0,22.78,38.92,-9.51,2,3824.04,3066.12
2012-09-25,3335.56,3319.38,3356.13,3311.32,-26.44,-0.79,1107.76,0.0,0.0,0.0,19.16,32.33,-7.18,2,3799.44,3046.39
2012-09-26,3313.39,3246.21,3325.45,3239.87,-73.18,-2.2,1150.72,0.0,0.0,0.0,13.42,26.03,-11.8,1,3763.3,3017.42
2012-09-27,3239.76,3320.44,3338.39,3236.48,74.24,2.29,1502.82,3601.41,3411.15,3220.88,18.48,23.51,8.42,1,3740.75,2999.34
2012-09-28,3306.59,3382.44,3383.08,3298.08,62.0,1.87,1497.09,3600.49,3414.23,3227.97,35.9,27.64,52.42,2,3723.98,2985.9
