time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1539.82,1533.22,1546.56,1531.36,-11.65,-0.75,1018.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1529.19,1537.42,1545.32,1527.06,4.2,0.27,1521.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1538.68,1522.1,1540.32,1517.94,-15.32,-1.0,1328.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1519.12,1511.55,1522.6,1505.01,-10.55,-0.69,1424.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1513.92,1524.32,1524.87,1509.78,12.77,0.85,1300.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1533.97,1584.16,1600.94,1533.97,59.84,3.93,3746.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1584.01,1583.03,1589.93,1575.88,-1.13,-0.07,2239.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1577.22,1568.92,1577.22,1558.02,-14.12,-0.89,1569.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1577.11,1568.84,1584.37,1557.8,-0.08,0.0,1542.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1567.04,1561.3,1573.22,1560.98,-7.54,-0.48,1260.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1719.93,1379.04
2012-09-14,1576.42,1576.0,1585.87,1567.02,14.7,0.94,2082.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1724.68,1382.85
2012-09-17,1573.64,1546.49,1575.74,1545.43,-29.51,-1.87,1635.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1725.68,1383.66
2012-09-18,1540.03,1530.4,1541.04,1526.53,-16.09,-1.04,1137.19,0.0,0.0,0.0,0.0,0.0,0.0,2,1726.61,1384.4
2012-09-19,1530.9,1532.97,1536.58,1524.63,2.56,0.17,1234.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1728.98,1386.3
2012-09-20,1528.54,1507.47,1528.54,1505.91,-25.5,-1.66,1537.66,0.0,0.0,0.0,0.0,0.0,0.0,2,1727.11,1384.8
2012-09-21,1504.57,1511.05,1520.87,1502.86,3.58,0.24,1413.02,0.0,0.0,0.0,0.0,0.0,0.0,2,1719.0,1378.3
2012-09-24,1502.15,1514.49,1520.75,1494.32,3.44,0.23,1387.59,0.0,0.0,0.0,21.36,32.2,-0.31,2,1711.39,1372.2
2012-09-25,1511.27,1514.45,1520.67,1508.39,-0.04,0.0,1033.63,0.0,0.0,0.0,21.57,28.66,7.4,1,1705.34,1367.35
2012-09-26,1512.76,1504.07,1517.35,1500.85,-10.38,-0.69,914.6,0.0,0.0,0.0,17.93,25.08,3.63,1,1698.15,1361.58
2012-09-27,1504.74,1548.12,1559.17,1504.19,44.05,2.93,2008.86,1590.73,1539.02,1487.31,33.98,28.05,45.84,2,1696.69,1360.41
