time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1427.12,1431.77,1434.62,1425.32,-0.48,-0.03,84.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1426.28,1431.64,1436.33,1424.54,-0.13,-0.01,120.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1428.67,1415.28,1433.16,1411.46,-16.36,-1.14,135.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1414.04,1433.22,1440.62,1409.62,17.94,1.27,156.33,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1435.21,1436.35,1437.58,1426.37,3.13,0.22,101.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1442.87,1475.97,1490.79,1440.48,39.63,2.76,352.14,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1475.25,1474.47,1476.16,1463.57,-1.5,-0.1,216.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1469.59,1459.54,1469.59,1448.59,-14.93,-1.01,160.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1463.43,1449.61,1468.13,1438.15,-9.93,-0.68,184.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1448.65,1437.62,1452.59,1435.61,-11.99,-0.83,186.99,0.0,0.0,0.0,0.0,0.0,0.0,2,1603.45,1285.65
2012-09-14,1442.39,1434.23,1445.09,1426.02,-3.39,-0.24,198.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1603.72,1285.87
2012-09-17,1432.39,1409.93,1433.82,1408.03,-24.3,-1.69,153.34,0.0,0.0,0.0,0.0,0.0,0.0,2,1601.31,1283.93
2012-09-18,1407.29,1398.96,1407.4,1396.31,-10.97,-0.78,103.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1599.5,1282.48
2012-09-19,1399.96,1402.3,1404.82,1394.83,3.34,0.24,103.72,0.0,0.0,0.0,0.0,0.0,0.0,2,1596.07,1279.73
2012-09-20,1397.94,1364.3,1398.35,1363.18,-38.0,-2.71,142.34,0.0,0.0,0.0,0.0,0.0,0.0,2,1588.07,1273.32
2012-09-21,1362.97,1370.89,1383.65,1361.15,6.58,0.48,162.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1576.41,1263.96
2012-09-24,1362.62,1364.16,1370.47,1346.48,-6.73,-0.49,110.31,0.0,0.0,0.0,12.46,15.77,5.85,2,1564.16,1254.15
2012-09-25,1362.03,1358.05,1365.21,1352.62,-6.11,-0.45,106.52,0.0,0.0,0.0,11.94,14.5,6.84,1,1552.9,1245.11
2012-09-26,1357.03,1341.67,1360.54,1340.5,-16.39,-1.21,106.01,0.0,0.0,0.0,8.34,12.44,0.12,1,1540.91,1235.51
2012-09-27,1343.01,1373.01,1383.51,1341.55,31.35,2.34,174.6,1491.28,1413.15,1335.02,17.17,14.02,23.47,2,1533.74,1229.76
2012-09-28,1365.29,1401.37,1404.94,1362.38,28.36,2.07,233.29,1489.43,1411.63,1333.82,41.78,23.27,78.78,2,1530.1,1226.83
2012-10-08,1400.86,1392.68,1408.59,1385.75,-8.7,-0.62,131.58,1487.34,1409.68,1332.02,53.39,33.31,93.56,2,1528.18,1225.3
2012-10-09,1398.51,1416.13,1422.27,1398.51,23.46,1.68,206.96,1487.39,1409.72,1332.05,66.43,44.35,110.58,2,1530.09,1226.83
2012-10-10,1413.03,1412.15,1413.88,1404.04,-3.98,-0.28,157.71,1485.6,1408.67,1331.74,73.49,54.06,112.35,2,1531.18,1227.7
2012-10-11,1412.52,1404.67,1412.52,1403.27,-7.48,-0.53,156.11,1482.97,1407.09,1331.2,75.15,61.09,103.27,2,1535.66,1231.3
