time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-21,4760.89,4815.27,4827.96,4751.73,55.38,1.16,373.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-24,4811.09,4908.12,4909.83,4807.66,92.85,1.93,333.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-25,4906.85,5017.74,5019.99,4896.34,109.62,2.23,494.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-26,5010.41,5028.85,5029.83,4978.26,11.11,0.22,353.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-27,5036.27,5005.3,5044.32,4988.79,-23.55,-0.47,365.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-28,5011.29,5055.21,5055.38,4981.09,49.91,1.0,358.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-31,5061.21,5096.79,5096.79,5026.76,41.59,0.82,414.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,5107.09,4984.74,5108.9,4943.55,-112.06,-2.2,430.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,5007.39,5090.04,5091.61,5007.39,105.3,2.11,515.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,5100.12,5216.81,5241.89,5100.0,126.77,2.49,741.93,0.0,0.0,0.0,0.0,0.0,0.0,2,5574.29,4469.48
2013-01-09,5208.12,5209.63,5242.36,5181.28,-7.18,-0.14,527.93,0.0,0.0,0.0,0.0,0.0,0.0,2,5618.07,4504.58
2013-01-10,5206.81,5233.59,5243.22,5196.26,23.96,0.46,412.91,0.0,0.0,0.0,0.0,0.0,0.0,2,5654.2,4533.54
2013-01-11,5236.42,5185.01,5249.84,5172.62,-48.58,-0.93,408.03,0.0,0.0,0.0,0.0,0.0,0.0,2,5672.76,4548.43
2013-01-14,5192.6,5385.57,5387.46,5192.6,200.56,3.87,582.54,0.0,0.0,0.0,0.0,0.0,0.0,2,5712.36,4580.18
2013-01-15,5393.1,5458.71,5483.57,5381.5,73.14,1.36,635.85,0.0,0.0,0.0,0.0,0.0,0.0,2,5762.69,4620.53
2013-01-16,5460.54,5514.07,5554.79,5430.17,55.36,1.01,569.31,0.0,0.0,0.0,0.0,0.0,0.0,2,5813.62,4661.37
2013-01-17,5514.33,5526.15,5589.12,5499.42,12.08,0.22,410.96,0.0,0.0,0.0,92.41,93.14,90.95,0,5861.28,4699.58
2013-01-18,5538.33,5594.16,5615.29,5514.85,68.01,1.23,361.41,0.0,0.0,0.0,93.58,93.29,94.15,0,5928.93,4753.82
2013-01-21,5610.24,5613.1,5620.19,5566.53,18.94,0.34,392.9,0.0,0.0,0.0,95.19,93.92,97.72,0,5986.98,4800.38
2013-01-22,5606.88,5507.15,5608.17,5485.12,-105.96,-1.89,405.29,5700.25,5222.3,4744.35,88.37,92.07,80.98,2,6019.21,4826.22
2013-01-23,5499.96,5547.7,5549.73,5485.01,40.55,0.74,314.86,5718.4,5258.92,4799.45,86.85,90.33,79.89,2,6056.74,4856.3
2013-01-24,5544.88,5481.94,5617.6,5447.1,-65.75,-1.19,445.11,5727.11,5287.61,4848.12,80.46,87.04,67.29,2,6084.31,4878.41
2013-01-25,5486.77,5613.5,5624.47,5486.36,131.55,2.4,345.94,5760.44,5317.4,4874.36,85.47,86.52,83.37,2,6131.87,4916.54
2013-01-28,5610.61,5757.98,5757.98,5609.76,144.49,2.57,485.31,5815.52,5353.86,4892.19,90.31,87.78,95.37,2,6173.21,4949.69
2013-01-29,5752.06,5749.43,5774.63,5741.5,-8.55,-0.15,457.4,5854.31,5391.06,4927.82,90.98,88.85,95.24,2,6205.47,4975.56
2013-01-30,5742.17,5731.61,5743.81,5685.76,-17.82,-0.31,430.35,5883.86,5424.88,4965.91,89.61,89.1,90.62,2,6229.62,4994.92
2013-01-31,5739.65,5707.08,5750.35,5677.02,-24.53,-0.43,377.49,5904.1,5455.4,5006.7,86.2,88.13,82.32,2,6249.71,5011.02
2013-02-01,5690.31,5718.13,5769.05,5687.24,11.05,0.19,442.49,5898.83,5492.07,5085.31,85.05,87.1,80.93,2,6263.47,5022.06
2013-02-04,5729.93,5599.17,5740.88,5579.82,-118.96,-2.08,432.15,5881.98,5517.52,5153.07,72.17,82.13,52.27,2,6261.92,5020.82
2013-02-05,5588.74,5711.42,5736.37,5588.74,112.25,2.0,352.58,5888.4,5542.25,5196.11,75.02,79.76,65.54,2,6284.59,5039.0
2013-02-06,5706.43,5826.94,5826.94,5704.63,115.52,2.02,413.73,5904.91,5573.12,5241.33,83.34,80.95,88.13,2,6315.59,5063.85
2013-02-07,5805.16,5882.98,5893.71,5797.44,56.04,0.96,385.93,5924.99,5605.59,5286.19,87.76,83.22,96.83,2,6360.1,5099.54
2013-02-08,5881.98,6004.48,6045.88,5878.95,121.5,2.07,421.44,5949.46,5646.56,5343.67,88.88,85.11,96.42,2,6403.5,5134.34
