time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2174.17,2168.43,2186.92,2163.77,-11.47,-0.53,731.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2170.63,2202.08,2211.15,2168.78,33.66,1.55,997.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2206.35,2174.08,2210.83,2171.96,-28.0,-1.27,964.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2167.01,2178.22,2190.16,2158.42,4.14,0.19,956.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2183.0,2205.87,2206.24,2182.84,27.65,1.27,905.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2226.6,2326.53,2350.76,2226.6,120.66,5.47,2785.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2346.15,2362.86,2381.65,2337.39,36.33,1.56,2572.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2344.8,2345.43,2345.65,2323.66,-17.44,-0.74,1695.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2364.79,2378.31,2394.96,2348.61,32.88,1.4,2043.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2375.18,2329.79,2377.77,2329.79,-48.52,-2.04,1594.6,0.0,0.0,0.0,0.0,0.0,0.0,2,2516.55,2017.77
2012-09-14,2390.21,2374.28,2410.25,2355.68,44.49,1.91,2294.98,0.0,0.0,0.0,0.0,0.0,0.0,2,2539.4,2036.09
2012-09-17,2372.54,2318.7,2384.54,2318.45,-55.58,-2.34,1772.99,0.0,0.0,0.0,0.0,0.0,0.0,2,2552.34,2046.47
2012-09-18,2297.57,2275.99,2300.38,2265.7,-42.71,-1.84,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2563.65,2055.54
2012-09-19,2278.98,2321.19,2322.91,2271.71,45.2,1.99,1275.92,0.0,0.0,0.0,0.0,0.0,0.0,2,2579.52,2068.27
2012-09-20,2309.94,2249.22,2309.94,2245.17,-71.97,-3.1,1619.52,0.0,0.0,0.0,0.0,0.0,0.0,2,2584.34,2072.12
2012-09-21,2245.54,2269.84,2298.71,2245.54,20.62,0.92,1542.33,0.0,0.0,0.0,0.0,0.0,0.0,2,2578.04,2067.08
2012-09-24,2247.22,2284.05,2298.47,2228.65,14.2,0.63,1460.46,0.0,0.0,0.0,32.99,49.37,0.24,2,2569.29,2060.07
2012-09-25,2273.4,2256.02,2283.5,2249.22,-28.03,-1.23,1273.18,0.0,0.0,0.0,27.02,41.92,-2.78,2,2559.37,2052.11
