time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-21,3185.52,3175.43,3224.62,3163.86,-9.16,-0.29,10785.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-24,3169.72,3189.74,3198.25,3168.39,14.31,0.45,8217.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-25,3182.79,3266.59,3277.17,3172.3,76.84,2.41,14836.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-26,3264.71,3301.94,3301.99,3261.69,35.35,1.08,11839.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-27,3308.25,3277.04,3325.27,3276.67,-24.9,-0.75,12047.88,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-28,3275.9,3317.3,3317.44,3267.66,40.26,1.23,10848.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-12-31,3324.45,3359.7,3359.7,3319.57,42.41,1.28,12941.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,3385.0,3343.66,3392.23,3312.54,-16.05,-0.48,14415.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,3337.08,3370.07,3370.23,3330.22,26.42,0.79,11789.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,3368.64,3398.07,3404.66,3345.76,28.0,0.83,12380.09,0.0,0.0,0.0,0.0,0.0,0.0,2,3662.95,2936.96
2013-01-09,3392.4,3405.37,3425.13,3372.63,7.3,0.21,12115.86,0.0,0.0,0.0,0.0,0.0,0.0,2,3688.47,2957.42
2013-01-10,3405.57,3426.97,3442.24,3400.16,21.6,0.63,11898.78,0.0,0.0,0.0,0.0,0.0,0.0,2,3714.8,2978.54
2013-01-11,3428.85,3346.78,3433.56,3337.92,-80.19,-2.34,12553.97,0.0,0.0,0.0,0.0,0.0,0.0,2,3723.71,2985.67
2013-01-14,3337.94,3467.64,3470.71,3336.75,120.86,3.61,15030.73,0.0,0.0,0.0,0.0,0.0,0.0,2,3742.1,3000.42
2013-01-15,3472.66,3525.91,3538.01,3472.52,58.26,1.68,16798.98,0.0,0.0,0.0,0.0,0.0,0.0,2,3769.72,3022.57
2013-01-16,3523.82,3521.38,3540.44,3463.09,-4.53,-0.13,15644.46,0.0,0.0,0.0,0.0,0.0,0.0,2,3792.38,3040.73
2013-01-17,3514.02,3477.65,3521.0,3465.56,-43.72,-1.24,11733.08,0.0,0.0,0.0,83.94,87.39,77.06,2,3805.47,3051.23
2013-01-18,3489.15,3531.81,3537.94,3474.88,54.16,1.56,12905.89,0.0,0.0,0.0,87.88,87.55,88.55,2,3826.35,3067.98
2013-01-21,3540.28,3555.03,3555.42,3521.72,23.22,0.66,13792.33,0.0,0.0,0.0,91.86,88.99,97.61,2,3846.88,3084.44
2013-01-22,3552.63,3501.46,3552.63,3477.82,-53.58,-1.51,15924.04,3608.57,3387.98,3167.39,86.35,88.11,82.83,2,3858.36,3093.64
2013-01-23,3490.05,3506.92,3516.59,3460.45,5.46,0.16,11909.68,3607.91,3404.55,3201.19,83.51,86.58,77.37,2,3869.63,3102.68
2013-01-24,3507.11,3441.42,3548.81,3416.32,-65.5,-1.87,16845.21,3595.36,3417.14,3238.91,71.63,81.59,51.7,2,3871.24,3103.96
