time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,3094.14,3004.32,3094.14,3004.32,0.0,-2.03,211.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,2989.3,2969.81,3038.65,2967.13,0.0,-1.15,262.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,2967.09,3011.21,3018.41,2959.63,0.0,1.39,297.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,3009.39,3112.31,3112.31,2980.47,0.0,3.36,382.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,3105.51,3235.47,3239.53,3105.51,0.0,3.96,491.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,3229.49,3207.77,3229.73,3190.86,0.0,-0.86,313.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,3195.71,3203.56,3244.98,3195.71,0.0,-0.13,233.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,3209.98,3152.11,3218.61,3135.2,0.0,-1.61,265.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,3141.61,3124.62,3178.58,3124.59,0.0,-0.87,189.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,3127.67,3311.3,3314.12,3127.67,0.0,5.98,388.71,0.0,0.0,0.0,0.0,0.0,0.0,2,3477.91,2788.59
2012-01-18,3299.63,3289.31,3403.49,3283.32,0.0,-0.66,479.01,0.0,0.0,0.0,0.0,0.0,0.0,2,3509.54,2813.95
2012-01-19,3298.43,3396.22,3409.67,3298.43,0.0,3.25,414.69,0.0,0.0,0.0,0.0,0.0,0.0,2,3556.87,2851.91
2012-01-20,3407.9,3450.12,3470.85,3405.72,0.0,1.59,407.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3605.59,2890.97
2012-01-30,3449.25,3366.86,3449.25,3366.13,0.0,-2.41,271.57,0.0,0.0,0.0,0.0,0.0,0.0,2,3633.84,2913.62
2012-01-31,3370.79,3362.81,3387.37,3345.2,0.0,-0.12,184.07,0.0,0.0,0.0,0.0,0.0,0.0,2,3647.98,2924.96
2012-02-01,3356.94,3285.36,3366.72,3281.4,0.0,-2.3,203.39,0.0,0.0,0.0,0.0,0.0,0.0,2,3656.59,2931.86
2012-02-02,3304.7,3408.72,3408.72,3288.37,0.0,3.76,287.87,0.0,0.0,0.0,71.46,75.56,63.26,2,3679.36,2950.12
2012-02-03,3394.47,3431.82,3452.94,3386.37,0.0,0.68,328.79,0.0,0.0,0.0,77.18,76.1,79.35,2,3710.41,2975.02
2012-02-06,3442.92,3398.52,3442.92,3381.13,0.0,-0.97,266.18,0.0,0.0,0.0,72.06,74.76,66.68,2,3740.82,2999.39
2012-02-07,3369.25,3303.8,3369.25,3286.27,0.0,-2.79,284.56,3541.76,3251.3,2960.84,51.98,67.17,21.62,2,3739.98,2998.73
2012-02-08,3296.98,3423.48,3440.72,3296.98,0.0,3.62,350.1,3548.55,3272.26,2995.96,59.65,64.66,49.64,2,3754.88,3010.67
2012-02-09,3431.86,3407.8,3439.6,3406.15,0.0,-0.46,343.54,3538.7,3294.16,3049.62,64.33,64.55,63.89,2,3756.16,3011.7
2012-02-10,3395.14,3434.92,3486.14,3395.14,0.0,0.8,422.74,3529.71,3315.34,3100.97,67.88,65.66,72.32,2,3754.47,3010.34
