time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2066.65,2071.74,2081.8,2055.96,0.06,0.0,100.69,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2066.94,2084.89,2094.99,2056.55,13.15,0.63,106.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2081.91,2053.98,2088.49,2050.51,-30.91,-1.48,89.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2052.92,2086.0,2090.45,2048.67,32.01,1.56,91.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2084.67,2109.97,2110.91,2084.67,23.98,1.15,87.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2126.55,2172.6,2198.15,2121.36,62.63,2.97,266.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2184.26,2195.03,2203.39,2174.14,22.43,1.03,170.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2187.14,2187.7,2195.01,2174.41,-7.33,-0.33,148.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2196.53,2201.61,2206.12,2167.99,13.91,0.64,142.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2214.54,2209.02,2235.98,2207.82,7.41,0.34,158.07,0.0,0.0,0.0,0.0,0.0,0.0,2,2372.35,1902.16
2012-09-14,2242.5,2219.4,2246.3,2193.08,10.38,0.47,155.51,0.0,0.0,0.0,0.0,0.0,0.0,2,2388.74,1915.3
2012-09-17,2212.29,2147.64,2212.63,2145.89,-71.76,-3.23,122.01,0.0,0.0,0.0,0.0,0.0,0.0,2,2395.71,1920.88
2012-09-18,2155.75,2131.63,2163.44,2124.81,-16.01,-0.75,126.62,0.0,0.0,0.0,0.0,0.0,0.0,2,2404.33,1927.79
2012-09-19,2144.05,2169.13,2185.61,2141.18,37.5,1.76,101.76,0.0,0.0,0.0,0.0,0.0,0.0,2,2413.55,1935.19
2012-09-20,2168.65,2109.91,2168.65,2103.26,-59.22,-2.73,132.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2413.55,1935.19
2012-09-21,2101.17,2091.34,2117.23,2082.26,-18.57,-0.88,86.17,0.0,0.0,0.0,0.0,0.0,0.0,2,2404.53,1927.95
2012-09-24,2083.51,2115.1,2122.68,2061.59,23.76,1.14,98.68,0.0,0.0,0.0,29.11,45.63,-3.92,2,2395.66,1920.84
2012-09-25,2110.07,2094.58,2115.29,2085.31,-20.52,-0.97,65.92,0.0,0.0,0.0,25.36,38.87,-1.66,2,2385.32,1912.55
2012-09-26,2092.43,2072.57,2107.3,2063.4,-22.02,-1.05,82.93,0.0,0.0,0.0,18.89,32.21,-7.75,2,2371.0,1901.07
