time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1002.59,969.76,1002.59,958.21,-30.24,-3.02,222.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,960.16,979.99,980.32,952.26,10.23,1.05,195.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,980.18,1002.79,1008.42,980.06,22.8,2.33,263.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1000.66,1014.19,1022.9,1000.66,11.4,1.14,272.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1013.13,1018.89,1023.83,1010.71,4.7,0.46,226.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1020.98,1011.4,1027.67,1010.31,-7.49,-0.74,304.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1011.44,1056.38,1056.38,1010.46,44.98,4.45,311.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1056.41,1086.57,1091.39,1056.41,30.19,2.86,382.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1081.89,1101.25,1103.63,1075.63,14.68,1.35,349.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1096.78,1082.78,1098.75,1080.39,-18.47,-1.68,286.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1145.96,918.84
2013-01-18,1094.32,1099.08,1102.18,1081.58,16.3,1.51,293.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1160.32,930.35
2013-01-21,1098.45,1091.9,1101.98,1082.71,-7.18,-0.65,331.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1172.74,940.31
2013-01-22,1084.36,1073.16,1089.75,1064.27,-18.74,-1.72,305.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1180.55,946.57
2013-01-23,1069.54,1086.41,1086.41,1066.13,13.25,1.23,276.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1188.57,953.0
2013-01-24,1085.03,1057.85,1087.8,1048.21,-28.56,-2.63,380.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1192.89,956.46
2013-01-25,1055.52,1050.65,1062.99,1048.72,-7.2,-0.68,194.82,0.0,0.0,0.0,0.0,0.0,0.0,2,1197.25,959.96
2013-01-28,1055.86,1068.59,1068.59,1055.36,17.94,1.71,245.19,0.0,0.0,0.0,46.09,68.71,0.83,2,1198.6,961.04
2013-01-29,1066.79,1077.72,1077.95,1061.41,9.13,0.85,263.66,0.0,0.0,0.0,48.95,62.13,22.6,2,1197.62,960.26
2013-01-30,1077.25,1081.87,1086.26,1073.76,4.15,0.39,340.05,0.0,0.0,0.0,53.42,59.23,41.82,2,1195.47,958.53
2013-01-31,1084.44,1067.29,1084.44,1065.18,-14.58,-1.35,247.47,1132.15,1053.93,975.7,47.44,55.3,31.73,2,1193.75,957.15
2013-02-01,1067.67,1073.96,1082.59,1064.39,6.67,0.62,290.81,1127.5,1059.14,990.77,52.29,54.3,48.28,2,1190.96,954.92
2013-02-04,1078.45,1056.53,1080.21,1052.9,-17.43,-1.62,302.49,1120.97,1062.96,1004.96,41.87,50.15,25.29,2,1187.04,951.77
2013-02-05,1057.09,1075.93,1075.98,1053.91,19.4,1.84,236.82,1117.81,1066.62,1015.43,51.25,50.52,52.71,2,1187.34,952.02
2013-02-06,1079.62,1088.19,1090.27,1078.62,12.26,1.14,213.24,1116.24,1070.32,1024.4,65.83,55.62,86.25,2,1187.54,952.17
2013-02-07,1087.1,1111.31,1111.31,1086.67,23.12,2.12,211.37,1117.72,1074.94,1032.16,77.22,62.82,106.02,2,1193.48,956.93
2013-02-08,1112.7,1133.23,1140.64,1112.08,21.92,1.97,246.66,1120.45,1081.03,1041.61,82.0,69.21,107.57,2,1202.64,964.28
2013-02-18,1143.07,1136.73,1143.07,1127.72,3.5,0.31,258.1,1129.64,1085.05,1040.46,85.66,74.69,107.58,2,1210.21,970.35
2013-02-19,1134.93,1119.56,1141.84,1115.12,-17.17,-1.51,222.77,1133.76,1086.7,1039.63,81.75,77.05,91.15,2,1214.85,974.07
2013-02-20,1119.02,1140.1,1140.1,1115.74,20.54,1.83,203.6,1140.87,1088.64,1036.41,86.73,80.27,99.65,2,1221.31,979.25
2013-02-21,1127.31,1125.55,1140.51,1115.41,-14.55,-1.28,237.59,1145.33,1090.78,1036.23,84.68,81.74,90.55,2,1227.78,984.44
2013-02-22,1123.18,1123.66,1139.41,1122.45,-1.89,-0.17,189.97,1148.33,1092.01,1035.69,82.53,82.0,83.58,2,1233.3,988.86
2013-02-25,1129.98,1146.55,1147.06,1126.2,22.89,2.04,200.59,1155.87,1094.74,1033.61,88.1,84.04,96.24,2,1243.29,996.87
2013-02-26,1142.04,1150.21,1173.47,1140.99,3.66,0.32,261.93,1163.4,1098.59,1033.79,83.14,83.74,81.94,2,1251.53,1003.48
2013-02-27,1158.38,1147.61,1162.61,1139.54,-2.6,-0.23,214.12,1169.57,1101.65,1033.74,74.72,80.73,62.69,2,1258.13,1008.77
2013-02-28,1153.45,1163.26,1163.58,1143.88,15.65,1.36,234.49,1176.76,1106.92,1037.09,77.31,79.59,72.75,2,1263.9,1013.39
2013-03-01,1164.52,1196.06,1196.06,1163.62,32.8,2.82,293.49,1189.17,1114.2,1039.22,84.87,81.35,91.92,2,1270.87,1018.99
2013-03-04,1188.15,1169.26,1201.07,1162.21,-26.8,-2.24,312.21,1194.8,1119.23,1043.66,77.54,80.08,72.45,2,1274.48,1021.88
2013-03-05,1173.75,1211.42,1211.71,1165.81,42.16,3.61,280.26,1208.9,1125.91,1042.93,84.92,81.7,91.38,2,1284.68,1030.06
2013-03-06,1220.52,1236.04,1240.35,1220.52,24.62,2.03,343.66,1226.83,1133.62,1040.42,88.73,84.04,98.11,2,1295.33,1038.6
2013-03-07,1226.85,1207.41,1234.49,1191.01,-28.63,-2.32,308.3,1233.9,1140.63,1047.36,82.87,83.65,81.31,0,1304.41,1045.88
2013-03-08,1210.69,1182.58,1212.18,1181.16,-24.83,-2.06,200.71,1235.75,1146.06,1056.37,69.48,78.93,50.58,0,1310.95,1051.13
2013-03-11,1178.21,1191.29,1200.99,1174.36,8.71,0.74,144.66,1234.46,1152.8,1071.13,63.43,73.76,42.77,2,1315.92,1055.11
2013-03-12,1191.14,1160.79,1203.63,1147.06,-30.5,-2.56,274.61,1230.71,1157.04,1083.37,48.13,65.22,13.95,2,1317.09,1056.05
2013-03-13,1155.26,1158.09,1158.66,1135.48,-2.7,-0.23,182.85,1227.1,1160.54,1093.97,39.27,56.57,4.68,2,1318.26,1056.98
2013-03-14,1158.32,1177.05,1181.36,1158.1,18.96,1.64,137.86,1226.73,1163.82,1100.91,39.4,50.84,16.5,2,1319.79,1058.21
2013-03-15,1180.82,1195.27,1217.55,1178.6,18.22,1.55,208.5,1229.61,1166.92,1104.23,45.27,48.99,37.83,2,1319.7,1058.14
2013-03-18,1192.09,1198.33,1210.85,1191.47,3.06,0.26,162.26,1232.51,1170.0,1107.5,50.16,49.38,51.72,2,1322.93,1060.73
2013-03-19,1202.33,1186.04,1207.01,1174.47,-12.29,-1.03,153.5,1231.68,1173.33,1114.97,50.46,49.74,51.9,2,1320.11,1058.47
2013-03-20,1185.0,1214.65,1214.65,1184.67,28.61,2.41,201.99,1235.97,1177.06,1118.15,65.79,55.09,87.21,2,1317.74,1056.56
2013-03-21,1220.67,1251.28,1257.11,1219.05,36.63,3.02,239.09,1245.66,1183.34,1121.02,75.6,61.93,102.94,2,1322.61,1060.47
2013-03-22,1251.78,1258.65,1269.05,1251.78,7.37,0.59,198.16,1254.3,1190.09,1125.88,81.14,68.33,106.75,2,1331.05,1067.24
2013-03-25,1263.52,1267.65,1270.74,1243.58,9.0,0.72,186.47,1265.43,1196.15,1126.86,86.66,74.44,111.11,2,1339.53,1074.03
2013-03-26,1257.03,1269.15,1270.22,1244.87,1.5,0.12,180.71,1274.91,1202.09,1129.27,90.64,79.84,112.23,2,1351.55,1083.68
2013-03-27,1270.78,1272.45,1280.25,1260.95,3.3,0.26,184.06,1282.79,1208.34,1133.88,91.3,83.66,106.58,0,1364.25,1093.86
2013-03-28,1250.88,1245.42,1258.43,1240.38,-27.03,-2.12,193.12,1285.55,1212.44,1139.34,83.23,83.52,82.64,2,1371.84,1099.94
2013-03-29,1249.89,1245.91,1254.84,1235.04,0.49,0.04,153.91,1289.03,1214.94,1140.84,78.0,81.68,70.64,2,1377.46,1104.45
2013-04-01,1241.37,1244.18,1250.46,1235.28,-1.73,-0.14,178.8,1290.71,1218.68,1146.66,72.75,78.7,60.85,2,1382.55,1108.53
2013-04-02,1240.13,1199.54,1250.73,1199.05,-44.64,-3.59,200.84,1290.54,1218.09,1145.64,48.7,68.7,8.7,2,1384.05,1109.73
2013-04-03,1201.86,1191.78,1204.15,1175.17,-7.76,-0.65,180.63,1288.7,1215.88,1143.05,37.74,58.38,-3.55,2,1381.51,1107.69
2013-04-08,1167.33,1232.48,1232.74,1167.17,40.7,3.42,195.93,1290.19,1217.13,1144.07,44.41,53.72,25.78,2,1379.42,1106.02
2013-04-09,1234.39,1243.02,1243.02,1230.78,10.54,0.86,195.67,1292.24,1220.15,1148.06,51.97,53.14,49.62,2,1377.69,1104.63
2013-04-10,1237.31,1228.64,1244.0,1216.42,-14.38,-1.16,170.18,1292.94,1222.02,1151.09,52.76,53.01,52.27,2,1373.36,1101.16
2013-04-11,1233.86,1213.5,1233.86,1213.5,-15.14,-1.23,154.94,1289.98,1224.65,1159.33,52.1,52.71,50.88,2,1367.18,1096.21
2013-04-12,1208.82,1202.92,1221.46,1201.35,-10.58,-0.87,156.93,1285.68,1226.9,1168.11,48.32,51.25,42.48,2,1359.46,1090.02
2013-04-15,1199.13,1177.77,1199.27,1176.84,-25.15,-2.09,138.39,1285.59,1226.93,1168.27,36.44,46.31,16.71,2,1351.95,1084.0
2013-04-16,1172.39,1203.44,1205.76,1170.69,25.67,2.18,133.73,1285.22,1227.34,1169.46,38.77,43.8,28.7,2,1347.24,1080.22
2013-04-17,1202.76,1237.37,1239.69,1202.76,33.93,2.82,168.08,1285.75,1229.29,1172.84,56.3,47.96,72.97,2,1346.48,1079.61
2013-04-18,1228.62,1236.61,1253.87,1228.62,-0.76,-0.06,163.12,1284.72,1231.82,1178.92,64.23,53.39,85.92,2,1350.6,1082.91
2013-04-19,1237.61,1257.49,1263.36,1235.27,20.88,1.69,202.41,1287.37,1233.96,1180.55,74.04,60.27,101.58,2,1357.89,1088.76
2013-04-22,1257.07,1289.36,1289.36,1255.32,31.87,2.53,241.49,1294.11,1235.87,1177.63,82.7,67.75,112.59,2,1364.2,1093.82
2013-04-23,1290.98,1265.07,1293.02,1263.86,-24.29,-1.88,228.07,1294.99,1236.19,1177.38,80.85,72.11,98.32,2,1366.65,1095.78
2013-04-24,1268.73,1304.92,1310.27,1260.97,39.85,3.15,289.96,1302.79,1238.05,1173.31,85.95,76.73,104.41,2,1375.12,1102.57
2013-04-25,1296.74,1261.89,1306.48,1261.89,-43.03,-3.3,323.51,1301.8,1237.69,1173.57,79.08,77.51,82.22,2,1380.49,1106.88
2013-04-26,1261.28,1223.82,1261.28,1219.14,-38.07,-3.02,238.95,1297.58,1235.26,1172.94,65.41,73.48,49.27,2,1382.81,1108.74
2013-05-02,1215.88,1256.51,1258.42,1215.88,32.69,2.67,161.56,1298.68,1235.81,1172.94,60.27,69.08,42.66,2,1391.55,1115.75
