time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,4809.7,4797.56,4834.68,4787.43,-26.23,-0.54,301.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4799.76,4859.58,4882.29,4793.14,62.02,1.29,465.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4866.09,4808.4,4884.52,4804.56,-51.19,-1.05,402.12,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4790.25,4783.72,4818.1,4746.12,-24.68,-0.51,406.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4791.05,4835.22,4837.07,4783.91,51.51,1.08,344.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4879.74,5133.04,5193.89,4879.74,297.82,6.16,1235.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,5154.77,5192.35,5232.02,5122.77,59.31,1.16,995.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,5153.81,5152.0,5153.81,5108.09,-40.35,-0.78,609.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,5202.22,5231.05,5285.28,5173.99,79.05,1.53,786.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,5227.03,5129.88,5228.21,5129.1,-101.17,-1.93,514.63,0.0,0.0,0.0,0.0,0.0,0.0,2,5541.43,4443.13
2012-09-14,5295.5,5223.87,5346.8,5195.67,93.99,1.83,1116.31,0.0,0.0,0.0,0.0,0.0,0.0,2,5588.75,4481.07
2012-09-17,5224.01,5096.55,5255.32,5095.78,-127.33,-2.44,717.25,0.0,0.0,0.0,0.0,0.0,0.0,2,5615.05,4502.16
2012-09-18,5048.97,4986.32,5048.97,4963.39,-110.23,-2.16,520.52,0.0,0.0,0.0,0.0,0.0,0.0,2,5634.8,4518.0
2012-09-19,4994.64,5089.8,5092.58,4965.3,103.49,2.08,645.23,0.0,0.0,0.0,0.0,0.0,0.0,2,5668.78,4545.24
2012-09-20,5051.95,4910.77,5051.95,4902.51,-179.04,-3.52,698.28,0.0,0.0,0.0,0.0,0.0,0.0,2,5677.16,4551.96
2012-09-21,4898.06,4961.67,5052.37,4897.08,50.9,1.04,813.85,0.0,0.0,0.0,0.0,0.0,0.0,2,5658.14,4536.71
2012-09-24,4906.41,5025.94,5063.99,4863.11,64.27,1.3,655.51,0.0,0.0,0.0,32.36,46.22,4.65,2,5639.67,4521.9
2012-09-25,4992.38,4962.08,5016.39,4931.88,-63.86,-1.27,512.48,0.0,0.0,0.0,28.4,40.28,4.63,2,5618.59,4505.0
2012-09-26,4957.02,4882.23,4978.38,4873.06,-79.85,-1.61,448.66,0.0,0.0,0.0,20.25,33.6,-6.46,2,5579.87,4473.95
2012-09-27,4874.76,5055.08,5108.12,4869.11,172.85,3.54,783.68,5293.9,5005.86,4717.81,29.81,32.34,24.76,2,5571.57,4467.29
2012-09-28,5022.11,5164.35,5167.98,5017.73,109.27,2.16,920.95,5303.43,5024.2,4744.96,52.81,39.16,80.11,2,5564.96,4462.0
2012-10-08,5150.92,5076.05,5166.77,5044.75,-88.3,-1.71,537.97,5304.5,5035.02,4765.54,58.49,45.61,84.26,2,5562.69,4460.17
2012-10-09,5106.28,5180.96,5203.8,5101.28,104.9,2.07,726.01,5309.03,5053.65,4798.26,70.09,53.77,102.74,2,5584.29,4477.49
2012-10-10,5161.58,5201.99,5203.11,5125.7,21.03,0.41,597.48,5305.43,5074.56,4843.69,79.88,62.47,114.71,2,5596.74,4487.48
2012-10-11,5174.37,5130.24,5196.4,5129.6,-71.75,-1.38,592.9,5293.26,5089.31,4885.37,79.39,68.11,101.95,2,5621.11,4507.01
2012-10-12,5153.88,5128.04,5199.65,5077.89,-2.2,-0.04,510.8,5292.8,5089.06,4885.32,78.72,71.65,92.85,2,5639.57,4521.82
2012-10-15,5103.42,5043.7,5103.42,5003.7,-84.34,-1.64,430.91,5280.54,5081.63,4882.71,69.87,71.05,67.49,2,5641.54,4523.4
2012-10-16,5034.57,5034.13,5089.56,5018.77,-9.57,-0.19,377.35,5272.94,5075.74,4878.53,63.01,68.37,52.29,2,5649.54,4529.81
2012-10-17,5068.87,5046.47,5078.79,4995.87,12.34,0.25,405.35,5250.61,5066.51,4882.4,50.12,62.29,25.78,2,5667.77,4544.43
2012-10-18,5062.91,5134.33,5149.33,5062.81,87.86,1.74,586.98,5251.15,5066.73,4882.31,55.61,60.06,46.7,2,5676.57,4551.48
2012-10-19,5129.08,5113.28,5155.33,5097.76,-21.05,-0.41,414.86,5232.62,5061.2,4889.78,55.9,58.67,50.34,2,5670.9,4546.94
