time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,1253.59,1203.63,1262.87,1198.72,0.0,-3.3,284.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,1193.84,1157.97,1207.64,1144.39,0.0,-3.79,310.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,1153.55,1168.48,1180.51,1122.82,0.0,0.9,274.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,1169.37,1223.17,1228.78,1153.52,0.0,4.68,394.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,1217.16,1276.62,1291.1,1209.77,0.0,4.36,583.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1274.5,1274.53,1302.2,1252.77,0.0,-0.16,491.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1266.37,1276.97,1301.2,1255.78,0.0,0.19,381.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1276.54,1227.52,1286.43,1212.16,0.0,-3.87,401.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,1209.48,1176.5,1222.23,1172.76,0.0,-4.15,246.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,1173.77,1243.64,1250.46,1159.46,0.0,5.7,390.67,0.0,0.0,0.0,0.0,0.0,0.0,2,1357.42,1088.38
2012-01-18,1246.91,1209.96,1266.42,1201.6,0.0,-2.7,384.9,0.0,0.0,0.0,0.0,0.0,0.0,2,1358.12,1088.95
2012-01-19,1205.2,1227.68,1242.04,1191.8,0.0,1.46,300.17,0.0,0.0,0.0,0.0,0.0,0.0,2,1365.86,1095.15
2012-01-20,1231.07,1245.72,1255.93,1221.38,0.0,1.46,280.84,0.0,0.0,0.0,0.0,0.0,0.0,2,1374.44,1102.03
2012-01-30,1250.19,1239.99,1265.4,1228.71,0.0,-0.45,261.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1376.3,1103.52
2012-01-31,1242.14,1244.92,1260.58,1224.54,0.0,0.39,270.13,0.0,0.0,0.0,0.0,0.0,0.0,2,1372.78,1100.7
2012-02-01,1242.02,1236.08,1263.98,1224.66,0.0,-0.7,277.61,0.0,0.0,0.0,0.0,0.0,0.0,2,1368.52,1097.28
2012-02-02,1239.97,1265.1,1268.16,1230.55,0.0,2.34,304.36,0.0,0.0,0.0,70.43,57.42,96.46,2,1367.2,1096.22
2012-02-03,1262.88,1301.48,1315.1,1255.28,0.0,2.87,597.29,0.0,0.0,0.0,77.37,64.07,103.97,2,1375.41,1102.81
2012-02-06,1303.92,1309.99,1323.89,1289.39,0.0,0.65,491.22,0.0,0.0,0.0,81.41,69.85,104.52,2,1390.23,1114.69
2012-02-07,1302.71,1288.23,1313.98,1273.06,0.0,-1.66,413.54,1322.75,1239.91,1157.07,78.6,72.77,90.28,2,1395.18,1118.65
2012-02-08,1284.68,1319.66,1326.97,1276.06,0.0,2.43,442.36,1333.67,1245.71,1157.75,83.43,76.32,97.65,2,1407.35,1128.42
