time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-01-04,883.55,847.79,886.31,847.79,0.0,-3.62,42.24,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,840.34,808.83,840.34,800.72,0.0,-4.6,43.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,803.87,808.06,809.2,787.99,0.0,-0.1,37.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,808.86,831.02,831.02,798.93,0.0,2.84,47.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,829.89,862.28,862.47,829.89,0.0,3.76,65.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,862.05,859.2,868.9,853.28,0.0,-0.36,61.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,855.92,846.72,863.11,844.59,0.0,-1.45,50.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,845.0,814.05,845.0,811.81,0.0,-3.86,50.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,805.0,776.53,805.0,776.43,0.0,-4.61,36.72,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-17,775.02,808.7,808.7,772.08,0.0,4.14,51.06,0.0,0.0,0.0,0.0,0.0,0.0,2,917.21,735.42
2012-01-18,813.97,779.69,815.69,776.64,0.0,-3.59,51.53,0.0,0.0,0.0,0.0,0.0,0.0,2,909.65,729.36
2012-01-19,780.45,792.3,799.81,780.45,0.0,1.62,40.08,0.0,0.0,0.0,0.0,0.0,0.0,2,907.82,727.89
2012-01-20,793.69,810.82,811.64,793.69,0.0,2.34,40.83,0.0,0.0,0.0,0.0,0.0,0.0,2,908.13,728.14
2012-01-30,813.31,810.34,824.13,808.27,0.0,-0.06,36.69,0.0,0.0,0.0,0.0,0.0,0.0,2,905.83,726.3
2012-01-31,808.7,810.6,810.61,800.7,0.0,0.03,22.01,0.0,0.0,0.0,0.0,0.0,0.0,2,900.09,721.7
2012-02-01,811.64,815.39,823.69,806.03,0.0,0.59,45.51,0.0,0.0,0.0,0.0,0.0,0.0,2,895.23,717.8
2012-02-02,813.83,823.86,823.86,812.59,0.0,1.04,37.08,0.0,0.0,0.0,60.75,36.64,108.95,2,892.69,715.76
2012-02-03,823.9,837.24,839.46,823.25,0.0,1.63,52.97,0.0,0.0,0.0,72.73,48.67,120.85,2,895.27,717.83
2012-02-06,840.29,847.56,847.56,839.4,0.0,1.23,52.09,0.0,0.0,0.0,81.82,59.72,126.02,2,903.15,724.15
2012-02-07,845.36,829.96,846.53,826.14,0.0,-2.08,48.16,868.12,821.05,773.97,79.14,66.19,105.03,2,905.51,726.04
2012-02-08,829.71,847.69,847.69,827.67,0.0,2.14,51.54,868.11,821.04,773.98,86.09,72.83,112.62,0,913.06,732.09
2012-02-09,846.55,866.81,869.17,846.26,0.0,2.26,105.08,874.64,823.94,773.24,89.58,78.41,111.92,0,921.33,738.72
