time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,827.78,824.86,831.04,823.62,-6.0,-0.72,584.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,822.03,825.86,830.13,820.35,1.0,0.12,842.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,825.55,816.66,826.9,814.81,-9.2,-1.11,789.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,815.03,811.72,816.09,807.55,-4.95,-0.61,965.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,814.27,820.14,820.78,812.84,8.43,1.04,892.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,824.96,855.29,863.22,824.96,35.15,4.29,2264.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,854.76,855.15,857.59,849.56,-0.14,-0.02,1107.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,851.54,848.46,851.54,842.72,-6.69,-0.78,711.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,853.42,851.54,858.3,844.7,3.08,0.36,939.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,851.66,844.75,853.9,844.45,-6.79,-0.8,718.22,0.0,0.0,0.0,0.0,0.0,0.0,2,927.34,743.54
2012-09-14,854.2,852.8,858.7,847.73,8.05,0.95,1086.48,0.0,0.0,0.0,0.0,0.0,0.0,2,930.44,746.03
2012-09-17,851.68,834.5,852.35,833.84,-18.3,-2.15,782.71,0.0,0.0,0.0,0.0,0.0,0.0,2,931.4,746.8
2012-09-18,830.78,822.7,830.78,820.79,-11.8,-1.41,613.85,0.0,0.0,0.0,0.0,0.0,0.0,2,932.07,747.34
2012-09-19,823.7,826.62,827.94,821.1,3.92,0.48,614.02,0.0,0.0,0.0,0.0,0.0,0.0,2,933.73,748.66
2012-09-20,823.78,808.95,823.78,808.22,-17.67,-2.14,813.43,0.0,0.0,0.0,0.0,0.0,0.0,2,932.48,747.67
2012-09-21,807.35,813.58,820.05,807.03,4.63,0.57,696.08,0.0,0.0,0.0,0.0,0.0,0.0,2,927.85,743.96
2012-09-24,808.99,816.81,820.84,801.57,3.23,0.4,738.23,0.0,0.0,0.0,24.94,36.34,2.13,2,923.6,740.54
2012-09-25,814.3,812.38,817.54,809.1,-4.44,-0.54,494.06,0.0,0.0,0.0,22.93,31.87,5.05,1,919.59,737.33
2012-09-26,811.53,805.88,813.81,804.18,-6.5,-0.8,473.32,0.0,0.0,0.0,17.8,27.18,-0.96,1,914.53,733.27
2012-09-27,805.93,830.33,836.23,805.83,24.45,3.03,1077.71,861.53,828.95,796.36,30.75,28.37,35.5,2,912.93,731.98
2012-09-28,825.03,846.15,848.16,824.79,15.82,1.91,1298.45,863.38,830.01,796.65,52.39,36.38,84.42,2,912.19,731.39
2012-10-08,847.01,841.15,853.24,836.21,-5.0,-0.59,778.41,864.43,830.78,797.13,60.46,44.41,92.57,2,912.93,731.98
