time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1358.98,1368.82,1368.82,1350.09,18.19,1.35,997.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1360.82,1372.9,1374.17,1359.82,4.08,0.3,999.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1371.01,1364.42,1375.35,1363.16,-8.48,-0.62,836.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1361.6,1358.46,1371.38,1351.32,-5.96,-0.44,809.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1356.09,1324.82,1359.27,1321.26,-33.64,-2.48,774.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1318.15,1315.35,1319.9,1302.64,-9.47,-0.71,691.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1319.58,1323.78,1325.39,1306.19,8.43,0.64,686.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1330.25,1325.33,1330.25,1322.09,1.55,0.12,651.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1319.32,1303.42,1319.32,1299.68,-21.91,-1.65,664.8,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1291.88,1247.13,1295.4,1244.61,-56.29,-4.32,728.01,0.0,0.0,0.0,0.0,0.0,0.0,2,1476.79,1184.09
2011-01-18,1241.98,1252.68,1253.8,1238.25,5.55,0.45,469.22,0.0,0.0,0.0,0.0,0.0,0.0,2,1463.9,1173.76
2011-01-19,1254.48,1280.16,1280.21,1250.7,27.48,2.19,602.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1453.61,1165.5
2011-01-20,1276.07,1243.44,1278.46,1243.1,-36.72,-2.87,774.11,0.0,0.0,0.0,0.0,0.0,0.0,2,1440.18,1154.74
2011-01-21,1238.0,1250.8,1258.61,1234.41,7.36,0.59,722.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1428.23,1145.15
2011-01-24,1250.1,1225.23,1253.66,1224.85,-25.57,-2.04,657.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1417.17,1136.29
2011-01-25,1222.0,1203.98,1222.03,1193.39,-21.25,-1.73,582.56,0.0,0.0,0.0,0.0,0.0,0.0,2,1404.81,1126.38
2011-01-26,1203.76,1222.96,1222.96,1203.76,18.98,1.58,477.62,0.0,0.0,0.0,13.39,10.76,18.65,2,1393.62,1117.41
2011-01-27,1211.22,1238.31,1240.63,1209.17,15.35,1.26,637.89,0.0,0.0,0.0,23.6,15.04,40.73,2,1383.96,1109.66
2011-01-28,1235.99,1252.48,1254.03,1235.99,14.17,1.14,619.18,0.0,0.0,0.0,38.42,22.84,69.6,2,1378.31,1105.13
2011-01-31,1250.84,1267.69,1267.69,1249.44,15.21,1.21,652.55,1392.24,1287.11,1181.97,54.14,33.27,95.88,2,1380.59,1106.96
2011-02-01,1268.92,1272.03,1274.11,1265.28,4.34,0.34,468.74,1380.6,1282.27,1183.93,66.91,44.48,111.76,2,1382.74,1108.68
2011-02-09,1260.4,1264.28,1274.86,1258.9,-7.75,-0.61,551.22,1366.13,1276.84,1187.54,73.61,54.19,112.45,2,1380.97,1107.27
2011-02-10,1264.01,1298.83,1298.83,1263.13,34.55,2.73,725.57,1354.14,1273.56,1192.98,82.41,63.6,120.03,2,1387.12,1112.2
2011-02-11,1297.24,1312.46,1314.69,1296.87,13.63,1.05,796.94,1344.28,1271.26,1198.23,87.66,71.62,119.74,2,1393.97,1117.68
2011-02-14,1317.04,1334.03,1335.24,1317.04,21.57,1.64,1034.72,1346.19,1271.72,1197.25,91.47,78.23,117.93,2,1406.04,1127.37
2011-02-15,1335.15,1334.07,1346.34,1330.79,0.04,0.0,1085.81,1349.72,1272.65,1195.59,91.33,82.6,108.79,2,1420.48,1138.95
2011-02-16,1332.19,1356.33,1356.33,1332.19,22.26,1.67,1020.49,1356.78,1274.28,1191.78,94.22,86.47,109.71,0,1435.29,1150.82
2011-02-17,1362.23,1366.64,1366.64,1350.01,10.31,0.76,1177.4,1365.65,1276.35,1187.05,96.15,89.7,109.04,0,1449.53,1162.24
2011-02-18,1362.69,1355.38,1365.74,1349.66,-11.26,-0.82,1044.73,1374.08,1278.95,1183.81,93.95,91.11,99.61,0,1460.95,1171.39
2011-02-21,1346.59,1382.51,1382.51,1346.59,27.13,2.0,1252.69,1389.68,1285.71,1181.75,95.96,92.73,102.43,0,1473.7,1181.61
2011-02-22,1385.64,1348.69,1385.99,1348.08,-33.82,-2.45,1363.75,1396.78,1290.51,1184.25,87.19,90.88,79.8,2,1482.21,1188.44
2011-02-23,1346.37,1367.22,1368.45,1345.81,18.53,1.37,1079.42,1406.1,1294.87,1183.64,84.44,88.74,75.85,2,1493.63,1197.6
2011-02-24,1364.4,1374.25,1375.09,1363.37,7.03,0.51,1041.8,1415.13,1301.41,1187.69,83.95,87.14,77.57,2,1502.01,1204.31
2011-02-25,1373.1,1376.97,1377.59,1361.44,2.72,0.2,905.46,1423.49,1307.72,1191.95,83.85,86.04,79.47,2,1509.17,1210.05
2011-02-28,1378.75,1394.43,1394.43,1370.67,17.46,1.27,1044.41,1431.32,1316.18,1201.03,89.24,87.11,93.49,2,1515.87,1215.43
2011-03-01,1395.48,1400.47,1403.88,1390.53,6.04,0.43,1228.89,1434.52,1326.0,1217.48,90.87,88.36,95.88,2,1523.24,1221.34
2011-03-02,1390.49,1398.28,1398.33,1376.59,-2.19,-0.16,1126.24,1436.7,1334.77,1232.83,90.7,89.14,93.81,2,1527.9,1225.07
2011-03-03,1399.33,1377.49,1402.44,1373.88,-20.79,-1.49,1124.1,1435.0,1341.73,1248.45,78.65,85.64,64.66,2,1529.1,1226.04
2011-03-04,1378.46,1392.37,1392.37,1374.42,14.88,1.08,1002.25,1434.89,1348.72,1262.55,79.16,83.48,70.51,2,1533.21,1229.33
2011-03-07,1398.69,1403.73,1403.73,1395.46,11.36,0.82,1199.34,1436.34,1355.52,1274.7,86.02,84.33,89.4,2,1535.56,1231.22
