time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1006.9,987.92,1006.9,978.35,-12.08,-1.21,490.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,983.68,1002.46,1002.46,982.42,14.54,1.47,477.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1003.61,1023.25,1026.77,1003.23,20.79,2.07,672.56,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1021.25,1029.95,1038.17,1019.79,6.7,0.65,702.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1028.9,1035.32,1037.89,1026.4,5.37,0.52,563.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1037.85,1023.7,1043.89,1021.78,-11.62,-1.12,713.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1022.4,1067.11,1067.11,1022.4,43.41,4.24,786.49,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1069.65,1089.75,1093.0,1069.65,22.64,2.12,913.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1085.27,1092.07,1094.94,1071.51,2.32,0.21,782.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1149.02,921.29
2013-01-17,1088.92,1074.64,1091.96,1072.12,-17.43,-1.6,591.95,0.0,0.0,0.0,0.0,0.0,0.0,2,1157.3,927.93
2013-01-18,1082.15,1091.54,1091.54,1072.05,16.9,1.57,605.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1168.81,937.15
2013-01-21,1093.26,1094.51,1096.76,1086.78,2.97,0.27,644.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1179.02,945.34
2013-01-22,1093.14,1074.08,1093.51,1065.29,-20.43,-1.87,572.96,0.0,0.0,0.0,0.0,0.0,0.0,2,1184.67,949.87
2013-01-23,1070.41,1076.95,1078.16,1061.93,2.87,0.27,507.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1189.88,954.05
2013-01-24,1075.87,1050.64,1085.99,1042.15,-26.31,-2.44,689.12,0.0,0.0,0.0,0.0,0.0,0.0,2,1191.58,955.41
2013-01-25,1049.57,1049.75,1054.39,1044.96,-0.89,-0.08,375.98,0.0,0.0,0.0,49.54,75.94,-3.26,2,1194.48,957.73
2013-01-28,1055.74,1076.75,1076.75,1053.58,27.0,2.57,493.13,0.0,0.0,0.0,54.14,68.67,25.09,2,1195.55,958.59
2013-01-29,1078.63,1091.13,1093.12,1077.26,14.38,1.34,564.74,0.0,0.0,0.0,65.99,67.78,62.42,2,1195.7,958.71
2013-01-30,1090.8,1090.88,1093.66,1082.99,-0.25,-0.02,552.14,1124.28,1056.12,987.96,73.74,69.77,81.69,2,1195.57,958.61
2013-01-31,1089.61,1081.42,1089.65,1075.72,-9.46,-0.87,511.63,1124.05,1060.19,996.33,73.13,70.89,77.61,2,1196.32,959.21
2013-02-01,1078.51,1088.86,1090.33,1076.73,7.44,0.69,513.92,1120.88,1065.24,1009.6,78.98,73.59,89.77,2,1196.02,958.97
2013-02-04,1094.07,1075.57,1094.68,1073.6,-13.29,-1.22,580.32,1116.6,1068.89,1021.19,73.86,73.68,74.23,2,1193.92,957.29
2013-02-05,1068.46,1084.71,1084.71,1067.16,9.14,0.85,499.33,1115.22,1071.97,1028.71,76.25,74.53,79.67,2,1195.1,958.23
2013-02-06,1086.0,1099.25,1102.01,1086.0,14.54,1.34,492.29,1115.67,1075.43,1035.19,82.55,77.21,93.24,2,1197.57,960.22
2013-02-07,1098.78,1109.81,1111.19,1095.66,10.56,0.96,523.21,1117.6,1079.16,1040.71,87.57,80.66,101.39,2,1204.14,965.48
2013-02-08,1112.12,1132.01,1136.25,1112.06,22.2,2.0,566.01,1120.69,1084.57,1048.45,89.67,83.66,101.68,2,1213.27,972.8
2013-02-18,1141.54,1143.95,1145.8,1132.58,11.94,1.05,593.42,1131.88,1088.41,1044.94,92.33,86.55,103.88,2,1220.73,978.79
2013-02-19,1145.13,1127.94,1148.36,1123.27,-16.01,-1.4,604.35,1137.09,1090.32,1043.56,86.5,86.53,86.44,2,1224.82,982.06
2013-02-20,1127.78,1154.47,1154.47,1124.91,26.53,2.35,587.48,1147.95,1093.44,1038.94,91.0,88.02,96.96,2,1231.88,987.72
2013-02-21,1141.43,1136.72,1149.35,1124.08,-17.75,-1.54,662.69,1153.43,1096.55,1039.66,87.22,87.76,86.16,2,1238.02,992.64
2013-02-22,1134.11,1134.72,1147.17,1132.82,-2.0,-0.18,512.89,1157.9,1098.71,1039.51,83.94,86.49,78.86,2,1243.11,996.72
2013-02-25,1138.37,1154.63,1155.41,1135.97,19.91,1.75,491.23,1165.66,1101.71,1037.76,88.92,87.3,92.17,2,1251.88,1003.76
2013-02-26,1147.09,1142.62,1164.53,1142.08,-12.01,-1.04,649.58,1170.13,1105.14,1040.14,82.01,85.53,74.96,2,1258.31,1008.91
2013-02-27,1149.16,1140.75,1153.49,1131.76,-1.87,-0.16,563.18,1173.74,1108.33,1042.92,72.9,81.32,56.05,2,1262.92,1012.61
2013-02-28,1143.59,1160.12,1160.12,1135.02,19.37,1.7,608.85,1177.28,1113.8,1050.32,78.37,80.34,74.43,2,1268.5,1017.09
2013-03-01,1158.94,1183.73,1183.73,1158.68,23.61,2.04,689.55,1183.81,1120.5,1057.2,85.58,82.09,92.57,2,1274.24,1021.69
2013-03-04,1169.15,1148.15,1176.47,1140.39,-35.58,-3.01,699.78,1185.12,1124.07,1063.03,70.5,78.23,55.06,2,1274.71,1022.06
2013-03-05,1152.18,1180.76,1180.76,1144.36,32.61,2.84,656.52,1192.36,1128.55,1064.74,78.68,78.38,79.28,2,1280.57,1026.76
2013-03-06,1186.47,1207.29,1207.55,1186.34,26.53,2.25,815.77,1204.32,1134.37,1064.43,85.67,80.81,95.4,2,1286.43,1031.46
2013-03-07,1201.59,1185.5,1209.53,1172.94,-21.79,-1.8,734.18,1208.47,1139.58,1070.69,80.15,80.59,79.27,2,1291.85,1035.81
2013-03-08,1186.98,1169.82,1193.33,1167.79,-15.68,-1.32,524.46,1209.57,1143.63,1077.68,69.74,76.97,55.29,2,1295.74,1038.93
2013-03-11,1165.6,1174.16,1179.34,1161.15,4.34,0.37,400.95,1207.82,1148.56,1089.3,64.67,72.87,48.27,2,1297.91,1040.67
2013-03-12,1172.51,1138.35,1179.02,1125.45,-35.81,-3.05,620.67,1203.09,1151.24,1099.39,48.23,64.66,15.37,2,1297.44,1040.29
2013-03-13,1132.53,1128.39,1134.09,1113.61,-9.96,-0.87,453.72,1200.06,1152.69,1105.32,37.29,55.53,0.8,2,1296.07,1039.19
2013-03-14,1125.14,1142.57,1144.34,1125.14,14.18,1.26,399.35,1197.76,1154.33,1110.91,34.92,48.66,7.44,2,1294.12,1037.63
2013-03-15,1142.97,1153.16,1171.24,1135.62,10.59,0.93,561.5,1197.6,1155.39,1113.18,37.03,44.78,21.51,2,1290.72,1034.91
2013-03-18,1147.34,1136.26,1154.82,1135.28,-16.9,-1.47,450.85,1197.77,1155.01,1112.25,32.55,40.71,16.25,2,1289.4,1033.85
2013-03-19,1137.64,1135.19,1142.56,1117.22,-1.07,-0.09,425.27,1197.32,1155.37,1113.42,29.2,36.87,13.86,2,1284.35,1029.79
2013-03-20,1137.16,1168.82,1168.82,1135.59,33.63,2.96,485.37,1198.44,1156.09,1113.73,42.55,38.77,50.13,2,1280.08,1026.37
2013-03-21,1169.35,1188.29,1191.13,1169.12,19.47,1.67,544.86,1202.25,1158.66,1115.08,60.48,46.0,89.43,2,1280.39,1026.62
2013-03-22,1185.29,1193.15,1195.13,1182.6,4.86,0.41,479.43,1206.18,1161.59,1116.99,72.84,54.95,108.63,2,1282.98,1028.69
2013-03-25,1196.04,1193.2,1198.12,1182.69,0.05,0.0,497.23,1210.03,1163.51,1116.99,79.96,63.29,113.3,2,1285.09,1030.39
2013-03-26,1181.85,1187.51,1187.51,1167.9,-5.69,-0.48,476.84,1212.36,1165.76,1119.16,82.27,69.61,107.57,2,1290.55,1034.76
2013-03-27,1186.93,1191.5,1200.36,1182.57,3.99,0.34,479.39,1214.7,1168.3,1121.89,84.62,74.62,104.64,2,1297.55,1040.38
2013-03-28,1171.34,1159.1,1175.16,1159.1,-32.4,-2.72,460.45,1214.69,1168.24,1121.8,73.21,74.15,71.33,2,1299.39,1041.85
2013-03-29,1162.28,1157.21,1165.02,1152.16,-1.89,-0.16,381.06,1213.03,1166.92,1120.81,64.84,71.04,52.43,2,1299.84,1042.21
2013-04-01,1154.29,1162.1,1164.77,1153.12,4.89,0.42,417.81,1212.99,1167.62,1122.24,56.87,66.32,37.97,2,1302.7,1044.51
2013-04-02,1159.57,1128.34,1169.12,1126.74,-33.76,-2.91,484.98,1213.01,1165.0,1116.98,38.64,57.09,1.73,2,1301.94,1043.9
2013-04-03,1131.83,1115.64,1131.83,1110.19,-12.7,-1.13,432.93,1208.9,1160.41,1111.93,27.77,47.32,-11.32,2,1296.04,1039.17
2013-04-08,1092.99,1133.92,1133.92,1089.91,18.28,1.64,436.02,1206.19,1157.83,1109.48,31.8,42.14,11.1,2,1290.01,1034.33
2013-04-09,1136.7,1140.75,1143.93,1134.2,6.83,0.6,418.46,1204.96,1156.38,1107.8,36.54,40.28,29.07,2,1284.19,1029.67
2013-04-10,1139.46,1130.73,1142.82,1122.83,-10.02,-0.88,392.34,1203.29,1154.21,1105.13,36.68,39.08,31.88,2,1277.25,1024.11
2013-04-11,1135.16,1124.66,1136.38,1124.55,-6.07,-0.54,336.47,1203.84,1153.52,1103.21,38.04,38.73,36.66,2,1270.28,1018.51
2013-04-12,1122.39,1120.4,1130.1,1117.83,-4.26,-0.38,336.09,1204.35,1153.12,1101.9,38.19,38.55,37.47,2,1262.39,1012.18
2013-04-15,1117.65,1104.95,1117.65,1101.48,-15.45,-1.38,318.49,1206.49,1151.24,1096.0,31.79,36.3,22.77,2,1256.38,1007.36
2013-04-16,1091.92,1118.4,1118.4,1090.85,13.45,1.22,303.53,1206.56,1149.51,1092.46,33.18,35.26,29.03,2,1252.07,1003.91
2013-04-17,1118.52,1137.74,1137.92,1118.11,19.34,1.73,370.56,1206.57,1149.58,1092.59,51.64,40.72,73.47,2,1249.36,1001.74
2013-04-18,1130.82,1140.6,1147.41,1130.82,2.86,0.25,371.37,1206.61,1149.85,1093.09,63.81,48.42,94.6,2,1250.72,1002.83
2013-04-19,1142.29,1165.82,1168.13,1141.8,25.22,2.21,493.94,1206.28,1149.7,1093.13,74.88,57.24,110.16,2,1256.29,1007.3
2013-04-22,1159.96,1178.88,1178.88,1159.62,13.06,1.12,521.94,1204.66,1149.23,1093.8,83.25,65.91,117.94,2,1261.29,1011.3
2013-04-23,1177.05,1145.0,1177.05,1144.26,-33.88,-2.87,568.08,1198.46,1146.82,1095.18,76.01,69.27,89.47,2,1261.76,1011.68
2013-04-24,1147.2,1176.9,1177.49,1141.36,31.9,2.79,572.46,1195.15,1146.01,1096.87,83.25,73.93,101.89,2,1266.88,1015.79
2013-04-25,1169.69,1155.2,1180.49,1154.57,-21.7,-1.84,604.18,1189.97,1144.39,1098.82,79.43,75.77,86.76,2,1270.27,1018.51
2013-04-26,1153.61,1127.34,1153.61,1124.04,-27.86,-2.41,458.8,1181.81,1141.18,1100.56,66.52,72.69,54.2,2,1271.04,1019.12
2013-05-02,1116.52,1136.72,1136.82,1115.77,9.38,0.83,377.86,1179.88,1140.06,1100.25,55.14,66.84,31.74,2,1274.57,1021.95
2013-05-03,1143.33,1161.96,1166.97,1143.33,25.24,2.22,484.12,1180.57,1140.3,1100.03,60.55,64.74,52.17,2,1279.4,1025.83
2013-05-06,1167.44,1193.82,1193.82,1166.59,31.86,2.74,577.56,1187.6,1141.89,1096.18,73.7,67.73,85.64,2,1285.63,1030.82
2013-05-07,1189.98,1192.84,1198.63,1184.75,-0.98,-0.08,507.01,1195.42,1145.11,1094.81,80.14,71.86,96.68,2,1291.43,1035.47
2013-05-08,1198.49,1212.46,1212.49,1196.92,19.62,1.64,547.22,1206.26,1149.95,1093.65,86.75,76.82,106.59,2,1296.6,1039.62
2013-05-09,1209.53,1220.1,1220.1,1204.17,7.64,0.63,677.55,1217.73,1154.26,1090.79,91.17,81.6,110.29,2,1301.18,1043.29
2013-05-10,1214.72,1223.9,1226.31,1209.05,3.8,0.31,680.03,1228.37,1158.42,1088.47,93.38,85.53,109.09,2,1309.94,1050.31
2013-05-13,1224.52,1236.54,1236.54,1219.4,12.64,1.03,636.49,1240.18,1163.71,1087.24,95.59,88.88,109.0,2,1316.56,1055.62
2013-05-14,1233.87,1221.44,1235.98,1214.4,-15.1,-1.22,577.14,1246.75,1168.55,1090.35,92.89,90.22,98.24,2,1323.91,1061.51
2013-05-15,1222.16,1247.43,1247.43,1221.34,25.99,2.13,633.89,1256.97,1174.9,1092.84,95.26,91.9,101.98,2,1337.24,1072.2
2013-05-16,1245.1,1259.08,1271.63,1244.15,11.65,0.93,873.5,1265.89,1182.61,1099.33,92.86,92.22,94.14,0,1350.82,1083.09
2013-05-17,1257.78,1283.05,1285.35,1257.78,23.97,1.9,841.9,1279.49,1190.84,1102.2,94.48,92.97,97.49,0,1364.26,1093.87
2013-05-20,1289.92,1306.99,1308.84,1286.8,23.94,1.87,1108.4,1297.82,1199.3,1100.79,95.77,93.9,99.49,0,1376.83,1103.94
2013-05-21,1304.93,1335.46,1335.46,1304.93,28.47,2.18,1054.37,1320.15,1209.05,1097.94,97.18,94.99,101.54,0,1392.66,1116.63
2013-05-22,1330.46,1308.79,1334.14,1302.0,-26.67,-2.0,950.94,1333.48,1216.2,1098.91,91.09,93.69,85.87,0,1403.35,1125.21
2013-05-23,1302.04,1310.57,1333.03,1302.04,1.78,0.14,858.86,1345.6,1222.78,1099.96,87.2,91.53,78.55,0,1413.39,1133.26
2013-05-24,1319.41,1343.87,1343.87,1319.41,33.3,2.54,816.21,1360.84,1232.72,1104.61,91.47,91.51,91.39,0,1426.71,1143.94
2013-05-27,1349.29,1360.39,1360.51,1347.75,16.52,1.23,956.82,1378.69,1241.9,1105.1,94.28,92.43,97.98,0,1440.45,1154.96
