time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,3537.71,3561.32,3561.32,3505.61,30.5,0.86,522.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,3543.76,3519.74,3549.9,3516.72,-41.58,-1.17,467.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,3518.96,3498.17,3535.25,3497.35,-21.57,-0.61,527.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,3486.08,3479.11,3518.2,3457.0,-19.06,-0.54,467.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,3472.31,3393.74,3473.78,3379.49,-85.37,-2.45,479.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,3378.17,3370.92,3390.19,3343.16,-22.82,-0.67,393.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,3378.71,3375.13,3390.2,3328.97,4.21,0.12,337.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,3392.27,3386.44,3402.59,3371.42,11.31,0.34,332.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,3377.31,3308.04,3377.31,3301.7,-78.4,-2.32,360.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,3277.6,3156.64,3283.98,3151.33,-151.4,-4.58,412.06,0.0,0.0,0.0,0.0,0.0,0.0,2,3779.47,3030.38
2011-01-18,3149.22,3160.6,3167.71,3131.9,3.96,0.13,266.64,0.0,0.0,0.0,0.0,0.0,0.0,2,3734.99,2994.72
2011-01-19,3166.03,3240.52,3240.52,3157.29,79.92,2.53,347.9,0.0,0.0,0.0,0.0,0.0,0.0,2,3703.99,2969.87
2011-01-20,3231.18,3098.05,3231.18,3096.17,-142.47,-4.4,348.14,0.0,0.0,0.0,0.0,0.0,0.0,2,3659.58,2934.26
2011-01-21,3091.43,3107.66,3142.14,3066.8,9.61,0.31,329.39,0.0,0.0,0.0,0.0,0.0,0.0,1,3618.35,2901.2
2011-01-24,3107.8,3048.66,3115.57,3046.37,-59.0,-1.9,398.25,0.0,0.0,0.0,0.0,0.0,0.0,1,3580.05,2870.49
2011-01-25,3041.93,3023.9,3041.93,2997.78,-24.76,-0.81,247.38,0.0,0.0,0.0,0.0,0.0,0.0,1,3541.53,2839.6
2011-01-26,3026.95,3091.19,3098.82,3026.95,67.29,2.23,279.14,0.0,0.0,0.0,12.5,8.52,20.45,1,3510.01,2814.33
2011-01-27,3067.69,3140.01,3152.8,3044.63,48.82,1.58,379.02,0.0,0.0,0.0,24.9,13.98,46.73,2,3482.65,2792.4
2011-01-28,3139.05,3158.1,3169.31,3128.99,18.09,0.58,306.92,0.0,0.0,0.0,38.61,22.19,71.46,2,3466.01,2779.05
2011-01-31,3150.55,3190.47,3191.79,3131.48,32.37,1.02,341.47,3598.0,3265.42,2932.84,52.2,32.19,92.22,2,3469.77,2782.07
2011-02-01,3191.59,3195.38,3203.71,3177.14,4.91,0.15,298.98,3551.65,3247.12,2942.59,63.02,42.47,104.13,2,3473.63,2785.16
2011-02-09,3173.15,3193.82,3227.12,3166.15,-1.56,-0.05,355.08,3509.0,3230.83,2952.65,70.51,51.82,107.89,2,3468.44,2781.0
