time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2013-01-04,1006.63,1003.82,1008.01,994.75,0.0,0.38,2259.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,1002.29,1006.66,1009.75,1001.17,0.0,0.28,1752.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1006.73,1007.21,1008.77,999.72,0.0,0.06,1595.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1004.53,1007.1,1012.2,1000.64,0.0,-0.01,1564.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1007.47,1011.9,1016.88,1006.4,0.0,0.48,1545.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1012.99,990.12,1012.99,989.89,0.0,-2.15,1639.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,988.14,1021.66,1023.03,988.14,0.0,3.19,1861.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1022.34,1035.72,1037.53,1022.34,0.0,1.38,2242.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1036.32,1031.41,1036.32,1016.05,0.0,-0.42,1947.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-17,1028.66,1015.05,1028.66,1013.88,0.0,-1.59,1355.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1124.5,901.63
2013-01-18,1020.22,1030.52,1030.55,1017.46,0.0,1.52,1614.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1127.47,904.0
2013-01-21,1032.68,1042.55,1042.55,1030.34,0.0,1.17,2018.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1131.45,907.2
2013-01-22,1042.29,1028.08,1042.29,1024.63,0.0,-1.39,1982.53,0.0,0.0,0.0,0.0,0.0,0.0,2,1133.77,909.06
2013-01-23,1028.05,1030.03,1036.06,1019.49,0.0,0.19,1602.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1136.31,911.1
2013-01-24,1028.96,1013.81,1042.23,1010.82,0.0,-1.58,1990.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1136.52,911.27
2013-01-25,1013.83,1012.33,1015.12,1008.54,0.0,-0.15,1085.75,0.0,0.0,0.0,0.0,0.0,0.0,2,1138.99,913.24
2013-01-28,1014.66,1035.87,1035.87,1014.66,0.0,2.33,1513.83,0.0,0.0,0.0,59.71,67.41,44.32,2,1140.57,914.51
2013-01-29,1036.76,1037.82,1040.89,1035.41,0.0,0.19,1586.35,0.0,0.0,0.0,68.5,67.77,69.97,2,1140.8,914.69
2013-01-30,1038.51,1042.04,1042.04,1031.96,0.0,0.41,1665.57,0.0,0.0,0.0,78.5,71.35,92.81,2,1141.98,915.64
2013-01-31,1042.99,1041.74,1042.99,1037.14,0.0,-0.03,1582.4,1052.07,1022.27,992.47,84.46,75.72,101.94,2,1144.94,918.02
2013-02-01,1039.04,1049.01,1049.2,1037.43,0.0,0.7,1586.7,1055.23,1024.53,993.83,89.48,80.31,107.84,2,1146.99,919.66
2013-02-04,1050.38,1045.12,1054.01,1044.18,0.0,-0.37,2014.31,1057.25,1026.45,995.66,86.47,82.36,94.69,2,1147.28,919.89
2013-02-05,1039.49,1070.47,1072.07,1039.49,0.0,2.43,3226.16,1064.57,1029.62,994.66,90.14,84.96,100.51,2,1151.98,923.66
2013-02-06,1070.7,1065.37,1072.33,1063.14,0.0,-0.48,1768.48,1069.17,1032.53,995.9,89.79,86.57,96.24,2,1155.91,926.81
2013-02-07,1064.62,1069.61,1070.09,1059.7,0.0,0.4,1523.34,1074.13,1035.42,996.7,91.62,88.25,98.36,0,1162.1,931.77
2013-02-08,1069.78,1080.31,1084.1,1069.78,0.0,1.0,1521.59,1077.48,1039.93,1002.38,91.99,89.5,96.98,0,1169.65,937.83
2013-02-18,1085.02,1080.26,1085.81,1077.3,0.0,0.0,1495.17,1083.28,1042.86,1002.43,91.23,90.07,93.53,0,1174.57,941.78
2013-02-19,1080.19,1060.27,1084.45,1057.03,0.0,-1.85,1766.66,1085.06,1044.08,1003.11,76.66,85.6,58.77,2,1177.07,943.77
2013-02-20,1059.92,1070.22,1070.22,1057.0,0.0,0.94,1259.24,1088.07,1046.02,1003.97,73.7,81.63,57.82,2,1180.19,946.28
2013-02-21,1063.16,1037.57,1063.16,1032.13,0.0,-3.05,1729.38,1086.97,1047.15,1007.33,52.51,71.93,13.68,2,1179.73,945.91
2013-02-22,1037.56,1033.82,1042.62,1032.4,0.0,-0.36,1047.16,1086.88,1047.32,1007.75,36.06,59.97,-11.77,2,1178.05,944.56
2013-02-25,1041.6,1040.47,1043.15,1036.98,0.0,0.64,940.65,1086.84,1047.21,1007.58,29.22,49.72,-11.79,2,1177.53,944.14
