time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1194.36,1203.15,1206.33,1192.39,5.35,0.45,175.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1197.02,1217.69,1220.4,1196.31,14.54,1.21,219.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1218.89,1203.23,1222.56,1201.21,-14.47,-1.19,258.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1201.77,1205.46,1209.39,1197.11,2.24,0.19,354.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1208.51,1217.22,1217.78,1205.67,11.75,0.98,404.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1225.04,1258.98,1270.89,1225.04,41.77,3.43,524.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1262.38,1267.36,1269.62,1254.21,8.38,0.67,386.78,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1260.37,1260.06,1261.5,1251.94,-7.3,-0.58,234.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1265.17,1267.75,1271.48,1256.08,7.69,0.61,280.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1267.67,1249.22,1270.04,1248.78,-18.53,-1.46,229.52,0.0,0.0,0.0,0.0,0.0,0.0,2,1370.86,1099.16
2012-09-14,1257.58,1252.87,1261.67,1241.02,3.65,0.29,255.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1376.38,1103.59
2012-09-17,1249.34,1220.29,1249.88,1219.37,-32.58,-2.6,211.51,0.0,0.0,0.0,0.0,0.0,0.0,2,1376.67,1103.82
2012-09-18,1216.78,1217.46,1226.62,1212.71,-2.83,-0.23,194.43,0.0,0.0,0.0,0.0,0.0,0.0,2,1378.25,1105.08
2012-09-19,1218.44,1221.24,1225.79,1213.76,3.78,0.31,191.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1380.0,1106.49
2012-09-20,1219.25,1184.42,1219.46,1183.68,-36.82,-3.01,214.28,0.0,0.0,0.0,0.0,0.0,0.0,2,1376.36,1103.57
2012-09-21,1182.39,1184.86,1191.53,1178.54,0.44,0.04,189.62,0.0,0.0,0.0,0.0,0.0,0.0,2,1368.13,1096.97
2012-09-24,1178.85,1190.01,1193.84,1170.54,5.15,0.43,218.0,0.0,0.0,0.0,20.95,34.68,-6.52,2,1359.55,1090.09
2012-09-25,1185.46,1182.94,1194.02,1180.28,-7.07,-0.59,226.32,0.0,0.0,0.0,18.12,29.16,-3.96,1,1350.99,1083.22
2012-09-26,1183.43,1160.73,1185.32,1158.4,-22.21,-1.88,198.67,0.0,0.0,0.0,12.83,23.72,-8.94,1,1339.11,1073.7
2012-09-27,1160.62,1185.3,1195.99,1158.01,24.57,2.12,322.53,1280.35,1217.51,1154.67,18.46,21.96,11.44,2,1332.01,1068.01
2012-09-28,1179.31,1201.24,1202.6,1175.73,15.94,1.34,291.5,1280.35,1217.42,1154.48,33.31,25.74,48.43,2,1326.28,1063.42
2012-10-08,1200.15,1197.9,1208.29,1190.62,-3.34,-0.28,197.95,1279.93,1216.43,1152.92,41.82,31.1,63.26,2,1323.8,1061.42
2012-10-09,1201.27,1228.18,1228.67,1201.27,30.29,2.53,323.74,1281.08,1217.67,1154.27,60.98,41.06,100.82,2,1324.99,1062.38
2012-10-10,1228.7,1237.99,1240.65,1225.05,9.81,0.8,285.65,1283.03,1219.3,1155.57,72.92,51.68,115.39,2,1326.85,1063.87
2012-10-11,1236.59,1222.36,1238.65,1221.54,-15.63,-1.26,261.12,1283.3,1219.56,1155.82,74.57,59.31,105.08,2,1331.06,1067.24
2012-10-12,1224.74,1219.48,1236.15,1209.68,-2.88,-0.24,213.35,1278.71,1217.58,1156.46,74.51,64.37,94.77,2,1334.9,1070.33
2012-10-15,1218.31,1215.36,1221.04,1205.52,-4.12,-0.34,186.82,1271.68,1214.98,1158.29,72.8,67.18,84.04,2,1337.71,1072.58
2012-10-16,1215.34,1217.73,1227.06,1210.61,2.37,0.2,231.99,1265.7,1212.87,1160.03,72.62,69.0,79.88,2,1341.58,1075.68
2012-10-17,1219.61,1216.32,1221.06,1203.98,-1.4,-0.12,225.58,1256.83,1210.3,1163.76,69.26,69.08,69.6,2,1347.75,1080.63
2012-10-18,1218.71,1234.93,1237.34,1218.3,18.6,1.53,327.24,1254.09,1209.58,1165.07,75.69,71.29,84.51,2,1353.26,1085.04
2012-10-19,1234.12,1227.67,1238.08,1225.93,-7.26,-0.59,258.84,1249.14,1208.32,1167.51,72.81,71.79,74.84,2,1356.19,1087.39
2012-10-22,1220.78,1227.86,1230.17,1217.56,0.19,0.02,251.49,1250.09,1208.7,1167.31,70.25,71.28,68.18,2,1359.51,1090.06
2012-10-23,1228.22,1218.78,1233.31,1216.92,-9.08,-0.74,299.41,1250.21,1208.77,1167.32,61.06,67.87,47.44,2,1358.47,1089.22
2012-10-24,1212.86,1224.43,1229.07,1210.51,5.65,0.46,286.66,1250.59,1208.92,1167.26,60.7,65.48,51.13,2,1356.97,1088.02
2012-10-25,1223.64,1223.52,1239.11,1221.18,-0.91,-0.07,341.7,1251.41,1210.88,1170.35,59.01,63.32,50.37,2,1357.09,1088.12
2012-10-26,1218.98,1202.62,1221.37,1191.66,-20.9,-1.71,315.57,1250.73,1211.77,1172.8,47.04,57.89,25.32,2,1355.22,1086.62
2012-10-29,1197.3,1202.28,1206.78,1190.87,-0.34,-0.03,285.48,1250.33,1212.38,1174.43,39.24,51.68,14.37,2,1353.77,1085.46
2012-10-30,1197.99,1197.98,1206.05,1193.88,-4.3,-0.36,330.77,1249.27,1213.13,1177.0,31.07,44.81,3.6,2,1351.58,1083.7
2012-10-31,1192.98,1194.48,1196.36,1186.67,-3.5,-0.29,290.65,1243.36,1214.82,1186.28,25.68,38.43,0.18,2,1349.16,1081.75
2012-11-01,1194.0,1211.28,1216.75,1192.98,16.8,1.41,418.6,1241.34,1216.12,1190.9,32.76,36.54,25.2,2,1346.53,1079.65
2012-11-02,1210.04,1223.27,1224.43,1209.54,12.0,0.99,448.17,1241.66,1217.22,1192.78,45.11,39.4,56.53,2,1346.04,1079.26
2012-11-05,1221.35,1222.48,1227.4,1217.28,-0.8,-0.07,378.06,1241.3,1218.45,1195.6,52.83,43.88,70.75,2,1345.44,1078.78
2012-11-06,1222.63,1210.05,1222.63,1195.84,-12.43,-1.02,343.97,1240.22,1217.54,1194.87,50.08,45.95,58.36,2,1344.48,1078.0
2012-11-07,1206.98,1215.14,1216.07,1203.79,5.1,0.42,376.28,1237.05,1216.4,1195.75,56.69,49.53,71.01,2,1343.44,1077.18
2012-11-08,1207.12,1188.22,1207.12,1187.75,-26.92,-2.22,443.71,1238.49,1214.69,1190.89,39.06,46.04,25.11,2,1339.53,1074.03
2012-11-09,1188.64,1184.31,1192.21,1180.42,-3.91,-0.33,320.83,1240.03,1212.94,1185.84,28.8,40.29,5.82,2,1337.49,1072.4
2012-11-12,1185.24,1191.08,1191.92,1180.28,6.77,0.57,390.83,1240.4,1211.72,1183.04,26.84,35.81,8.9,2,1336.25,1071.41
2012-11-13,1189.63,1171.51,1190.06,1168.68,-19.57,-1.64,434.15,1242.84,1209.41,1175.98,19.5,30.37,-2.24,2,1333.31,1069.05
2012-11-14,1172.77,1173.41,1175.04,1162.6,1.9,0.16,316.14,1243.99,1207.26,1170.54,18.56,26.44,2.81,2,1330.97,1067.18
2012-11-15,1168.05,1158.55,1174.52,1155.98,-14.86,-1.27,302.69,1243.59,1203.45,1163.3,13.57,22.15,-3.58,2,1325.12,1062.48
2012-11-16,1159.62,1159.0,1162.01,1152.07,0.45,0.04,284.02,1242.94,1200.01,1157.09,12.32,18.87,-0.78,2,1317.99,1056.76
2012-11-19,1160.05,1165.22,1165.76,1151.77,6.22,0.54,314.25,1240.36,1196.88,1153.4,15.19,17.64,10.27,2,1311.63,1051.67
2012-11-20,1166.24,1161.63,1169.49,1160.07,-3.59,-0.31,215.42,1238.86,1194.02,1149.19,16.06,17.12,13.95,1,1306.26,1047.36
2012-11-21,1164.19,1169.65,1172.92,1149.88,8.02,0.69,307.45,1235.03,1191.28,1147.53,26.28,20.17,38.49,2,1301.21,1043.31
2012-11-22,1165.02,1151.49,1165.02,1149.0,-18.16,-1.55,250.01,1232.08,1187.68,1143.29,19.45,19.93,18.49,2,1297.13,1040.04
2012-11-23,1152.65,1156.19,1163.55,1151.64,4.69,0.41,334.33,1231.22,1185.36,1139.5,18.8,19.56,17.3,2,1294.01,1037.54
2012-11-26,1154.17,1146.98,1159.39,1145.5,-9.2,-0.8,229.32,1230.66,1182.6,1134.53,14.21,17.77,7.07,2,1289.11,1033.61
2012-11-27,1144.45,1121.83,1146.41,1120.77,-25.16,-2.19,320.87,1233.04,1178.79,1124.54,10.13,15.22,-0.06,2,1283.6,1029.19
2012-11-28,1116.09,1101.78,1116.88,1098.01,-20.05,-1.79,273.71,1237.35,1174.15,1110.96,8.43,12.96,-0.63,2,1275.65,1022.82
2012-11-29,1101.96,1100.58,1107.67,1098.68,-1.2,-0.11,237.88,1237.02,1168.62,1100.22,6.76,10.89,-1.5,2,1269.21,1017.66
2012-11-30,1099.74,1112.85,1113.69,1098.62,12.27,1.11,249.85,1230.78,1163.1,1095.41,11.11,10.97,11.4,2,1264.09,1013.55
2012-12-03,1111.27,1087.05,1112.51,1084.62,-25.8,-2.32,255.66,1225.96,1156.33,1086.69,8.33,10.09,4.8,2,1255.41,1006.59
2012-12-04,1084.39,1101.9,1103.63,1079.49,14.86,1.37,275.13,1219.82,1150.92,1082.02,14.28,11.49,19.88,2,1248.78,1001.28
2012-12-05,1101.48,1136.39,1140.92,1099.59,34.49,3.13,573.89,1209.45,1146.98,1084.51,32.09,18.35,59.55,2,1245.09,998.32
2012-12-06,1136.01,1133.16,1142.1,1127.78,-3.23,-0.28,278.63,1203.98,1144.23,1084.47,43.78,26.83,77.69,2,1243.06,996.69
2012-12-07,1133.0,1159.39,1160.09,1130.0,26.23,2.32,515.47,1200.33,1142.98,1085.63,62.23,38.63,109.43,2,1243.41,996.97
2012-12-10,1161.15,1169.7,1171.21,1154.57,10.31,0.89,549.9,1196.36,1141.91,1087.47,74.27,50.51,121.8,2,1245.93,998.99
2012-12-11,1169.43,1162.28,1170.68,1159.66,-7.42,-0.63,438.84,1195.04,1141.45,1087.87,79.6,60.21,118.39,2,1250.42,1002.59
2012-12-12,1162.61,1163.6,1167.53,1153.54,1.32,0.11,448.01,1193.54,1140.96,1088.39,83.64,68.02,114.87,2,1257.29,1008.09
2012-12-13,1160.8,1149.0,1163.07,1148.93,-14.61,-1.26,394.63,1192.58,1140.48,1088.38,81.02,72.35,98.35,2,1262.66,1012.4
2012-12-14,1148.96,1191.72,1192.86,1148.94,42.73,3.72,773.6,1198.33,1142.12,1085.9,87.01,77.24,106.56,2,1271.42,1019.42
2012-12-17,1199.51,1200.92,1206.42,1192.11,9.19,0.77,652.25,1205.0,1143.9,1082.81,89.62,81.37,106.14,2,1284.05,1029.56
2012-12-18,1197.29,1194.71,1212.17,1188.6,-6.21,-0.52,562.49,1210.17,1145.56,1080.95,86.19,82.97,92.61,2,1294.36,1037.82
2012-12-19,1194.02,1196.51,1201.86,1190.17,1.8,0.15,455.16,1214.51,1146.9,1079.3,84.44,83.46,86.39,2,1301.03,1043.17
2012-12-20,1193.04,1202.99,1204.21,1187.48,6.48,0.54,501.58,1221.37,1149.48,1077.58,84.79,83.9,86.55,2,1308.78,1049.38
2012-12-21,1202.88,1205.57,1222.45,1198.56,2.58,0.21,496.54,1227.87,1151.95,1076.02,82.2,83.34,79.94,2,1313.91,1053.49
2012-12-24,1204.71,1214.15,1221.42,1203.9,8.59,0.71,392.26,1235.86,1155.3,1074.75,84.37,83.68,85.75,2,1318.84,1057.45
2012-12-25,1211.39,1249.18,1252.57,1209.48,35.03,2.88,625.21,1250.36,1161.67,1072.99,88.49,85.29,94.9,2,1328.49,1065.18
2012-12-26,1247.67,1259.01,1259.39,1245.06,9.83,0.79,491.39,1263.32,1169.53,1075.75,92.21,87.59,101.45,0,1339.08,1073.67
2012-12-27,1260.21,1251.4,1265.37,1249.18,-7.61,-0.6,575.7,1271.72,1177.07,1082.43,88.83,88.01,90.48,0,1350.44,1082.79
2012-12-28,1249.97,1262.05,1263.43,1247.52,10.65,0.85,450.13,1281.25,1184.53,1087.82,91.13,89.05,95.3,0,1358.25,1089.05
2012-12-31,1263.55,1278.25,1278.84,1260.17,16.21,1.28,518.29,1288.14,1194.09,1100.05,93.87,90.66,100.31,0,1366.83,1095.93
2013-01-04,1289.6,1269.31,1292.37,1258.17,-8.94,-0.7,585.57,1291.88,1202.46,1113.05,88.59,89.97,85.83,0,1375.11,1102.57
2013-01-07,1267.26,1284.76,1285.15,1264.94,15.45,1.22,497.63,1300.75,1209.88,1119.02,89.69,89.87,89.31,0,1384.91,1110.42
2013-01-08,1285.06,1296.63,1300.19,1275.74,11.86,0.92,512.51,1309.26,1218.06,1126.86,91.89,90.55,94.58,0,1395.3,1118.76
2013-01-09,1292.19,1293.92,1301.94,1283.11,-2.71,-0.21,453.32,1317.51,1224.78,1132.05,91.7,90.93,93.25,0,1405.11,1126.62
2013-01-10,1293.38,1297.24,1306.5,1289.08,3.33,0.26,372.24,1325.39,1231.16,1136.93,89.45,90.44,87.46,0,1414.33,1134.02
2013-01-11,1296.86,1270.02,1300.05,1265.94,-27.22,-2.1,481.78,1326.64,1236.55,1146.45,72.35,84.41,48.23,2,1416.65,1135.87
