time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1556.01,1551.2,1564.69,1549.9,-9.09,-0.58,1018.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1547.77,1560.08,1567.23,1545.6,8.88,0.57,1521.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1566.23,1548.04,1567.5,1543.56,-12.04,-0.77,1328.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1544.47,1537.53,1548.34,1531.11,-10.51,-0.68,1424.04,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1540.35,1550.97,1551.57,1535.97,13.44,0.87,1300.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1561.36,1619.21,1634.69,1561.36,68.24,4.4,3746.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1620.36,1620.03,1628.64,1612.57,0.81,0.05,2239.03,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1613.25,1605.07,1613.25,1593.36,-14.95,-0.92,1569.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1615.13,1607.99,1623.89,1595.53,2.92,0.18,1542.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1605.77,1597.16,1611.08,1597.01,-10.83,-0.67,1260.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1753.5,1405.96
2012-09-14,1616.01,1614.7,1626.0,1604.17,17.54,1.1,2082.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1760.55,1411.61
2012-09-17,1612.55,1582.1,1615.22,1581.3,-32.61,-2.02,1635.81,0.0,0.0,0.0,0.0,0.0,0.0,2,1762.99,1413.57
2012-09-18,1574.3,1564.98,1576.96,1560.71,-17.11,-1.08,1137.19,0.0,0.0,0.0,0.0,0.0,0.0,2,1764.87,1415.08
2012-09-19,1565.24,1569.07,1571.68,1558.04,4.09,0.26,1234.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1768.37,1417.88
