time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2155.44,2152.98,2167.01,2151.44,-9.26,-0.43,1903.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2147.56,2162.33,2172.18,2144.26,9.34,0.43,2739.63,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2162.13,2137.1,2164.48,2132.15,-25.23,-1.17,2404.46,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2133.46,2129.23,2137.94,2117.83,-7.86,-0.37,2519.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2134.38,2149.52,2150.44,2130.87,20.29,0.95,2365.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2163.1,2235.77,2259.01,2163.1,86.25,4.01,7020.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2236.25,2239.02,2245.66,2225.37,3.25,0.15,4529.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2229.88,2221.37,2229.88,2206.26,-17.65,-0.79,3196.32,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2232.96,2225.42,2242.92,2207.38,4.05,0.18,3452.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2223.0,2210.41,2230.82,2209.99,-15.01,-0.67,3007.88,0.0,0.0,0.0,0.0,0.0,0.0,2,2426.81,1945.82
2012-09-14,2230.5,2226.77,2241.09,2213.53,16.35,0.74,4176.39,0.0,0.0,0.0,0.0,0.0,0.0,2,2435.0,1952.39
2012-09-17,2223.38,2177.77,2224.55,2176.66,-49.0,-2.2,3271.49,0.0,0.0,0.0,0.0,0.0,0.0,2,2436.71,1953.76
2012-09-18,2169.8,2154.09,2170.18,2147.67,-23.68,-1.09,2211.07,0.0,0.0,0.0,0.0,0.0,0.0,2,2438.6,1955.27
2012-09-19,2155.67,2161.98,2165.99,2149.76,7.89,0.37,2347.68,0.0,0.0,0.0,0.0,0.0,0.0,2,2442.24,1958.19
2012-09-20,2155.05,2120.08,2155.05,2118.4,-41.9,-1.94,2999.79,0.0,0.0,0.0,0.0,0.0,0.0,2,2438.97,1955.57
2012-09-21,2116.1,2125.71,2140.88,2114.62,5.62,0.27,2784.67,0.0,0.0,0.0,0.0,0.0,0.0,2,2426.75,1945.77
2012-09-24,2113.54,2133.91,2142.76,2100.75,8.2,0.39,2676.33,0.0,0.0,0.0,22.2,33.89,-1.17,2,2415.08,1936.42
2012-09-25,2128.76,2128.09,2140.03,2120.29,-5.82,-0.27,2038.73,0.0,0.0,0.0,21.3,29.69,4.5,1,2404.73,1928.12
2012-09-26,2126.07,2108.98,2132.24,2105.39,-19.11,-0.9,1977.07,0.0,0.0,0.0,16.15,25.18,-1.9,1,2391.8,1917.75
2012-09-27,2109.83,2169.26,2184.31,2109.49,60.28,2.86,3839.94,2251.84,2168.49,2085.14,29.21,26.52,34.6,2,2387.24,1914.09
2012-09-28,2153.74,2204.12,2208.55,2152.55,34.86,1.61,4181.96,2255.47,2171.05,2086.62,51.44,34.83,84.66,2,2384.72,1912.08
2012-10-08,2203.77,2186.88,2217.17,2175.53,-17.24,-0.78,2540.16,2256.87,2172.27,2087.68,58.95,42.87,91.12,2,2385.73,1912.89
2012-10-09,2197.12,2232.28,2239.67,2197.12,45.4,2.08,3775.34,2263.85,2177.03,2090.21,70.86,52.2,108.19,2,2394.41,1919.84
2012-10-10,2226.99,2233.27,2236.68,2217.19,0.99,0.04,2859.15,2269.44,2182.23,2095.03,79.04,61.15,114.82,2,2402.33,1926.19
2012-10-11,2227.27,2217.37,2231.87,2214.92,-15.9,-0.71,2909.15,2272.76,2185.63,2098.49,80.68,67.66,106.71,2,2413.13,1934.85
2012-10-12,2224.78,2222.78,2245.1,2208.14,5.41,0.24,2704.62,2270.79,2184.98,2099.17,81.79,72.37,100.64,2,2423.9,1943.49
2012-10-15,2224.21,2213.79,2225.59,2199.91,-8.99,-0.4,1946.86,2267.02,2183.72,2100.41,80.39,75.04,91.09,2,2432.77,1950.6
2012-10-16,2211.6,2211.91,2226.83,2203.96,-1.88,-0.08,2153.44,2265.79,2183.24,2100.7,78.77,76.28,83.74,2,2442.07,1958.06
2012-10-17,2219.31,2217.59,2226.66,2198.64,5.68,0.26,2320.7,2264.66,2182.85,2101.04,75.94,76.17,75.48,2,2454.13,1967.72
2012-10-18,2222.88,2249.69,2254.8,2221.67,32.1,1.45,3485.33,2270.95,2184.82,2098.68,81.81,78.05,89.33,2,2463.05,1974.88
2012-10-19,2247.46,2246.11,2253.61,2242.85,-3.59,-0.16,2478.2,2274.19,2185.78,2097.38,82.85,79.65,89.25,2,2467.72,1978.62
2012-10-22,2235.66,2253.5,2259.35,2230.65,7.4,0.33,2311.64,2282.64,2189.57,2096.5,85.36,81.55,92.96,2,2475.11,1984.55
2012-10-23,2253.21,2231.31,2257.41,2228.29,-22.2,-0.98,2612.76,2286.7,2193.43,2100.16,74.84,79.32,65.89,2,2475.0,1984.46
2012-10-24,2223.01,2234.34,2243.36,2221.25,3.03,0.14,2646.15,2290.77,2197.05,2103.33,69.5,76.04,56.4,2,2475.12,1984.56
2012-10-25,2232.8,2222.63,2252.44,2221.31,-11.71,-0.52,3344.36,2289.49,2202.18,2114.86,59.5,70.53,37.45,2,2475.71,1985.02
2012-10-26,2221.81,2183.11,2223.24,2173.33,-39.52,-1.78,3051.6,2285.64,2205.05,2124.46,43.46,61.51,7.36,2,2471.3,1981.49
2012-10-29,2177.47,2169.74,2181.4,2162.21,-13.36,-0.61,2048.67,2282.46,2206.84,2131.21,31.56,51.52,-8.38,2,2466.41,1977.57
2012-10-30,2170.48,2173.45,2187.01,2162.65,3.71,0.17,2504.48,2277.53,2209.11,2140.69,24.89,42.65,-10.61,2,2462.14,1974.15
2012-10-31,2174.08,2185.62,2187.66,2165.6,12.17,0.56,2729.36,2265.17,2212.94,2160.71,24.63,36.64,0.61,2,2458.59,1971.31
2012-11-01,2186.82,2222.86,2232.08,2186.57,37.24,1.7,3767.57,2263.96,2215.62,2167.27,37.23,36.84,38.02,2,2455.62,1968.92
2012-11-02,2223.47,2236.73,2239.42,2213.31,13.87,0.62,3016.72,2266.13,2217.25,2168.37,50.91,41.53,69.68,2,2454.58,1968.08
2012-11-05,2234.14,2237.12,2249.14,2226.01,0.39,0.02,2984.19,2267.29,2219.76,2172.23,61.62,48.22,88.4,2,2452.76,1966.62
2012-11-06,2237.21,2227.9,2239.48,2198.14,-9.23,-0.41,2670.55,2266.87,2219.54,2172.21,65.34,53.93,88.17,2,2452.38,1966.32
2012-11-07,2223.84,2224.08,2234.1,2212.12,-3.82,-0.17,2364.66,2266.05,2219.08,2172.11,67.29,58.38,85.1,2,2451.24,1965.41
2012-11-08,2208.27,2187.6,2212.64,2187.14,-36.48,-1.64,2555.48,2266.53,2217.59,2168.66,54.59,57.12,49.54,2,2447.35,1962.29
2012-11-09,2184.15,2186.56,2195.46,2179.89,-1.04,-0.05,2283.37,2266.47,2215.78,2165.1,45.61,53.28,30.27,2,2447.73,1962.6
2012-11-12,2188.59,2200.88,2201.47,2182.91,14.32,0.65,2535.59,2266.23,2215.14,2164.04,44.48,50.35,32.75,2,2451.19,1965.37
2012-11-13,2199.91,2165.97,2199.91,2161.58,-34.91,-1.59,2477.76,2268.26,2212.84,2157.42,31.33,44.01,5.96,2,2450.36,1964.7
2012-11-14,2166.04,2173.72,2176.89,2160.55,7.75,0.36,1947.46,2268.55,2210.65,2152.74,25.84,37.95,1.61,2,2449.04,1963.64
2012-11-15,2163.69,2146.09,2170.22,2145.35,-27.62,-1.27,2090.84,2266.9,2205.47,2144.03,17.46,31.12,-9.85,2,2440.52,1956.81
2012-11-16,2142.31,2132.33,2145.05,2119.84,-13.76,-0.64,2224.36,2265.99,2199.78,2133.56,15.12,25.79,-6.21,2,2428.93,1947.52
2012-11-19,2130.49,2135.59,2136.57,2113.77,3.26,0.15,1955.04,2260.91,2193.88,2126.86,16.13,22.57,3.24,2,2417.66,1938.48
2012-11-20,2140.54,2123.2,2143.44,2120.99,-12.39,-0.58,1686.25,2259.85,2188.48,2117.1,13.93,19.69,2.41,1,2406.04,1929.17
2012-11-21,2123.84,2152.28,2152.95,2113.85,29.08,1.37,2125.92,2254.15,2184.37,2114.6,23.92,21.1,29.57,2,2398.07,1922.78
2012-11-22,2143.08,2140.67,2146.08,2132.33,-11.62,-0.54,1617.56,2250.21,2180.27,2110.34,26.17,22.79,32.94,2,2392.86,1918.6
2012-11-23,2147.27,2155.3,2163.83,2143.03,14.64,0.68,2187.19,2249.64,2178.88,2108.13,33.52,26.37,47.82,2,2389.39,1915.82
2012-11-26,2150.43,2145.73,2155.55,2140.57,-9.57,-0.44,1775.37,2249.82,2177.68,2105.55,39.22,30.65,56.37,2,2383.27,1910.91
2012-11-27,2141.42,2127.12,2147.36,2126.6,-18.61,-0.87,2412.65,2250.8,2175.37,2099.94,34.03,31.78,38.54,2,2378.96,1907.45
2012-11-28,2119.12,2109.69,2122.2,2105.22,-17.43,-0.82,2217.97,2252.03,2171.57,2091.11,25.23,29.6,16.5,2,2371.85,1901.75
2012-11-29,2109.79,2100.49,2118.71,2097.79,-9.21,-0.44,2211.39,2247.96,2165.45,2082.94,18.18,25.79,2.97,2,2366.79,1897.69
2012-11-30,2099.46,2126.52,2129.3,2097.53,26.04,1.24,2664.73,2237.23,2159.94,2082.65,26.7,26.09,27.9,2,2366.14,1897.18
2012-12-03,2123.89,2113.06,2138.56,2112.33,-13.46,-0.63,3027.55,2224.93,2153.74,2082.55,25.61,25.93,24.96,2,2363.64,1895.17
2012-12-04,2110.09,2133.99,2138.13,2108.38,20.93,0.99,2694.26,2211.96,2149.04,2086.13,35.4,29.09,48.03,2,2364.84,1896.13
2012-12-05,2132.92,2205.03,2215.47,2130.41,71.04,3.33,6333.87,2206.87,2148.09,2089.31,53.98,37.39,87.18,2,2370.69,1900.83
2012-12-06,2202.08,2204.98,2214.06,2194.77,-0.05,0.0,3706.45,2210.5,2148.96,2087.42,66.36,47.04,104.99,2,2377.83,1906.55
2012-12-07,2205.75,2246.96,2249.75,2201.03,41.98,1.9,5770.05,2225.39,2151.98,2078.57,76.96,57.02,116.85,2,2388.01,1914.71
2012-12-10,2254.92,2269.96,2275.41,2252.39,23.0,1.02,5598.1,2242.88,2155.43,2067.99,83.62,65.88,119.09,2,2401.8,1925.76
2012-12-11,2262.13,2253.76,2270.46,2251.41,-16.2,-0.71,3782.27,2257.19,2159.82,2062.45,85.02,72.26,110.54,2,2415.85,1937.04
2012-12-12,2252.97,2262.76,2270.2,2245.72,9.0,0.4,3385.61,2271.43,2164.28,2057.12,87.64,77.39,108.15,2,2432.84,1950.66
2012-12-13,2256.12,2238.54,2260.54,2237.26,-24.23,-1.07,2994.98,2280.4,2168.9,2057.39,84.41,79.73,93.76,2,2448.17,1962.94
2012-12-14,2242.46,2354.32,2355.54,2242.46,115.78,5.17,8419.23,2316.2,2180.0,2043.8,89.44,82.97,102.39,2,2473.45,1983.22
2012-12-17,2360.17,2366.38,2382.01,2360.17,12.06,0.51,6997.56,2348.29,2191.54,2034.79,90.89,85.61,101.45,2,2501.57,2005.76
