time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2636.56,2623.26,2649.67,2617.75,-20.91,-0.79,297.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2629.47,2660.69,2676.72,2625.66,37.44,1.43,445.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2664.44,2641.62,2673.6,2637.84,-19.07,-0.72,413.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2629.72,2629.6,2650.64,2612.7,-12.03,-0.46,391.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2638.72,2661.73,2663.05,2633.0,32.14,1.22,381.29,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2681.26,2808.7,2840.33,2681.26,146.97,5.52,1215.83,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2827.17,2838.65,2855.5,2804.84,29.95,1.07,1041.15,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2818.54,2813.67,2818.54,2792.07,-24.98,-0.88,667.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2837.96,2851.24,2874.12,2820.08,37.57,1.34,772.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2849.29,2799.78,2850.47,2799.49,-51.45,-1.8,546.25,0.0,0.0,0.0,0.0,0.0,0.0,2,3033.51,2432.28
2012-09-14,2887.41,2859.58,2913.77,2838.93,59.8,2.14,1102.01,0.0,0.0,0.0,0.0,0.0,0.0,2,3059.74,2453.31
2012-09-17,2858.3,2797.57,2875.06,2796.45,-62.01,-2.17,766.05,0.0,0.0,0.0,0.0,0.0,0.0,2,3074.94,2465.49
2012-09-18,2769.53,2735.97,2769.53,2726.35,-61.59,-2.2,508.11,0.0,0.0,0.0,0.0,0.0,0.0,2,3085.41,2473.89
2012-09-19,2737.27,2794.35,2796.25,2726.67,58.37,2.13,638.23,0.0,0.0,0.0,0.0,0.0,0.0,2,3103.7,2488.55
2012-09-20,2774.25,2701.0,2774.25,2697.69,-93.35,-3.34,734.43,0.0,0.0,0.0,0.0,0.0,0.0,2,3108.06,2492.05
2012-09-21,2697.38,2743.21,2782.01,2697.38,42.22,1.56,861.24,0.0,0.0,0.0,0.0,0.0,0.0,2,3100.79,2486.22
2012-09-24,2709.75,2762.06,2780.15,2686.11,18.85,0.69,697.29,0.0,0.0,0.0,34.4,48.33,6.56,2,3092.29,2479.4
2012-09-25,2745.26,2728.9,2752.08,2713.7,-33.17,-1.2,549.25,0.0,0.0,0.0,29.2,41.95,3.7,2,3082.88,2471.86
2012-09-26,2723.86,2685.39,2732.48,2678.3,-43.5,-1.59,501.2,0.0,0.0,0.0,20.47,34.79,-8.17,2,3064.47,2457.1
2012-09-27,2677.13,2778.39,2808.51,2677.02,92.99,3.46,809.33,2894.26,2745.77,2597.27,30.71,33.43,25.27,2,3062.09,2455.19
2012-09-28,2764.76,2842.26,2845.72,2761.54,63.88,2.3,927.12,2899.66,2756.72,2613.78,53.12,39.99,79.38,2,3060.17,2453.65
2012-10-08,2834.06,2793.28,2844.34,2774.58,-48.98,-1.72,549.94,2900.02,2763.35,2626.68,58.39,46.13,82.91,2,3059.69,2453.27
2012-10-09,2808.1,2848.23,2863.64,2806.02,54.94,1.97,726.12,2903.02,2773.68,2644.34,69.51,53.92,100.68,2,3072.15,2463.26
2012-10-10,2836.05,2855.74,2858.05,2816.59,7.52,0.26,627.06,2900.8,2784.98,2669.17,78.26,62.03,110.71,2,3078.97,2468.72
2012-10-11,2839.64,2819.84,2853.44,2818.66,-35.9,-1.26,583.59,2894.71,2792.89,2691.07,77.68,67.25,98.55,2,3092.16,2479.3
2012-10-12,2831.41,2818.9,2857.15,2792.96,-0.95,-0.03,534.81,2895.64,2793.4,2691.16,77.13,70.54,90.31,2,3100.56,2486.04
2012-10-15,2804.04,2778.48,2804.04,2758.69,-40.41,-1.43,432.77,2890.65,2790.39,2690.14,69.54,70.21,68.21,2,3102.38,2487.5
2012-10-16,2773.13,2773.98,2799.93,2764.23,-4.5,-0.16,390.65,2888.31,2788.41,2688.5,63.68,68.03,54.97,2,3107.39,2491.51
2012-10-17,2790.32,2792.62,2807.84,2760.06,18.64,0.67,434.13,2881.19,2785.48,2689.77,53.23,63.1,33.49,2,3119.29,2501.05
2012-10-18,2799.05,2836.05,2843.24,2798.95,43.43,1.56,608.24,2885.36,2787.29,2689.22,60.06,62.08,56.0,2,3125.69,2506.18
2012-10-19,2830.8,2820.17,2842.67,2813.73,-15.88,-0.56,482.2,2878.99,2785.32,2691.65,59.56,61.24,56.2,2,3123.24,2504.22
2012-10-22,2789.61,2818.34,2826.12,2780.24,-1.83,-0.06,463.3,2881.0,2786.36,2691.72,59.72,60.74,57.69,2,3126.02,2506.45
2012-10-23,2812.89,2790.2,2820.44,2786.66,-28.14,-1.0,391.56,2880.85,2789.07,2697.29,50.48,57.32,36.81,2,3119.58,2501.28
2012-10-24,2768.59,2769.82,2787.97,2762.56,-20.38,-0.73,343.54,2879.96,2787.84,2695.73,37.42,50.69,10.89,2,3110.04,2493.64
2012-10-25,2768.32,2745.11,2788.33,2739.21,-24.72,-0.89,453.53,2875.62,2790.05,2704.48,26.84,42.74,-4.96,2,3101.75,2486.99
2012-10-26,2746.02,2674.16,2748.02,2671.51,-70.95,-2.58,492.13,2884.18,2786.6,2689.01,18.41,34.63,-14.03,2,3085.68,2474.1
2012-10-29,2667.51,2653.37,2676.82,2645.2,-20.79,-0.78,315.76,2894.45,2781.16,2667.88,13.65,27.63,-14.33,2,3071.79,2462.97
2012-10-30,2651.91,2660.57,2689.3,2651.91,7.2,0.27,333.39,2900.83,2777.74,2654.66,11.68,22.32,-9.58,2,3059.21,2452.88
2012-10-31,2659.85,2676.98,2678.19,2648.06,16.41,0.62,352.91,2901.72,2777.32,2652.93,13.15,19.26,0.94,2,3046.37,2442.58
