time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2075.35,2082.51,2091.05,2073.65,2.1,0.1,793.3,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2078.65,2114.05,2118.89,2076.28,31.54,1.51,981.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2128.74,2106.04,2132.49,2101.95,-8.01,-0.38,868.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2103.07,2113.45,2119.6,2098.31,7.41,0.35,769.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2114.47,2123.89,2125.99,2108.03,10.44,0.49,777.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2136.04,2191.11,2212.55,2136.04,67.23,3.17,2119.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2191.67,2194.3,2201.46,2183.76,3.19,0.15,1423.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2185.8,2189.67,2190.4,2175.45,-4.63,-0.21,1164.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2199.44,2200.22,2212.34,2180.44,10.55,0.48,1307.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2199.22,2180.03,2206.97,2179.38,-20.19,-0.92,1227.12,0.0,0.0,0.0,0.0,0.0,0.0,2,2385.97,1913.08
2012-09-14,2193.83,2188.84,2199.87,2171.38,8.82,0.4,1283.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2397.78,1922.54
2012-09-17,2188.82,2137.81,2189.58,2137.36,-51.03,-2.33,1188.33,0.0,0.0,0.0,0.0,0.0,0.0,2,2400.41,1924.66
2012-09-18,2133.2,2128.52,2141.59,2121.38,-9.29,-0.43,847.73,0.0,0.0,0.0,0.0,0.0,0.0,2,2402.91,1926.66
2012-09-19,2128.5,2134.02,2138.57,2122.27,5.5,0.26,828.54,0.0,0.0,0.0,0.0,0.0,0.0,2,2405.19,1928.49
2012-09-20,2128.11,2086.19,2128.27,2083.02,-47.83,-2.24,1078.37,0.0,0.0,0.0,0.0,0.0,0.0,2,2401.01,1925.13
2012-09-21,2081.55,2080.71,2097.68,2076.06,-5.48,-0.26,935.82,0.0,0.0,0.0,0.0,0.0,0.0,2,2388.75,1915.31
2012-09-24,2069.72,2091.27,2095.49,2056.91,10.56,0.51,835.36,0.0,0.0,0.0,21.74,35.75,-6.29,2,2377.32,1906.14
2012-09-25,2087.56,2087.79,2099.9,2081.14,-3.48,-0.17,639.29,0.0,0.0,0.0,21.35,30.95,2.15,1,2366.01,1897.07
2012-09-26,2087.69,2057.4,2092.61,2052.17,-30.39,-1.46,759.33,0.0,0.0,0.0,15.41,25.77,-5.3,1,2350.16,1884.36
2012-09-27,2056.3,2099.9,2110.94,2054.05,42.5,2.07,1154.21,2218.38,2129.39,2040.39,21.86,24.47,16.63,2,2341.26,1877.23
2012-09-28,2087.85,2139.17,2140.68,2085.49,39.27,1.87,1252.43,2218.63,2132.22,2045.8,47.0,31.98,77.05,2,2335.75,1872.81
2012-10-08,2138.81,2125.09,2146.37,2114.18,-14.07,-0.66,784.45,2218.85,2132.77,2046.69,57.14,40.36,90.68,2,2334.34,1871.68
2012-10-09,2132.34,2171.72,2171.93,2132.34,46.62,2.19,1185.63,2222.82,2136.05,2049.29,71.37,50.7,112.7,2,2339.13,1875.52
2012-10-10,2165.83,2180.74,2181.72,2161.59,9.02,0.42,1162.13,2227.62,2139.42,2051.22,80.66,60.69,120.61,2,2344.32,1879.68
2012-10-11,2173.91,2157.06,2176.56,2155.81,-23.68,-1.09,1044.42,2229.3,2141.08,2052.86,80.76,67.38,107.53,2,2352.18,1885.99
2012-10-12,2166.76,2154.79,2180.64,2141.21,-2.27,-0.11,1036.8,2224.74,2139.26,2053.78,80.24,71.67,97.4,2,2360.41,1892.58
2012-10-15,2154.76,2153.66,2158.69,2137.58,-1.13,-0.05,824.9,2219.24,2137.23,2055.22,79.61,74.31,90.2,2,2367.33,1898.13
2012-10-16,2152.09,2168.89,2185.27,2147.98,15.23,0.71,1035.33,2216.01,2136.19,2056.37,82.25,76.96,92.82,2,2376.33,1905.35
2012-10-17,2172.58,2168.37,2175.48,2150.88,-0.52,-0.02,862.87,2210.42,2134.6,2058.78,82.52,78.81,89.93,2,2388.65,1915.23
2012-10-18,2173.27,2197.17,2201.77,2172.63,28.8,1.33,1378.39,2213.66,2135.46,2057.25,86.59,81.41,96.97,2,2399.45,1923.88
2012-10-19,2196.42,2191.69,2204.85,2184.53,-5.48,-0.25,1087.05,2214.2,2135.6,2057.0,85.01,82.61,89.82,2,2405.28,1928.56
2012-10-22,2183.36,2195.17,2198.51,2176.96,3.49,0.16,901.55,2221.26,2138.47,2055.68,85.21,83.48,88.68,2,2413.06,1934.79
2012-10-23,2194.95,2164.85,2195.87,2161.9,-30.32,-1.38,1083.82,2223.71,2140.28,2056.85,70.32,79.09,52.78,2,2412.3,1934.18
2012-10-24,2159.04,2165.83,2175.66,2156.81,0.98,0.05,1134.07,2225.97,2141.87,2057.77,60.88,73.02,36.6,2,2410.64,1932.86
2012-10-25,2165.32,2153.18,2181.2,2149.46,-12.65,-0.58,1486.81,2225.43,2145.22,2065.01,48.32,64.79,15.38,2,2410.21,1932.51
2012-10-26,2150.86,2117.71,2152.13,2102.89,-35.48,-1.65,1335.96,2222.83,2147.07,2071.32,37.06,55.54,0.08,2,2406.09,1929.21
2012-10-29,2112.44,2117.04,2122.33,2097.9,-0.67,-0.03,958.72,2221.09,2148.36,2075.63,30.67,47.25,-2.49,2,2402.03,1925.95
2012-10-30,2114.76,2115.67,2131.07,2109.02,-1.37,-0.06,944.0,2218.76,2149.76,2080.75,25.98,40.16,-2.37,2,2396.12,1921.21
2012-10-31,2114.85,2127.37,2127.4,2108.46,11.69,0.55,1021.91,2209.0,2153.25,2097.51,26.51,35.61,8.3,2,2391.57,1917.57
2012-11-01,2128.47,2157.29,2161.35,2127.98,29.92,1.41,1258.04,2206.21,2156.12,2106.04,37.35,36.19,39.67,2,2387.14,1914.02
2012-11-02,2157.84,2163.48,2163.86,2145.23,6.19,0.29,1219.65,2206.9,2157.34,2107.78,47.21,39.86,61.91,2,2384.01,1911.51
2012-11-05,2158.85,2152.53,2165.41,2143.52,-10.95,-0.51,1174.13,2206.09,2158.71,2111.33,53.34,44.35,71.3,2,2379.28,1907.71
