time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2013.03,2020.06,2028.35,2012.51,1.02,0.05,868.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2015.4,2047.86,2053.67,2012.13,27.8,1.38,1291.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2044.63,2020.4,2049.76,2017.46,-27.46,-1.34,1111.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2017.43,2027.97,2036.47,2012.08,7.57,0.37,1129.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2033.36,2047.11,2048.35,2030.99,19.13,0.94,1054.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2061.67,2136.03,2160.34,2061.67,88.93,4.34,3151.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2137.97,2148.34,2156.17,2132.51,12.31,0.58,2197.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2140.04,2139.72,2140.74,2121.55,-8.62,-0.4,1646.71,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2153.51,2152.01,2161.76,2126.4,12.29,0.57,1866.02,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2148.19,2125.35,2156.99,2124.87,-26.66,-1.24,1618.69,0.0,0.0,0.0,0.0,0.0,0.0,2,2316.0,1856.97
2012-09-14,2146.34,2133.03,2153.41,2116.44,7.68,0.36,2022.49,0.0,0.0,0.0,0.0,0.0,0.0,2,2328.54,1867.03
2012-09-17,2130.35,2072.5,2131.82,2071.64,-60.53,-2.84,1623.89,0.0,0.0,0.0,0.0,0.0,0.0,2,2331.27,1869.22
2012-09-18,2065.8,2051.06,2070.08,2043.1,-21.44,-1.03,1070.56,0.0,0.0,0.0,0.0,0.0,0.0,2,2334.68,1871.95
2012-09-19,2054.74,2068.85,2071.36,2052.06,17.79,0.87,1128.12,0.0,0.0,0.0,0.0,0.0,0.0,2,2339.21,1875.59
2012-09-20,2059.63,2017.1,2059.63,2014.79,-51.75,-2.5,1473.88,0.0,0.0,0.0,0.0,0.0,0.0,2,2335.88,1872.92
2012-09-21,2011.92,2018.13,2038.15,2006.68,1.03,0.05,1395.25,0.0,0.0,0.0,0.0,0.0,0.0,2,2322.8,1862.42
