time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1682.07,1691.34,1697.34,1671.35,4.17,0.25,140.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1687.13,1713.27,1717.99,1679.62,21.92,1.3,142.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1712.87,1702.53,1733.5,1698.94,-10.74,-0.63,173.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1697.58,1725.66,1736.49,1694.95,23.13,1.36,212.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1728.42,1736.03,1738.54,1716.67,10.37,0.6,196.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1753.75,1795.34,1811.25,1751.58,59.31,3.42,361.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1796.39,1810.96,1818.86,1793.25,15.62,0.87,289.64,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1802.87,1809.62,1816.16,1794.85,-1.34,-0.07,239.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1818.6,1821.15,1828.39,1799.84,11.53,0.64,221.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1819.46,1791.61,1824.48,1790.55,-29.54,-1.62,233.12,0.0,0.0,0.0,0.0,0.0,0.0,2,1953.32,1566.18
2012-09-14,1804.45,1789.25,1810.79,1775.25,-2.36,-0.13,202.05,0.0,0.0,0.0,0.0,0.0,0.0,2,1964.19,1574.89
2012-09-17,1787.27,1732.0,1789.58,1731.55,-57.26,-3.2,182.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1966.27,1576.56
2012-09-18,1725.89,1730.58,1746.46,1721.3,-1.42,-0.08,111.38,0.0,0.0,0.0,0.0,0.0,0.0,2,1969.38,1579.06
2012-09-19,1735.39,1759.74,1765.47,1735.39,29.16,1.68,176.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1973.17,1582.09
2012-09-20,1754.36,1695.62,1754.36,1695.06,-64.12,-3.64,191.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1968.68,1578.49
2012-09-21,1694.6,1677.69,1700.24,1673.94,-17.93,-1.06,137.03,0.0,0.0,0.0,0.0,0.0,0.0,2,1955.62,1568.02
2012-09-24,1666.49,1680.4,1686.36,1651.31,2.71,0.16,116.91,0.0,0.0,0.0,20.75,36.52,-10.81,2,1941.13,1556.4
