time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1850.31,1851.33,1861.67,1849.0,-4.27,-0.23,3129.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1847.1,1870.16,1875.37,1844.39,18.84,1.02,4279.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1873.08,1851.64,1875.55,1847.63,-18.53,-0.99,3899.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1847.85,1849.45,1857.07,1837.48,-2.19,-0.12,4024.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1853.4,1866.54,1867.32,1850.34,17.09,0.92,3875.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1879.7,1945.33,1963.97,1879.7,78.79,4.22,10552.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1947.6,1953.01,1959.79,1940.31,7.68,0.39,7640.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1945.15,1940.34,1945.15,1927.31,-12.67,-0.65,5702.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1951.04,1948.67,1960.24,1930.53,8.34,0.43,5954.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1946.09,1929.85,1952.47,1929.65,-18.82,-0.97,5532.51,0.0,0.0,0.0,0.0,0.0,0.0,2,2109.7,1691.56
2012-09-14,1950.04,1943.21,1957.17,1929.96,13.36,0.69,6893.46,0.0,0.0,0.0,0.0,0.0,0.0,2,2119.9,1699.74
2012-09-17,1940.56,1895.29,1942.39,1894.72,-47.92,-2.47,5586.06,0.0,0.0,0.0,0.0,0.0,0.0,2,2122.69,1701.98
2012-09-18,1887.17,1877.32,1891.95,1870.76,-17.97,-0.95,3832.9,0.0,0.0,0.0,0.0,0.0,0.0,2,2125.54,1704.26
2012-09-19,1878.59,1887.86,1889.9,1873.74,10.54,0.56,3831.79,0.0,0.0,0.0,0.0,0.0,0.0,2,2129.8,1707.68
2012-09-20,1880.95,1844.89,1880.95,1842.94,-42.98,-2.28,5000.66,0.0,0.0,0.0,0.0,0.0,0.0,2,2127.4,1705.75
2012-09-21,1840.38,1846.37,1862.2,1836.8,1.48,0.08,4554.09,0.0,0.0,0.0,0.0,0.0,0.0,2,2116.42,1696.95
2012-09-24,1834.49,1857.98,1865.11,1824.87,11.61,0.63,4396.38,0.0,0.0,0.0,24.34,38.38,-3.76,2,2105.87,1688.49
2012-09-25,1852.72,1851.46,1864.72,1845.34,-6.52,-0.35,3493.33,0.0,0.0,0.0,22.92,33.23,2.31,1,2096.0,1680.58
2012-09-26,1849.45,1827.98,1855.96,1824.34,-23.49,-1.27,3470.98,0.0,0.0,0.0,16.2,27.55,-6.52,1,2082.61,1669.84
2012-09-27,1827.78,1879.16,1890.86,1827.37,51.18,2.8,5825.08,1967.44,1885.89,1804.34,26.28,27.13,24.58,2,2076.98,1665.33
2012-09-28,1866.57,1912.12,1914.88,1865.13,32.96,1.75,6219.58,1969.63,1888.93,1808.23,49.84,34.7,80.11,2,2073.53,1662.56
2012-10-08,1910.9,1896.94,1922.5,1887.08,-15.18,-0.79,3987.62,1970.56,1890.27,1809.98,57.88,42.42,88.78,2,2073.71,1662.71
2012-10-09,1904.97,1938.82,1942.26,1904.97,41.88,2.21,5981.68,1975.53,1894.63,1813.73,70.95,51.93,108.98,2,2080.54,1668.18
2012-10-10,1933.74,1942.89,1943.89,1925.73,4.07,0.21,5148.85,1980.01,1899.3,1818.59,80.35,61.4,118.25,2,2086.65,1673.08
2012-10-11,1936.66,1923.8,1940.7,1922.46,-19.09,-0.98,4975.0,1982.08,1902.16,1822.25,81.3,68.04,107.83,2,2095.4,1680.1
