time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1397.13,1401.05,1404.14,1394.53,-0.97,-0.07,105.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1394.27,1398.94,1403.69,1392.08,-2.11,-0.15,145.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1396.25,1382.02,1399.75,1378.01,-16.93,-1.21,149.79,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1380.65,1402.16,1407.71,1375.79,20.15,1.46,238.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1404.18,1405.64,1406.89,1394.93,3.48,0.25,154.65,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1411.89,1442.18,1458.68,1409.17,36.54,2.6,420.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1440.99,1441.57,1442.39,1431.3,-0.61,-0.04,262.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1436.74,1427.43,1436.74,1417.12,-14.14,-0.98,174.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1431.32,1418.83,1435.94,1406.81,-8.6,-0.6,229.99,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1417.6,1407.54,1422.33,1405.27,-11.29,-0.8,208.68,0.0,0.0,0.0,0.0,0.0,0.0,2,1568.14,1257.34
2012-09-14,1412.73,1404.02,1416.24,1396.35,-3.52,-0.25,213.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1568.47,1257.6
2012-09-17,1403.06,1380.6,1404.57,1378.67,-23.42,-1.67,165.7,0.0,0.0,0.0,0.0,0.0,0.0,2,1566.43,1255.97
2012-09-18,1378.56,1369.76,1378.56,1367.3,-10.84,-0.78,112.92,0.0,0.0,0.0,0.0,0.0,0.0,2,1565.07,1254.88
2012-09-19,1371.04,1372.02,1374.66,1364.38,2.25,0.16,113.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1561.72,1252.19
2012-09-20,1367.68,1334.36,1368.26,1333.78,-37.66,-2.74,159.65,0.0,0.0,0.0,0.0,0.0,0.0,2,1553.81,1245.85
2012-09-21,1332.78,1343.62,1356.38,1331.17,9.26,0.69,193.53,0.0,0.0,0.0,0.0,0.0,0.0,2,1542.87,1237.08
2012-09-24,1334.7,1338.95,1345.92,1322.42,-4.67,-0.35,120.57,0.0,0.0,0.0,13.6,17.49,5.81,2,1531.48,1227.94
2012-09-25,1337.07,1332.24,1339.31,1326.64,-6.71,-0.5,105.2,0.0,0.0,0.0,12.34,15.78,5.48,1,1520.92,1219.47
2012-09-26,1332.02,1317.5,1334.78,1316.6,-14.74,-1.11,114.23,0.0,0.0,0.0,8.53,13.36,-1.13,1,1509.67,1210.45
2012-09-27,1318.54,1344.15,1356.44,1316.02,26.65,2.02,183.18,1457.02,1383.23,1309.43,16.28,14.33,20.16,2,1502.63,1204.81
2012-09-28,1336.79,1369.63,1373.1,1333.7,25.48,1.9,234.14,1455.21,1381.66,1308.11,39.42,22.7,72.88,2,1498.81,1201.75
2012-10-08,1369.04,1363.76,1377.29,1357.19,-5.87,-0.43,151.35,1453.39,1379.9,1306.41,52.26,32.55,91.67,2,1496.94,1200.25
2012-10-09,1369.4,1386.95,1392.82,1369.4,23.19,1.7,247.79,1453.7,1380.15,1306.59,65.62,43.57,109.72,2,1498.85,1201.78
2012-10-10,1383.72,1382.69,1384.17,1375.01,-4.26,-0.31,181.16,1452.05,1379.17,1306.3,72.68,53.28,111.5,2,1500.04,1202.73
2012-10-11,1382.92,1376.67,1383.3,1374.51,-6.02,-0.44,175.87,1449.58,1377.72,1305.87,74.78,60.44,103.45,2,1504.73,1206.5
2012-10-12,1379.88,1375.13,1390.51,1366.93,-1.53,-0.11,145.69,1439.86,1374.37,1308.88,75.51,65.47,95.59,2,1508.23,1209.3
2012-10-15,1377.46,1373.13,1378.7,1363.79,-2.0,-0.15,134.04,1428.74,1370.95,1313.16,75.13,68.69,88.01,2,1512.03,1212.34
2012-10-16,1373.08,1364.73,1375.67,1362.11,-8.4,-0.61,145.55,1419.48,1367.81,1316.15,71.23,69.53,74.61,2,1515.63,1215.24
2012-10-17,1370.07,1366.4,1371.86,1356.18,1.67,0.12,175.86,1411.26,1365.19,1319.13,65.92,68.33,61.11,2,1521.06,1219.59
2012-10-18,1370.26,1382.38,1386.45,1369.03,15.98,1.17,230.59,1406.55,1363.93,1321.32,67.78,68.15,67.05,2,1525.3,1222.99
2012-10-19,1382.65,1375.28,1382.65,1371.52,-7.1,-0.51,185.21,1401.38,1362.5,1323.61,62.56,66.29,55.12,2,1525.93,1223.49
2012-10-22,1373.64,1385.56,1387.34,1368.92,10.28,0.75,173.3,1402.15,1362.75,1323.34,70.24,67.6,75.5,2,1528.35,1225.43
2012-10-23,1385.82,1375.13,1386.33,1371.2,-10.43,-0.75,161.95,1402.68,1363.01,1323.35,65.22,66.81,62.05,2,1527.04,1224.38
2012-10-24,1373.79,1395.66,1398.62,1371.55,20.53,1.49,259.91,1406.2,1364.2,1322.19,74.49,69.37,84.73,2,1528.48,1225.54
2012-10-25,1398.32,1395.24,1414.88,1394.34,-0.43,-0.03,291.58,1408.98,1367.24,1325.5,71.84,70.19,75.14,2,1530.54,1227.19
2012-10-26,1399.06,1382.19,1401.44,1374.46,-13.04,-0.93,241.93,1409.92,1369.17,1328.42,62.66,67.68,52.62,2,1531.32,1227.82
2012-10-29,1378.81,1374.52,1385.26,1367.95,-7.67,-0.55,153.41,1409.3,1370.95,1332.59,52.19,62.52,31.53,2,1531.48,1227.94
2012-10-30,1373.97,1369.82,1379.91,1366.15,-4.7,-0.34,160.89,1406.85,1372.83,1338.8,37.3,54.11,3.68,2,1532.04,1228.39
2012-10-31,1369.83,1381.36,1382.11,1356.1,11.54,0.84,233.7,1398.8,1376.02,1353.23,39.19,49.14,19.3,2,1533.7,1229.73
