time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3254.04,3261.36,3271.08,3238.81,-5.57,-0.17,124.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3254.95,3343.39,3348.24,3251.42,82.03,2.52,167.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3341.34,3322.71,3366.67,3315.7,-20.68,-0.62,140.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3325.15,3334.76,3342.34,3308.07,12.05,0.36,114.82,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3334.16,3341.13,3356.37,3311.89,6.37,0.19,100.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3352.32,3434.66,3459.36,3347.13,93.53,2.8,253.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3429.55,3431.05,3434.81,3399.49,-3.61,-0.11,175.07,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3418.28,3461.68,3462.39,3397.2,30.63,0.89,171.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3473.18,3487.91,3492.17,3445.01,26.24,0.76,183.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3484.85,3457.58,3499.7,3457.34,-30.34,-0.87,178.66,0.0,0.0,0.0,0.0,0.0,0.0,2,3760.26,3014.98
2012-09-14,3471.72,3449.85,3481.73,3433.06,-7.73,-0.22,172.58,0.0,0.0,0.0,0.0,0.0,0.0,2,3781.18,3031.76
2012-09-17,3445.02,3358.58,3446.71,3357.12,-91.27,-2.65,196.79,0.0,0.0,0.0,0.0,0.0,0.0,2,3782.87,3033.11
2012-09-18,3355.53,3360.65,3380.7,3337.44,2.07,0.06,116.82,0.0,0.0,0.0,0.0,0.0,0.0,2,3787.08,3036.49
2012-09-19,3358.68,3387.89,3401.55,3358.39,27.24,0.81,117.92,0.0,0.0,0.0,0.0,0.0,0.0,2,3792.98,3041.22
