time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1884.03,1880.21,1895.4,1879.17,-8.46,-0.45,862.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1875.81,1893.16,1902.61,1872.93,12.95,0.69,1373.28,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1893.77,1871.71,1896.17,1867.3,-21.45,-1.13,1152.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1867.34,1857.37,1872.94,1849.81,-14.35,-0.77,1284.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1860.14,1875.86,1876.88,1856.5,18.49,1.0,1103.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1888.0,1960.27,1980.82,1888.0,84.41,4.5,3193.89,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1961.01,1961.24,1970.17,1949.96,0.97,0.05,1982.17,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1952.05,1943.16,1952.05,1927.69,-18.08,-0.92,1285.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1955.68,1946.83,1965.23,1930.48,3.67,0.19,1382.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1943.54,1931.32,1951.1,1931.16,-15.51,-0.8,1001.37,0.0,0.0,0.0,0.0,0.0,0.0,2,2122.45,1701.78
2012-09-14,1956.97,1953.03,1968.34,1941.31,21.72,1.12,1889.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2130.53,1708.26
2012-09-17,1949.61,1912.05,1953.28,1911.02,-40.98,-2.1,1438.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2132.63,1709.94
2012-09-18,1902.54,1889.89,1904.45,1883.92,-22.17,-1.16,1000.85,0.0,0.0,0.0,0.0,0.0,0.0,2,2134.64,1711.56
2012-09-19,1890.68,1900.24,1903.12,1885.45,10.35,0.55,1150.06,0.0,0.0,0.0,0.0,0.0,0.0,2,2139.4,1715.38
2012-09-20,1891.55,1864.56,1891.55,1862.0,-35.67,-1.88,1388.08,0.0,0.0,0.0,0.0,0.0,0.0,2,2138.15,1714.37
