time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,981.3,979.39,985.79,977.87,-5.15,-0.52,792.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,978.4,983.68,988.66,976.33,4.29,0.44,1169.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,982.69,972.87,984.21,970.12,-10.8,-1.1,974.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,970.86,969.0,973.47,964.21,-3.87,-0.4,941.13,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,971.11,976.38,976.93,969.89,7.38,0.76,928.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,982.32,1016.99,1025.73,982.32,40.61,4.16,2969.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1016.25,1016.16,1020.53,1011.82,-0.82,-0.08,1522.81,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1013.51,1008.83,1013.51,1001.14,-7.33,-0.72,1176.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1013.75,1009.52,1018.33,1001.7,0.69,0.07,1265.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1007.4,1006.0,1014.63,1005.37,-3.52,-0.35,1203.3,0.0,0.0,0.0,0.0,0.0,0.0,2,1103.21,884.55
2012-09-14,1013.14,1013.25,1020.42,1006.74,7.25,0.72,1566.06,0.0,0.0,0.0,0.0,0.0,0.0,2,1106.97,887.57
2012-09-17,1011.85,992.08,1012.2,991.22,-21.17,-2.09,1256.37,0.0,0.0,0.0,0.0,0.0,0.0,2,1107.9,888.32
2012-09-18,988.79,980.82,989.01,978.64,-11.25,-1.13,862.43,0.0,0.0,0.0,0.0,0.0,0.0,2,1108.78,889.02
2012-09-19,981.23,982.52,985.59,977.17,1.7,0.17,914.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1110.28,890.23
2012-09-20,979.39,967.07,979.58,965.82,-15.45,-1.57,1229.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1109.25,889.4
2012-09-21,964.7,970.15,976.05,963.68,3.08,0.32,1126.67,0.0,0.0,0.0,0.0,0.0,0.0,2,1104.05,885.23
2012-09-24,965.07,972.93,976.9,960.04,2.77,0.29,1014.5,0.0,0.0,0.0,22.38,34.6,-2.05,2,1099.25,881.38
2012-09-25,970.51,971.86,975.55,968.31,-1.06,-0.11,748.31,0.0,0.0,0.0,21.45,30.21,3.91,1,1095.15,878.09
2012-09-26,971.4,963.69,973.87,962.01,-8.18,-0.84,722.97,0.0,0.0,0.0,16.31,25.58,-2.22,1,1090.06,874.01
2012-09-27,964.04,992.78,999.77,963.71,29.09,3.02,1515.84,1022.67,987.3,951.93,31.8,27.65,40.09,2,1088.59,872.84
2012-09-28,984.76,1007.72,1010.33,984.43,14.95,1.51,1654.68,1024.97,988.71,952.46,52.8,36.04,86.33,2,1087.98,872.34
2012-10-08,1007.11,999.37,1014.44,993.43,-8.35,-0.83,926.31,1025.96,989.5,953.04,59.3,43.79,90.32,2,1088.79,872.99
2012-10-09,1004.78,1018.55,1023.56,1004.01,19.18,1.92,1446.82,1029.49,991.78,954.08,70.24,52.61,105.5,2,1092.98,876.35
2012-10-10,1016.28,1016.99,1018.63,1010.64,-1.56,-0.15,900.26,1031.89,994.18,956.47,76.71,60.64,108.85,2,1096.8,879.42
2012-10-11,1014.72,1011.56,1017.6,1008.58,-5.43,-0.53,1105.03,1033.45,995.94,958.44,78.18,66.49,101.56,2,1101.74,883.38
2012-10-12,1015.36,1013.81,1024.4,1007.15,2.25,0.22,1033.42,1032.96,995.78,958.61,79.79,70.92,97.54,2,1106.59,887.26
2012-10-15,1014.49,1011.06,1015.75,1004.97,-2.75,-0.27,714.63,1032.21,995.53,958.85,79.4,73.75,90.71,2,1110.82,890.66
2012-10-16,1010.27,1009.07,1015.67,1005.89,-1.99,-0.2,736.71,1032.24,995.54,958.84,77.85,75.12,83.31,2,1114.95,893.97
2012-10-17,1012.77,1010.92,1015.74,1002.85,1.85,0.18,910.06,1032.42,995.61,958.8,73.99,74.74,72.49,2,1120.19,898.17
2012-10-18,1013.64,1024.06,1026.58,1012.35,13.14,1.3,1256.27,1035.14,996.51,957.89,80.13,76.54,87.31,2,1123.67,900.96
2012-10-19,1022.84,1022.99,1026.09,1021.56,-1.07,-0.1,900.26,1036.69,997.0,957.31,81.71,78.26,88.6,2,1125.36,902.32
2012-10-22,1018.27,1025.68,1029.03,1016.47,2.69,0.26,852.73,1040.19,998.68,957.17,83.54,80.02,90.58,2,1128.28,904.66
2012-10-23,1025.6,1016.13,1028.74,1014.98,-9.55,-0.93,866.97,1041.77,1000.45,959.12,72.6,77.55,62.71,2,1128.01,904.44
2012-10-24,1012.55,1017.71,1021.61,1011.79,1.58,0.16,848.31,1043.33,1002.2,961.08,67.32,74.14,53.69,2,1128.09,904.51
2012-10-25,1016.79,1013.53,1025.23,1012.85,-4.18,-0.41,1301.9,1042.58,1004.53,966.47,58.48,68.92,37.6,2,1128.31,904.68
2012-10-26,1013.04,996.85,1014.1,992.41,-16.68,-1.65,1126.56,1040.74,1005.86,970.99,43.03,60.29,8.51,2,1126.43,903.17
2012-10-29,994.72,988.57,995.8,985.32,-8.28,-0.83,748.37,1039.16,1006.64,974.13,31.16,50.58,-7.67,2,1123.93,901.17
2012-10-30,988.85,991.04,996.84,984.91,2.47,0.25,990.6,1036.93,1007.6,978.28,25.41,42.19,-8.16,2,1121.93,899.57
2012-10-31,991.02,993.92,995.26,988.56,2.88,0.29,1057.34,1031.53,1009.12,986.7,23.75,36.04,-0.85,2,1120.04,898.05
2012-11-01,994.91,1012.45,1016.48,994.9,18.53,1.86,1455.4,1031.25,1010.1,988.94,36.64,36.24,37.43,2,1118.75,897.02
2012-11-02,1012.81,1020.21,1021.46,1008.62,7.76,0.77,1177.11,1032.29,1010.72,989.15,51.27,41.25,71.31,2,1118.45,896.77
2012-11-05,1018.97,1019.93,1025.07,1014.17,-0.28,-0.03,1290.73,1033.02,1011.75,990.49,63.13,48.54,92.31,2,1117.81,896.26
2012-11-06,1019.93,1015.95,1021.36,1002.33,-3.98,-0.39,1051.2,1032.75,1011.62,990.49,67.75,54.95,93.36,2,1117.79,896.24
2012-11-07,1013.66,1011.24,1016.71,1006.21,-4.71,-0.46,996.47,1032.32,1011.33,990.35,67.02,58.97,83.12,2,1117.07,895.67
2012-11-08,1004.77,995.73,1005.71,994.88,-15.51,-1.53,1034.46,1032.6,1010.54,988.48,53.66,57.2,46.58,2,1115.09,894.08
2012-11-09,994.04,994.77,998.29,991.48,-0.96,-0.1,1163.34,1032.62,1009.59,986.56,43.96,52.79,26.3,2,1114.86,893.9
2012-11-12,995.27,1001.31,1001.61,993.15,6.54,0.66,1208.38,1032.4,1009.1,985.8,40.95,48.84,25.16,2,1116.28,895.03
2012-11-13,1000.81,986.72,1000.81,983.6,-14.58,-1.46,1052.1,1033.25,1007.99,982.72,29.81,42.49,4.43,2,1115.8,894.65
2012-11-14,986.52,989.07,990.55,982.69,2.35,0.24,877.77,1033.41,1006.89,980.38,24.89,36.63,1.41,2,1115.26,894.22
2012-11-15,984.17,976.59,986.7,976.21,-12.49,-1.26,960.67,1032.9,1004.52,976.14,16.85,30.03,-9.51,2,1111.28,891.03
2012-11-16,975.01,970.09,976.26,963.15,-6.5,-0.67,999.25,1032.63,1001.87,971.11,15.21,25.09,-4.56,2,1105.72,886.56
2012-11-19,969.15,970.72,971.86,961.76,0.63,0.06,834.51,1030.7,999.13,967.55,15.57,21.92,2.88,1,1100.25,882.18
2012-11-20,973.32,964.96,974.41,962.99,-5.76,-0.59,677.5,1030.42,996.57,962.71,12.81,18.88,0.66,1,1094.59,877.65
2012-11-21,965.09,977.2,977.95,960.81,12.24,1.27,818.71,1027.94,994.54,961.14,21.93,19.9,25.99,2,1090.81,874.62
2012-11-22,973.39,972.72,975.38,968.87,-4.48,-0.46,621.65,1026.0,992.5,959.01,24.35,21.38,30.29,2,1088.26,872.57
2012-11-23,976.04,979.45,982.53,972.78,6.73,0.69,898.56,1025.53,991.63,957.73,31.77,24.84,45.61,2,1086.56,871.21
2012-11-26,976.99,976.52,980.38,973.25,-2.93,-0.3,702.28,1025.55,991.03,956.51,38.79,29.49,57.38,2,1083.81,869.0
2012-11-27,974.51,970.44,977.31,969.6,-6.07,-0.62,1014.08,1025.67,990.0,954.33,38.26,32.41,49.94,2,1082.0,867.55
2012-11-28,967.53,964.47,968.71,962.31,-5.97,-0.62,967.17,1025.82,988.53,951.23,31.12,31.98,29.4,2,1079.27,865.36
2012-11-29,964.38,959.35,967.99,958.1,-5.12,-0.53,967.67,1023.53,985.87,948.21,22.45,28.81,9.75,2,1077.36,863.83
2012-11-30,959.15,968.98,971.57,958.16,9.63,1.0,1212.94,1018.14,983.31,948.48,29.81,29.14,31.16,2,1077.23,863.73
2012-12-03,967.78,968.05,976.59,967.23,-0.92,-0.1,1395.66,1011.78,980.72,949.66,33.45,30.58,39.2,2,1076.94,863.49
2012-12-04,967.46,975.51,977.39,966.52,7.46,0.77,1184.25,1005.26,978.69,952.13,46.06,35.74,66.69,2,1078.11,864.43
2012-12-05,974.81,1004.15,1009.24,973.34,28.64,2.94,2761.47,1003.3,978.34,953.38,60.72,44.07,94.03,2,1081.1,866.83
2012-12-06,1003.5,1003.26,1007.88,998.73,-0.9,-0.09,1539.32,1004.91,978.72,952.53,69.92,52.68,104.38,2,1084.49,869.55
2012-12-07,1003.22,1018.97,1021.21,1001.19,15.72,1.57,2454.36,1010.79,979.93,949.06,78.76,61.37,113.53,2,1088.88,873.06
2012-12-10,1023.15,1030.62,1033.64,1022.58,11.65,1.14,2403.06,1018.36,981.39,944.43,84.51,69.09,115.35,2,1094.88,877.88
2012-12-11,1027.34,1023.34,1029.74,1021.85,-7.28,-0.71,1528.05,1024.45,983.22,942.0,85.13,74.43,106.51,2,1100.75,882.59
2012-12-12,1023.12,1027.41,1031.01,1020.85,4.08,0.4,1394.68,1030.62,985.14,939.66,87.33,78.73,104.53,2,1107.74,888.19
2012-12-13,1024.84,1018.53,1025.45,1017.48,-8.89,-0.86,1154.58,1034.77,987.24,939.71,84.05,80.51,91.14,2,1114.31,893.45
