time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2046.29,2047.52,2059.3,2044.65,-5.06,-0.25,4614.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2044.83,2059.15,2066.78,2041.16,11.63,0.57,6063.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2060.61,2043.65,2063.82,2039.27,-15.5,-0.75,5746.22,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2038.87,2037.68,2048.32,2029.05,-5.97,-0.29,5764.98,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2040.67,2051.92,2052.95,2036.37,14.24,0.7,5609.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2062.99,2127.76,2145.0,2062.99,75.84,3.7,13993.26,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2128.07,2134.89,2140.17,2120.49,7.13,0.34,10358.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2127.52,2120.55,2127.52,2107.22,-14.34,-0.67,8042.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2129.69,2126.55,2137.89,2109.14,6.0,0.28,8411.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2123.84,2110.38,2130.08,2110.0,-16.18,-0.76,7904.5,0.0,0.0,0.0,0.0,0.0,0.0,2,2315.47,1856.54
2012-09-14,2127.39,2123.85,2136.23,2111.12,13.47,0.64,9124.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2323.94,1863.34
2012-09-17,2120.62,2078.5,2121.58,2077.48,-45.35,-2.14,7639.22,0.0,0.0,0.0,0.0,0.0,0.0,2,2326.09,1865.06
2012-09-18,2069.34,2059.54,2074.76,2053.66,-18.96,-0.91,5379.49,0.0,0.0,0.0,0.0,0.0,0.0,2,2327.85,1866.47
2012-09-19,2061.06,2067.83,2069.95,2055.2,8.29,0.4,5224.36,0.0,0.0,0.0,0.0,0.0,0.0,2,2331.2,1869.16
2012-09-20,2060.31,2024.84,2060.31,2023.09,-42.99,-2.08,6748.27,0.0,0.0,0.0,0.0,0.0,0.0,2,2328.19,1866.75
2012-09-21,2020.55,2026.69,2041.95,2018.26,1.85,0.09,6028.95,0.0,0.0,0.0,0.0,0.0,0.0,2,2316.97,1857.75
2012-09-24,2015.77,2033.19,2040.85,2005.26,6.5,0.32,5763.78,0.0,0.0,0.0,22.19,36.14,-5.72,2,2305.68,1848.7
2012-09-25,2028.63,2029.29,2039.1,2021.81,-3.9,-0.19,4821.94,0.0,0.0,0.0,20.91,31.06,0.6,1,2295.55,1840.58
2012-09-26,2027.86,2004.17,2033.04,1999.48,-25.12,-1.24,5040.08,0.0,0.0,0.0,15.08,25.74,-6.23,1,2281.97,1829.69
2012-09-27,2003.1,2056.32,2068.07,2002.32,52.15,2.6,7669.15,2148.33,2068.21,1988.1,25.57,25.68,25.35,2,2275.97,1824.88
2012-09-28,2042.89,2086.17,2089.63,2040.35,29.85,1.45,7944.9,2150.03,2070.15,1990.26,49.1,33.49,80.33,2,2271.79,1821.52
2012-10-08,2084.85,2074.42,2096.26,2063.09,-11.75,-0.56,5513.16,2150.65,2070.91,1991.17,58.55,41.84,91.96,2,2271.33,1821.16
2012-10-09,2081.59,2115.23,2119.34,2081.59,40.81,1.97,8456.38,2155.43,2074.49,1993.54,71.22,51.63,110.39,2,2277.51,1826.12
2012-10-10,2111.59,2119.94,2121.99,2102.54,4.71,0.22,7891.2,2160.01,2078.6,1997.2,80.26,61.18,118.42,2,2283.3,1830.75
2012-10-11,2114.23,2102.87,2117.84,2101.14,-17.07,-0.81,7449.7,2162.24,2081.15,2000.06,81.64,68.0,108.92,2,2291.96,1837.7
2012-10-12,2109.07,2104.93,2127.31,2092.51,2.06,0.1,6826.3,2159.06,2080.01,2000.95,81.92,72.64,100.49,2,2300.64,1844.66
2012-10-15,2105.02,2098.7,2107.2,2085.12,-6.23,-0.3,5394.08,2153.72,2078.2,2002.67,80.49,75.25,90.95,2,2307.92,1850.49
2012-10-16,2097.05,2098.81,2111.78,2089.7,0.11,0.01,5781.84,2150.77,2077.11,2003.45,79.39,76.63,84.91,2,2315.63,1856.68
2012-10-17,2104.28,2105.62,2113.16,2088.04,6.81,0.32,5987.41,2147.44,2076.06,2004.69,77.95,77.07,79.7,2,2326.89,1865.71
2012-10-18,2108.5,2131.69,2137.69,2107.49,26.07,1.24,8719.11,2151.11,2077.13,2003.15,82.62,78.92,90.01,2,2335.26,1872.42
2012-10-19,2129.82,2128.3,2136.87,2125.74,-3.39,-0.16,6764.13,2151.92,2077.35,2002.78,82.83,80.22,88.05,2,2339.94,1876.17
2012-10-22,2118.52,2132.76,2138.03,2112.75,4.46,0.21,6011.72,2158.45,2080.07,2001.68,85.23,81.89,91.92,2,2346.41,1881.36
2012-10-23,2132.11,2114.45,2136.22,2111.92,-18.31,-0.86,7268.38,2161.97,2082.81,2003.65,75.3,79.7,66.51,2,2346.33,1881.29
2012-10-24,2106.83,2115.99,2124.0,2104.67,1.54,0.07,7288.66,2165.34,2085.22,2005.1,69.65,76.35,56.25,2,2345.89,1880.94
2012-10-25,2114.76,2101.58,2128.74,2100.61,-14.41,-0.68,8539.31,2164.45,2089.06,2013.66,56.8,69.83,30.74,2,2345.74,1880.82
2012-10-26,2100.1,2066.21,2102.16,2058.06,-35.37,-1.68,7860.64,2161.71,2091.03,2020.36,41.27,60.31,3.18,2,2341.45,1877.38
2012-10-29,2061.85,2058.94,2068.24,2053.09,-7.27,-0.35,5363.5,2159.59,2092.32,2025.05,29.81,50.14,-10.87,2,2337.03,1873.84
2012-10-30,2059.2,2062.35,2075.91,2054.26,3.4,0.17,6056.91,2156.42,2093.97,2031.53,23.5,41.26,-12.01,2,2332.99,1870.59
2012-10-31,2061.12,2068.88,2070.48,2053.58,6.53,0.32,5952.72,2145.9,2097.21,2048.52,21.87,34.8,-4.0,2,2328.91,1867.32
2012-11-01,2070.02,2104.43,2109.5,2069.95,35.55,1.72,8288.67,2144.6,2099.61,2054.63,34.73,34.77,34.63,2,2325.88,1864.9
2012-11-02,2105.45,2117.05,2119.22,2096.53,12.62,0.6,7655.72,2146.31,2101.16,2056.01,48.8,39.45,67.49,2,2324.63,1863.89
2012-11-05,2113.33,2114.03,2123.33,2104.58,-3.02,-0.14,7153.88,2146.88,2103.14,2059.4,59.38,46.09,85.96,2,2322.55,1862.23
2012-11-06,2113.66,2106.0,2114.79,2078.47,-8.03,-0.38,7134.39,2146.09,2102.68,2059.26,62.9,51.7,85.31,2,2321.62,1861.48
2012-11-07,2102.42,2105.73,2112.63,2093.29,-0.27,-0.01,5938.01,2144.69,2101.97,2059.25,66.92,56.77,87.21,2,2320.48,1860.56
2012-11-08,2091.25,2071.51,2092.57,2070.65,-34.22,-1.63,6659.46,2145.12,2100.4,2055.67,53.35,55.63,48.8,2,2317.14,1857.89
2012-11-09,2066.5,2069.07,2077.23,2062.42,-2.44,-0.12,5422.35,2145.29,2098.6,2051.92,42.97,51.41,26.09,2,2317.46,1858.14
2012-11-12,2069.21,2079.27,2079.57,2061.84,10.21,0.49,5669.49,2145.08,2097.63,2050.19,40.92,47.91,26.94,2,2319.71,1859.95
2012-11-13,2078.13,2047.89,2078.13,2044.04,-31.39,-1.51,6108.73,2147.24,2095.09,2042.94,28.9,41.58,3.55,2,2318.11,1858.66
2012-11-14,2047.26,2055.42,2056.49,2040.17,7.53,0.37,4809.3,2147.23,2092.58,2037.93,25.38,36.18,3.78,2,2316.61,1857.47
2012-11-15,2045.46,2030.29,2053.56,2029.87,-25.13,-1.22,5055.69,2145.42,2087.51,2029.59,17.07,29.81,-8.41,2,2308.38,1850.87
2012-11-16,2026.56,2014.73,2028.69,2001.72,-15.57,-0.77,4958.17,2144.69,2081.83,2018.97,15.22,24.94,-4.24,2,2297.03,1841.76
2012-11-19,2013.25,2016.98,2018.38,1995.72,2.26,0.11,4532.7,2140.38,2076.04,2011.7,16.21,22.03,4.55,2,2286.25,1833.12
2012-11-20,2020.43,2008.92,2023.61,2004.17,-8.06,-0.4,4258.06,2138.84,2070.76,2002.69,15.35,19.8,6.43,1,2275.48,1824.48
2012-11-21,2008.21,2030.32,2031.15,1995.17,21.4,1.07,5328.2,2133.41,2066.48,1999.55,24.11,21.24,29.86,2,2267.11,1817.77
2012-11-22,2021.21,2015.61,2023.09,2009.72,-14.71,-0.72,4557.78,2130.56,2062.18,1993.8,24.15,22.21,28.03,2,2260.9,1812.8
2012-11-23,2020.02,2027.38,2034.88,2017.0,11.77,0.58,5155.15,2130.24,2060.24,1990.24,29.04,24.49,38.15,2,2256.28,1809.09
2012-11-26,2023.34,2017.46,2027.27,2014.03,-9.92,-0.49,4477.96,2130.61,2058.17,1985.72,31.48,26.82,40.8,2,2249.42,1803.59
2012-11-27,2012.08,1991.17,2014.21,1990.34,-26.3,-1.3,5662.74,2132.66,2054.61,1976.55,21.42,25.02,14.23,2,2243.12,1798.54
2012-11-28,1984.48,1973.52,1984.86,1968.21,-17.64,-0.89,5050.56,2135.14,2049.84,1964.54,16.94,22.32,6.16,2,2234.03,1791.25
2012-11-29,1972.93,1963.49,1980.56,1961.82,-10.04,-0.51,4954.01,2132.08,2042.79,1953.51,12.05,18.9,-1.64,2,2226.61,1785.3
2012-11-30,1961.82,1980.12,1983.42,1959.33,16.63,0.85,5689.34,2122.36,2035.95,1949.53,17.21,18.34,14.95,2,2222.77,1782.22
2012-12-03,1977.25,1959.77,1988.19,1957.88,-20.35,-1.03,6165.34,2112.91,2028.23,1943.55,12.29,16.32,4.23,2,2216.42,1777.13
2012-12-04,1956.62,1975.14,1980.12,1949.46,15.38,0.78,6237.81,2101.4,2021.69,1941.98,18.21,16.95,20.74,2,2212.67,1774.12
