time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3610.97,3612.68,3636.6,3597.5,-6.02,-0.17,418.57,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,3602.41,3657.43,3667.82,3592.82,44.74,1.24,489.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,3656.45,3619.52,3665.78,3612.72,-37.91,-1.04,548.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,3608.28,3641.53,3652.08,3601.59,22.02,0.61,484.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,3656.62,3678.91,3680.71,3646.61,37.38,1.03,502.43,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,3708.63,3838.68,3877.63,3708.63,159.77,4.34,1369.37,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,3842.36,3879.04,3897.91,3835.48,40.36,1.05,948.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,3878.66,3883.8,3885.64,3845.98,4.77,0.12,754.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,3903.95,3915.43,3918.48,3858.44,31.62,0.81,707.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,3910.21,3886.35,3948.95,3885.05,-29.08,-0.74,805.49,0.0,0.0,0.0,0.0,0.0,0.0,2,4175.08,3347.59
2012-09-14,3918.88,3891.24,3932.12,3861.68,4.88,0.13,795.34,0.0,0.0,0.0,0.0,0.0,0.0,2,4206.0,3372.38
2012-09-17,3887.46,3780.23,3898.17,3779.01,-111.0,-2.85,660.96,0.0,0.0,0.0,0.0,0.0,0.0,2,4219.64,3383.31
2012-09-18,3769.87,3747.18,3783.73,3734.25,-33.06,-0.87,455.44,0.0,0.0,0.0,0.0,0.0,0.0,2,4233.81,3394.67
2012-09-19,3755.53,3781.84,3785.53,3748.62,34.66,0.93,400.35,0.0,0.0,0.0,0.0,0.0,0.0,2,4249.38,3407.16
2012-09-20,3768.16,3663.76,3768.31,3662.42,-118.08,-3.12,560.12,0.0,0.0,0.0,0.0,0.0,0.0,2,4247.7,3405.81
2012-09-21,3656.41,3631.76,3672.69,3619.57,-32.01,-0.87,465.05,0.0,0.0,0.0,0.0,0.0,0.0,2,4224.73,3387.4
2012-09-24,3615.21,3654.7,3673.49,3590.28,22.94,0.63,410.05,0.0,0.0,0.0,23.7,42.99,-14.88,2,4199.83,3367.43
2012-09-25,3643.5,3630.36,3665.92,3620.28,-24.34,-0.67,303.36,0.0,0.0,0.0,19.52,35.17,-11.76,2,4171.7,3344.87
2012-09-26,3634.46,3572.68,3647.29,3563.98,-57.68,-1.59,348.05,0.0,0.0,0.0,13.8,28.04,-14.68,2,4133.65,3314.37
2012-09-27,3574.64,3657.29,3677.52,3568.38,84.61,2.37,568.8,3954.53,3731.22,3507.91,18.51,24.87,5.79,2,4108.23,3293.98
2012-09-28,3640.27,3732.26,3736.4,3635.66,74.97,2.05,734.28,3953.79,3737.2,3520.61,37.66,29.13,54.71,2,4090.58,3279.83
2012-10-08,3737.59,3719.75,3761.54,3699.3,-12.51,-0.34,546.05,3954.0,3740.32,3526.63,48.54,35.6,74.42,2,4083.87,3274.45
2012-10-09,3728.61,3798.84,3799.67,3728.61,79.09,2.13,662.4,3956.9,3749.28,3541.66,65.58,45.59,105.55,2,4089.6,3279.05
2012-10-10,3791.23,3817.8,3819.3,3775.31,18.97,0.5,497.99,3961.6,3758.1,3554.59,76.86,56.01,118.54,2,4093.59,3282.25
2012-10-11,3803.58,3762.11,3807.87,3761.65,-55.7,-1.46,605.95,3962.49,3762.25,3562.02,77.1,63.04,105.22,2,4104.51,3291.0
2012-10-12,3774.0,3752.8,3807.25,3723.02,-9.31,-0.25,428.64,3955.11,3757.96,3560.81,76.05,67.38,93.4,2,4117.94,3301.77
2012-10-15,3752.21,3720.02,3753.76,3687.5,-32.78,-0.87,383.05,3939.67,3750.01,3560.35,71.07,68.61,76.0,2,4125.19,3307.59
2012-10-16,3725.08,3730.73,3764.1,3718.24,10.71,0.29,443.86,3921.89,3742.36,3562.82,68.95,68.72,69.4,2,4136.34,3316.52
2012-10-17,3743.75,3732.36,3751.04,3696.61,1.63,0.04,404.67,3894.22,3733.2,3572.19,63.52,66.99,56.58,2,4154.06,3330.73
2012-10-18,3741.88,3789.1,3792.6,3741.65,56.74,1.52,535.86,3875.87,3728.34,3580.81,68.04,67.34,69.44,2,4168.69,3342.46
