time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,3995.23,4035.06,4051.18,3988.93,30.43,0.76,97.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,4026.73,4113.57,4122.71,4023.25,78.51,1.95,150.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,4162.92,4115.78,4185.91,4102.04,2.21,0.05,140.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,4103.19,4131.2,4140.64,4088.2,15.43,0.37,108.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,4136.03,4142.41,4154.8,4115.48,11.2,0.27,126.16,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,4173.94,4273.56,4319.08,4164.13,131.15,3.17,286.19,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,4276.41,4275.41,4303.29,4250.83,1.86,0.04,222.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,4256.21,4255.31,4256.96,4225.64,-20.11,-0.47,173.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,4274.2,4275.39,4299.88,4239.1,20.08,0.47,173.48,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,4271.49,4229.3,4284.48,4227.52,-46.09,-1.08,141.6,0.0,0.0,0.0,0.0,0.0,0.0,2,4645.02,3724.38
2012-09-14,4252.2,4238.58,4263.97,4210.56,9.28,0.22,146.82,0.0,0.0,0.0,0.0,0.0,0.0,2,4667.61,3742.5
2012-09-17,4241.21,4151.47,4245.47,4148.77,-87.11,-2.06,142.38,0.0,0.0,0.0,0.0,0.0,0.0,2,4671.81,3745.87
2012-09-18,4140.89,4136.34,4169.48,4120.86,-15.13,-0.36,101.89,0.0,0.0,0.0,0.0,0.0,0.0,2,4674.1,3747.7
2012-09-19,4137.84,4110.69,4143.82,4080.53,-25.66,-0.62,118.57,0.0,0.0,0.0,0.0,0.0,0.0,2,4671.82,3745.87
2012-09-20,4090.87,4027.01,4090.87,4015.0,-83.68,-2.04,145.85,0.0,0.0,0.0,0.0,0.0,0.0,2,4659.01,3735.6
2012-09-21,4012.44,4009.73,4040.27,3999.82,-17.28,-0.43,135.12,0.0,0.0,0.0,0.0,0.0,0.0,2,4629.72,3712.12
2012-09-24,3980.71,4040.88,4050.64,3956.82,31.16,0.78,139.69,0.0,0.0,0.0,21.01,31.62,-0.23,2,4603.69,3691.25
2012-09-25,4029.97,4054.64,4073.81,4023.85,13.76,0.34,97.44,0.0,0.0,0.0,23.96,29.07,13.73,1,4581.42,3673.39
2012-09-26,4055.72,3989.71,4074.11,3976.57,-64.93,-1.6,111.79,0.0,0.0,0.0,19.54,25.89,6.84,1,4549.71,3647.96
2012-09-27,3985.37,4076.05,4100.71,3980.95,86.34,2.16,158.5,4319.42,4134.1,3948.79,26.8,26.19,28.0,2,4532.7,3634.32
