time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,2092.11,2090.13,2111.03,2084.36,-7.83,-0.37,137.94,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,2088.93,2107.83,2117.64,2083.75,17.7,0.85,187.86,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,2106.7,2091.49,2115.62,2088.63,-16.34,-0.78,209.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,2082.6,2067.68,2085.59,2054.66,-23.81,-1.14,183.21,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,2076.3,2089.18,2091.02,2070.58,21.5,1.04,201.77,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,2106.45,2208.93,2232.47,2106.45,119.75,5.73,617.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,2211.84,2226.68,2232.91,2194.49,17.74,0.8,501.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,2213.56,2201.89,2213.56,2185.17,-24.79,-1.11,302.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,2217.63,2228.33,2237.61,2205.32,26.44,1.2,336.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,2228.35,2198.2,2230.69,2197.68,-30.13,-1.35,235.83,0.0,0.0,0.0,0.0,0.0,0.0,2,2387.65,1914.42
2012-09-14,2241.37,2227.65,2256.92,2210.64,29.45,1.34,373.09,0.0,0.0,0.0,0.0,0.0,0.0,2,2402.91,1926.66
2012-09-17,2222.87,2164.24,2222.87,2163.29,-63.41,-2.85,231.57,0.0,0.0,0.0,0.0,0.0,0.0,2,2409.17,1931.68
2012-09-18,2148.83,2125.61,2149.76,2120.12,-38.63,-1.79,199.69,0.0,0.0,0.0,0.0,0.0,0.0,2,2412.96,1934.72
2012-09-19,2125.72,2141.39,2143.12,2115.61,15.78,0.74,163.87,0.0,0.0,0.0,0.0,0.0,0.0,2,2421.14,1941.28
2012-09-20,2128.69,2073.34,2128.69,2071.75,-68.05,-3.18,205.74,0.0,0.0,0.0,0.0,0.0,0.0,2,2419.38,1939.87
2012-09-21,2070.6,2095.59,2125.96,2070.6,22.25,1.07,231.88,0.0,0.0,0.0,0.0,0.0,0.0,2,2406.8,1929.78
2012-09-24,2079.73,2122.03,2138.49,2062.42,26.45,1.26,249.6,0.0,0.0,0.0,29.15,43.08,1.3,2,2395.19,1920.47
2012-09-25,2110.15,2119.24,2132.43,2101.47,-2.79,-0.13,187.62,0.0,0.0,0.0,29.17,38.45,10.63,2,2386.01,1913.11
2012-09-26,2116.8,2097.85,2132.82,2092.88,-21.39,-1.01,215.13,0.0,0.0,0.0,25.52,34.14,8.29,2,2371.53,1901.5
2012-09-27,2095.23,2180.74,2203.04,2094.9,82.9,3.95,406.47,2252.34,2142.9,2033.46,41.59,36.62,51.54,2,2369.59,1899.94
2012-09-28,2159.48,2214.59,2216.92,2157.59,33.85,1.55,368.4,2260.0,2149.12,2038.25,60.56,44.6,92.48,2,2368.14,1898.78
2012-10-08,2209.04,2180.88,2219.09,2168.38,-33.71,-1.52,218.93,2262.78,2152.78,2042.77,65.58,51.59,93.54,2,2369.99,1900.26
2012-10-09,2193.54,2227.58,2243.26,2193.54,46.7,2.14,356.32,2270.41,2159.58,2048.75,74.16,59.12,104.25,2,2381.31,1909.34
2012-10-10,2227.6,2236.22,2241.35,2217.31,8.64,0.39,287.88,2275.18,2168.01,2060.84,81.48,66.57,111.29,2,2391.83,1917.78
2012-10-11,2228.56,2202.42,2228.56,2200.85,-33.8,-1.51,239.6,2275.41,2173.67,2071.93,80.12,71.09,98.19,2,2406.16,1929.27
2012-10-12,2213.67,2213.59,2235.08,2187.92,11.17,0.51,255.74,2275.99,2173.9,2071.82,80.17,74.12,92.28,2,2419.26,1939.77
2012-10-15,2208.98,2195.1,2210.01,2178.17,-18.49,-0.84,181.34,2272.04,2172.32,2072.61,76.11,74.78,78.76,2,2427.37,1946.27
2012-10-16,2196.09,2194.38,2217.21,2186.54,-0.72,-0.03,202.99,2271.28,2171.95,2072.62,73.09,74.22,70.83,2,2435.71,1952.96
2012-10-17,2206.62,2204.17,2221.77,2179.3,9.79,0.45,240.11,2267.86,2170.74,2073.62,66.85,71.76,57.03,2,2447.51,1962.42
2012-10-18,2207.53,2243.73,2249.11,2207.53,39.57,1.8,329.09,2274.63,2173.02,2071.4,75.68,73.07,80.9,2,2454.51,1968.03
2012-10-19,2241.88,2238.05,2253.37,2232.63,-5.69,-0.25,263.38,2276.36,2173.54,2070.71,76.99,74.38,82.23,2,2457.11,1970.11
2012-10-22,2223.98,2249.93,2251.7,2216.86,11.88,0.53,263.99,2285.76,2177.82,2069.89,83.14,77.3,94.82,2,2464.77,1976.26
2012-10-23,2244.78,2215.54,2248.66,2212.98,-34.38,-1.53,213.78,2288.66,2182.32,2075.98,71.99,75.53,64.92,2,2463.44,1975.19
2012-10-24,2202.55,2202.94,2216.85,2194.38,-12.6,-0.57,175.86,2290.37,2185.4,2080.42,58.97,70.01,36.9,2,2459.74,1972.23
2012-10-25,2200.23,2167.15,2217.19,2166.76,-35.79,-1.62,250.32,2282.22,2190.09,2097.96,39.47,59.83,-1.26,2,2455.83,1969.09
2012-10-26,2166.06,2132.99,2169.13,2127.31,-34.17,-1.58,214.53,2277.63,2191.96,2106.28,27.81,49.16,-14.88,2,2446.88,1961.91
2012-10-29,2129.17,2127.94,2141.33,2119.1,-5.05,-0.24,140.17,2276.99,2192.25,2107.51,20.74,39.68,-17.16,2,2439.43,1955.94
2012-10-30,2129.68,2133.43,2156.53,2127.5,5.49,0.26,178.64,2275.45,2192.96,2110.47,17.38,32.25,-12.35,2,2432.66,1950.51
2012-10-31,2130.27,2148.4,2148.82,2122.47,14.98,0.7,202.2,2268.75,2195.49,2122.22,18.86,27.79,1.01,2,2426.47,1945.55
2012-11-01,2147.75,2181.96,2188.22,2144.22,33.55,1.56,284.44,2268.77,2195.55,2122.33,28.38,27.98,29.16,2,2419.61,1940.05
2012-11-02,2184.35,2186.15,2193.15,2169.92,4.19,0.19,203.39,2266.91,2194.13,2121.34,36.17,30.71,47.08,2,2413.85,1935.43
2012-11-05,2186.66,2204.8,2222.72,2184.41,18.66,0.85,327.57,2267.99,2195.32,2122.66,51.68,37.7,79.64,2,2408.84,1931.42
2012-11-06,2203.62,2182.7,2206.19,2156.01,-22.1,-1.0,224.09,2264.38,2193.08,2121.78,54.91,43.44,77.86,2,2405.2,1928.49
2012-11-07,2183.88,2184.32,2200.84,2170.0,1.62,0.07,164.16,2259.04,2190.48,2121.93,57.59,48.16,76.46,2,2403.13,1926.84
2012-11-08,2161.59,2119.95,2161.59,2119.27,-64.37,-2.95,199.09,2261.18,2186.36,2111.54,38.67,44.99,26.01,2,2397.89,1922.63
2012-11-09,2115.34,2118.61,2126.08,2111.18,-1.33,-0.06,125.42,2260.84,2181.61,2102.38,28.0,39.33,5.34,2,2396.3,1921.36
2012-11-12,2123.43,2130.59,2137.56,2110.94,11.97,0.57,123.18,2260.36,2178.39,2096.41,24.53,34.39,4.79,2,2396.59,1921.59
