time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-08-31,1243.89,1249.32,1256.2,1239.63,0.04,0.0,84.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-03,1247.08,1257.04,1264.19,1241.82,7.72,0.62,90.93,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-04,1255.62,1237.69,1259.72,1235.72,-19.35,-1.54,75.41,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-05,1236.08,1255.69,1257.84,1231.15,18.0,1.45,79.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-06,1255.65,1269.09,1270.14,1253.62,13.41,1.07,72.62,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-07,1279.22,1306.84,1320.87,1274.68,37.75,2.97,233.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-10,1309.84,1316.05,1323.09,1304.58,9.21,0.7,148.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-11,1310.42,1308.23,1312.58,1301.32,-7.83,-0.59,130.06,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-12,1314.97,1315.92,1318.96,1295.96,7.7,0.59,119.18,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-09-13,1327.99,1318.66,1334.22,1317.47,2.74,0.21,127.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1424.63,1142.27
2012-09-14,1346.0,1329.16,1348.0,1315.47,10.51,0.8,137.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1433.5,1149.38
2012-09-17,1323.43,1285.54,1324.12,1284.68,-43.63,-3.28,105.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1436.66,1151.92
2012-09-18,1290.34,1280.24,1299.07,1275.73,-5.3,-0.41,115.43,0.0,0.0,0.0,0.0,0.0,0.0,2,1441.38,1155.7
2012-09-19,1287.12,1302.87,1309.68,1282.53,22.63,1.77,85.32,0.0,0.0,0.0,0.0,0.0,0.0,2,1446.62,1159.9
2012-09-20,1298.55,1258.61,1298.55,1254.89,-44.26,-3.4,107.31,0.0,0.0,0.0,0.0,0.0,0.0,2,1445.46,1158.97
2012-09-21,1253.92,1247.82,1263.91,1239.68,-10.79,-0.86,68.79,0.0,0.0,0.0,0.0,0.0,0.0,2,1438.9,1153.72
2012-09-24,1241.59,1257.43,1262.61,1229.34,9.61,0.77,75.11,0.0,0.0,0.0,27.21,44.13,-6.62,2,1432.4,1148.5
2012-09-25,1254.11,1243.47,1258.22,1237.09,-13.95,-1.11,52.16,0.0,0.0,0.0,22.11,36.79,-7.24,2,1425.21,1142.74
2012-09-26,1242.13,1229.2,1252.56,1225.06,-14.28,-1.15,71.31,0.0,0.0,0.0,15.86,29.81,-12.04,2,1415.58,1135.02
2012-09-27,1223.54,1254.93,1262.32,1220.16,25.73,2.09,159.46,1337.5,1276.19,1214.88,21.72,27.12,10.94,2,1408.51,1129.35
2012-09-28,1250.84,1275.88,1276.98,1247.71,20.95,1.67,159.76,1337.58,1277.52,1217.45,35.23,29.82,46.05,2,1402.59,1124.6
2012-10-08,1275.52,1256.12,1282.02,1250.18,-19.76,-1.55,92.99,1337.6,1277.47,1217.34,36.88,32.17,46.28,2,1399.33,1121.98
2012-10-09,1256.81,1282.33,1283.6,1256.81,26.22,2.09,100.65,1337.01,1279.7,1222.4,51.02,38.46,76.15,2,1399.56,1122.17
2012-10-10,1288.35,1293.13,1294.61,1277.64,10.8,0.84,98.96,1338.06,1281.58,1225.09,66.68,47.87,104.32,2,1398.48,1121.3
2012-10-11,1288.47,1265.74,1288.47,1264.78,-27.39,-2.12,65.79,1338.06,1281.41,1224.76,64.86,53.53,87.53,2,1399.27,1121.94
2012-10-12,1268.25,1263.88,1282.64,1254.93,-1.85,-0.15,67.88,1335.14,1279.26,1223.38,62.82,56.63,75.2,2,1401.05,1123.37
2012-10-15,1261.36,1252.47,1261.36,1239.97,-11.42,-0.9,49.19,1330.45,1276.08,1221.72,56.34,56.53,55.97,2,1400.5,1122.93
2012-10-16,1252.3,1251.67,1265.9,1246.93,-0.79,-0.06,77.43,1326.51,1273.25,1220.0,51.67,54.91,45.19,2,1401.41,1123.66
2012-10-17,1254.2,1244.64,1257.81,1233.92,-7.04,-0.56,65.59,1320.53,1269.69,1218.85,40.33,50.05,20.9,2,1403.13,1125.03
2012-10-18,1248.2,1268.54,1270.6,1246.74,23.9,1.92,87.5,1312.79,1267.18,1221.57,45.9,48.67,40.37,2,1404.64,1126.24
2012-10-19,1267.5,1269.48,1271.57,1261.1,0.94,0.07,57.55,1299.94,1264.2,1228.46,50.13,49.16,52.09,2,1403.93,1125.67
2012-10-22,1262.86,1268.37,1272.04,1256.06,-1.1,-0.09,71.46,1297.79,1263.34,1228.89,52.34,50.22,56.59,2,1405.29,1126.76
2012-10-23,1269.73,1252.79,1270.72,1251.15,-15.58,-1.23,72.18,1295.8,1261.97,1228.14,46.43,48.96,41.37,2,1402.01,1124.13
2012-10-24,1256.54,1261.13,1269.09,1254.43,8.34,0.67,71.41,1288.04,1259.88,1231.73,49.57,49.16,50.38,2,1398.46,1121.29
2012-10-25,1270.46,1264.75,1280.17,1262.74,3.61,0.29,148.16,1288.42,1260.19,1231.96,55.26,51.19,63.41,2,1398.35,1121.2
2012-10-26,1263.37,1231.06,1266.57,1225.02,-33.69,-2.66,186.62,1289.9,1259.35,1228.8,40.49,47.63,26.23,2,1394.7,1118.28
2012-10-29,1226.03,1236.14,1237.78,1225.36,5.09,0.41,119.13,1290.47,1258.29,1226.11,33.72,42.99,15.17,2,1392.89,1116.82
