time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1568.45,1581.59,1586.01,1560.49,27.81,1.79,1432.52,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1570.54,1577.19,1585.38,1570.54,-4.4,-0.28,1246.35,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1583.27,1570.01,1591.93,1568.78,-7.18,-0.46,1021.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1565.84,1554.74,1580.64,1548.94,-15.27,-0.97,1143.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1553.89,1514.56,1556.84,1510.02,-40.18,-2.58,1008.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1507.34,1515.65,1517.96,1497.35,1.09,0.07,897.67,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1522.5,1517.25,1528.46,1497.3,1.6,0.11,842.97,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1525.5,1517.79,1525.65,1513.29,0.54,0.04,649.85,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1508.81,1494.13,1510.78,1484.59,-23.66,-1.56,861.47,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1482.97,1431.1,1487.03,1427.68,-63.03,-4.22,977.27,0.0,0.0,0.0,0.0,0.0,0.0,2,1695.42,1359.39
2011-01-18,1425.23,1435.38,1437.36,1417.4,4.28,0.3,627.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1679.19,1346.37
2011-01-19,1437.27,1475.92,1476.33,1432.02,40.54,2.82,896.95,0.0,0.0,0.0,0.0,0.0,0.0,2,1667.94,1337.36
2011-01-20,1468.35,1422.24,1471.73,1421.98,-53.68,-3.64,901.71,0.0,0.0,0.0,0.0,0.0,0.0,2,1651.54,1324.21
2011-01-21,1420.18,1428.81,1449.37,1408.9,6.57,0.46,896.84,0.0,0.0,0.0,0.0,0.0,0.0,1,1637.56,1313.0
2011-01-24,1432.43,1402.62,1434.11,1398.01,-26.19,-1.83,787.48,0.0,0.0,0.0,0.0,0.0,0.0,1,1625.14,1303.04
2011-01-25,1398.8,1390.36,1403.7,1382.63,-12.26,-0.87,610.06,0.0,0.0,0.0,0.0,0.0,0.0,1,1611.23,1291.89
2011-01-26,1395.94,1411.75,1413.51,1394.86,21.39,1.54,557.11,0.0,0.0,0.0,13.34,11.6,16.81,1,1599.52,1282.5
2011-01-27,1392.78,1440.6,1444.48,1391.15,28.85,2.04,1015.46,0.0,0.0,0.0,27.4,16.87,48.47,2,1590.95,1275.63
2011-01-28,1440.04,1460.3,1464.87,1440.04,19.7,1.37,989.82,0.0,0.0,0.0,45.9,26.54,84.61,2,1587.2,1272.62
2011-01-31,1457.49,1479.2,1479.2,1454.76,18.9,1.29,890.48,1599.29,1481.06,1362.83,63.93,39.01,113.78,2,1592.54,1276.9
2011-02-01,1483.69,1476.68,1484.98,1472.39,-2.52,-0.17,739.41,1584.67,1475.81,1366.95,73.25,50.42,118.91,2,1597.12,1280.57
2011-02-09,1466.55,1462.58,1486.09,1455.73,-14.1,-0.95,933.6,1568.57,1470.08,1371.6,74.59,58.48,106.82,2,1595.64,1279.39
2011-02-10,1457.51,1506.41,1506.85,1454.97,43.83,3.0,1112.41,1555.93,1466.9,1377.88,82.94,66.63,115.56,2,1604.98,1286.88
2011-02-11,1503.57,1525.54,1534.65,1503.57,19.13,1.27,1344.22,1549.47,1465.44,1381.41,86.63,73.3,113.3,2,1615.72,1295.49
2011-02-14,1535.46,1572.93,1576.73,1535.46,47.39,3.11,1776.14,1562.46,1468.36,1374.26,90.41,79.0,113.21,2,1634.62,1310.65
2011-02-15,1580.09,1573.12,1592.37,1569.49,0.19,0.01,1525.94,1574.05,1471.24,1368.43,90.41,82.81,105.63,0,1654.91,1326.91
2011-02-16,1568.93,1601.01,1601.01,1565.91,27.89,1.77,1426.85,1591.37,1475.42,1359.47,93.61,86.41,108.01,0,1675.92,1343.75
2011-02-17,1607.29,1600.73,1611.78,1582.27,-0.28,-0.02,1604.95,1606.68,1479.57,1352.46,93.39,88.74,102.71,0,1693.69,1358.01
2011-02-18,1590.95,1581.12,1600.22,1577.97,-19.61,-1.23,1425.51,1618.46,1483.92,1349.38,89.08,88.85,89.54,0,1707.1,1368.76
2011-02-21,1572.25,1621.76,1621.76,1572.25,40.64,2.57,1517.09,1638.3,1493.45,1348.61,92.72,90.14,97.88,0,1722.93,1381.45
2011-02-22,1626.21,1574.53,1627.44,1572.48,-47.23,-2.91,1846.15,1646.79,1500.41,1354.03,84.92,88.4,77.96,2,1733.79,1390.16
2011-02-23,1571.43,1580.94,1586.35,1565.09,6.41,0.41,1197.62,1655.64,1505.66,1355.68,77.43,84.74,62.81,2,1746.93,1400.69
2011-02-24,1567.9,1586.11,1590.88,1566.82,5.17,0.33,1131.14,1662.61,1513.85,1365.1,69.98,79.82,50.29,2,1755.77,1407.78
2011-02-25,1585.81,1592.8,1600.21,1570.14,6.69,0.42,1213.15,1669.22,1522.05,1374.89,61.47,73.7,36.99,2,1763.24,1413.77
2011-02-28,1597.78,1620.07,1620.07,1579.74,27.27,1.71,1497.81,1675.24,1532.93,1390.61,70.37,72.59,65.93,2,1768.47,1417.96
2011-03-01,1619.82,1621.62,1629.89,1610.35,1.55,0.1,1683.05,1675.74,1544.49,1413.24,75.99,73.73,80.53,2,1773.86,1422.28
2011-03-02,1604.73,1614.45,1615.01,1585.38,-7.17,-0.44,1390.77,1674.09,1554.62,1435.16,76.05,74.5,79.16,2,1775.35,1423.48
2011-03-03,1616.56,1587.16,1622.73,1586.22,-27.29,-1.69,1397.14,1669.97,1561.95,1453.93,62.05,70.35,45.46,2,1773.84,1422.27
2011-03-04,1591.64,1607.87,1609.0,1581.33,20.71,1.3,1200.96,1668.35,1569.33,1470.31,63.38,68.03,54.07,2,1776.81,1424.65
2011-03-07,1619.79,1637.57,1639.24,1618.06,29.7,1.85,1924.79,1671.38,1577.25,1483.12,74.83,70.3,83.91,2,1778.57,1426.06
2011-03-08,1636.83,1644.95,1644.95,1629.78,7.38,0.45,1624.24,1672.1,1585.66,1499.22,83.22,74.6,100.46,2,1786.38,1432.33
2011-03-09,1651.04,1647.11,1651.73,1639.56,2.16,0.13,1453.84,1664.58,1594.89,1525.2,86.93,78.71,103.36,2,1793.73,1438.21
2011-03-10,1637.47,1630.06,1642.5,1627.98,-17.05,-1.04,1477.74,1659.25,1601.07,1542.89,81.25,79.56,84.64,2,1798.61,1442.13
2011-03-11,1623.73,1619.58,1642.76,1617.45,-10.48,-0.64,1374.72,1652.94,1605.77,1558.61,72.28,77.13,62.57,2,1801.58,1444.51
2011-03-14,1624.17,1639.73,1639.73,1611.99,20.15,1.24,1269.11,1655.96,1609.11,1562.27,75.84,76.7,74.11,2,1803.76,1446.26
