time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,2210.55,0.0,0.0,2210.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,2209.41,0.0,0.0,2209.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,2195.95,0.0,0.0,2195.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,2178.53,0.0,0.0,2178.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,2122.24,0.0,0.0,2122.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,2107.87,0.0,0.0,2107.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,2116.97,0.0,0.0,2116.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,2117.86,0.0,0.0,2117.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,2061.44,0.0,0.0,2061.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1965.23,0.0,0.0,1965.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2362.75,1894.46
2011-01-18,0.0,1967.7,0.0,0.0,1967.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2335.8,1872.84
2011-01-19,0.0,2015.63,0.0,0.0,2015.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2314.29,1855.6
2011-01-20,0.0,1936.12,0.0,0.0,1936.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2285.44,1832.47
2011-01-21,0.0,1951.84,0.0,0.0,1951.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2260.28,1812.3
2011-01-24,0.0,1913.62,0.0,0.0,1913.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2237.13,1793.73
2011-01-25,0.0,1897.45,0.0,0.0,1897.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2213.77,1775.0
2011-01-26,0.0,1932.98,0.0,0.0,1932.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2193.35,1758.63
2011-01-27,0.0,1969.31,0.0,0.0,1969.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2176.86,1745.41
