time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,1475.74,0.0,0.0,1475.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,1474.16,0.0,0.0,1474.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,1463.82,0.0,0.0,1463.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,1455.38,0.0,0.0,1455.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,1426.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,1416.83,0.0,0.0,1416.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,1424.63,0.0,0.0,1424.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,1421.47,0.0,0.0,1421.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,1391.48,0.0,0.0,1391.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,1324.11,0.0,0.0,1324.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1584.37,1270.35
2011-01-18,0.0,1327.96,0.0,0.0,1327.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1567.97,1257.2
2011-01-19,0.0,1363.24,0.0,0.0,1363.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1555.66,1247.33
2011-01-20,0.0,1312.63,0.0,0.0,1312.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1538.87,1233.87
