time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,7121.82,7167.4,7167.4,7062.8,70.44,0.99,656.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,7131.85,7135.01,7175.42,7099.55,-32.39,-0.45,638.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,7120.1,7071.62,7152.93,7053.4,-63.39,-0.89,496.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,7058.69,7035.82,7113.26,6984.58,-35.8,-0.51,563.11,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,7029.68,6842.41,7038.38,6822.12,-193.41,-2.75,555.05,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,6813.1,6772.59,6826.95,6719.76,-69.82,-1.02,441.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,6789.27,6798.26,6829.42,6694.6,25.67,0.38,409.23,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,6832.15,6814.15,6845.99,6781.54,15.89,0.23,420.55,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,6802.86,6687.38,6802.86,6678.84,-126.77,-1.86,433.51,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,6623.95,6380.94,6627.03,6364.75,-306.44,-4.58,488.93,0.0,0.0,0.0,0.0,0.0,0.0,2,7626.32,6114.8
2011-01-18,6352.27,6406.18,6428.96,6310.57,25.24,0.4,303.85,0.0,0.0,0.0,0.0,0.0,0.0,2,7541.82,6047.05
2011-01-19,6408.59,6562.11,6562.11,6391.2,155.93,2.43,398.34,0.0,0.0,0.0,0.0,0.0,0.0,2,7478.23,5996.06
2011-01-20,6558.17,6319.56,6558.17,6319.56,-242.55,-3.7,488.16,0.0,0.0,0.0,0.0,0.0,0.0,2,7394.75,5929.13
2011-01-21,6297.4,6340.51,6418.57,6274.02,20.95,0.33,465.94,0.0,0.0,0.0,0.0,0.0,0.0,1,7317.57,5867.24
2011-01-24,6337.07,6142.28,6358.13,6141.42,-198.23,-3.13,401.28,0.0,0.0,0.0,0.0,0.0,0.0,1,7239.86,5804.93
2011-01-25,6125.78,6075.16,6125.78,6025.15,-67.12,-1.09,361.57,0.0,0.0,0.0,0.0,0.0,0.0,1,7162.44,5742.86
2011-01-26,6078.2,6201.35,6215.14,6078.2,126.19,2.08,355.58,0.0,0.0,0.0,11.95,9.03,17.79,1,7096.19,5689.74
2011-01-27,6160.44,6314.53,6338.32,6107.15,113.18,1.83,463.75,0.0,0.0,0.0,24.0,14.02,43.94,1,7040.73,5645.27
2011-01-28,6305.75,6361.83,6380.5,6296.99,47.3,0.75,386.73,0.0,0.0,0.0,36.9,21.65,67.4,2,7004.59,5616.3
2011-01-31,6352.94,6423.22,6425.88,6330.94,61.39,0.96,375.19,7263.01,6592.62,5922.22,49.31,30.87,86.19,2,7009.29,5620.06
2011-02-01,6425.31,6439.98,6451.75,6396.57,16.76,0.26,344.5,7174.89,6556.24,5937.6,58.82,40.18,96.08,2,7013.04,5623.07
2011-02-09,6393.17,6357.78,6453.72,6341.05,-82.2,-1.28,381.5,7080.91,6517.38,5953.86,65.08,48.48,98.28,2,6990.36,5604.88
2011-02-10,6353.02,6542.24,6542.24,6348.87,184.46,2.9,444.91,6994.35,6490.91,5987.48,76.72,57.9,114.37,2,7015.08,5624.7
2011-02-11,6544.31,6648.5,6673.21,6539.58,106.26,1.62,578.45,6915.99,6471.55,6027.11,83.21,66.33,116.96,2,7049.26,5652.11
2011-02-14,6662.95,6763.73,6779.43,6662.95,115.23,1.73,672.63,6900.09,6467.61,6035.14,88.06,73.58,117.03,2,7118.24,5707.42
2011-02-15,6773.49,6752.97,6827.39,6751.26,-10.76,-0.16,697.05,6896.42,6466.63,6036.85,88.6,78.58,108.62,2,7193.48,5767.75
2011-02-16,6740.63,6850.92,6850.92,6717.06,97.95,1.45,641.66,6907.7,6469.27,6030.83,92.4,83.19,110.82,0,7265.58,5825.56
2011-02-17,6864.02,6892.93,6916.68,6818.93,42.01,0.61,778.78,6925.17,6473.2,6021.24,93.58,86.65,107.44,0,7329.79,5877.03
2011-02-18,6885.44,6822.93,6886.91,6804.72,-70.0,-1.02,595.73,6948.36,6479.98,6011.61,90.29,87.86,95.14,0,7380.97,5918.07
2011-02-21,6778.67,6943.31,6943.31,6763.67,120.38,1.76,643.83,7015.24,6508.1,6000.97,93.53,89.75,101.08,0,7438.7,5964.36
2011-02-22,6957.78,6771.5,6974.85,6768.8,-171.81,-2.47,778.88,7043.72,6526.37,6009.02,84.86,88.12,78.33,2,7475.5,5993.87
2011-02-23,6748.55,6838.34,6852.81,6748.55,66.84,0.99,578.12,7075.06,6540.18,6005.3,79.45,85.23,67.89,2,7528.84,6036.64
2011-02-24,6832.86,6902.69,6906.71,6796.82,64.35,0.94,646.68,7116.37,6569.33,6022.3,78.59,83.02,69.73,2,7568.85,6068.72
2011-02-25,6897.35,6922.4,6943.66,6853.23,19.71,0.29,599.74,7155.49,6598.43,6041.37,78.94,81.66,73.51,2,7599.25,6093.09
2011-02-28,6941.66,6997.21,6997.21,6885.78,74.81,1.08,631.64,7182.65,6641.18,6099.7,85.96,83.09,91.7,2,7625.17,6113.87
2011-03-01,7009.01,7023.89,7056.37,6974.94,26.68,0.38,750.0,7188.03,6688.61,6189.2,87.12,84.44,92.5,2,7655.24,6137.98
2011-03-02,7004.62,6983.98,7011.71,6873.34,-39.91,-0.57,713.61,7189.54,6727.74,6265.95,83.58,84.15,82.43,2,7670.01,6149.83
2011-03-03,6986.85,6844.93,7014.64,6834.82,-139.05,-1.99,682.66,7177.4,6754.26,6331.13,66.16,78.15,42.16,2,7664.68,6145.56
2011-03-04,6837.06,6894.37,6896.64,6802.52,49.44,0.72,527.46,7167.32,6780.89,6394.46,59.89,72.07,35.55,2,7672.61,6151.91
2011-03-07,6921.33,6981.65,6981.65,6890.97,87.28,1.27,766.07,7167.54,6808.81,6450.08,65.17,69.77,55.98,2,7676.87,6155.33
2011-03-08,6976.9,7000.16,7000.62,6935.33,18.51,0.27,614.42,7161.88,6836.82,6511.76,69.56,69.7,69.29,2,7702.25,6175.68
2011-03-09,7010.59,7026.04,7036.02,6987.52,25.88,0.37,575.16,7120.16,6870.23,6620.31,75.73,71.71,83.76,2,7723.08,6192.38
2011-03-10,7016.12,6999.25,7043.73,6981.09,-26.79,-0.38,605.42,7098.48,6893.09,6687.69,76.32,73.24,82.46,2,7733.8,6200.98
2011-03-11,6970.49,6976.7,7058.64,6962.57,-22.55,-0.32,598.29,7084.26,6909.5,6734.73,73.55,73.34,73.95,2,7739.83,6205.81
2011-03-14,6952.97,7036.64,7036.64,6943.66,59.94,0.86,640.22,7092.79,6923.14,6753.49,79.5,75.4,87.71,2,7744.2,6209.32
2011-03-15,7025.57,6988.55,7025.57,6809.76,-48.09,-0.68,849.32,7087.53,6934.92,6782.31,77.21,76.0,79.63,2,7740.28,6206.17
2011-03-16,6975.88,7080.78,7081.32,6975.88,92.23,1.32,770.63,7106.43,6946.41,6786.39,84.74,78.92,96.4,2,7751.03,6214.79
2011-03-17,7023.79,6961.27,7070.2,6930.03,-119.51,-1.69,709.62,7108.04,6949.83,6791.61,75.09,77.64,70.0,2,7763.94,6225.14
2011-03-18,7004.81,6999.59,7045.92,6965.44,38.32,0.55,655.19,7106.97,6958.66,6810.36,73.36,76.22,67.66,2,7775.62,6234.51
2011-03-21,7001.22,6936.24,7017.46,6906.38,-63.35,-0.91,616.64,7106.79,6958.31,6809.83,64.43,72.29,48.73,2,7770.58,6230.46
2011-03-22,6937.12,6892.55,6958.25,6827.23,-43.69,-0.63,526.0,7090.0,6964.36,6838.72,53.12,65.9,27.56,2,7758.63,6220.89
2011-03-23,6896.71,6979.64,6979.64,6884.26,87.09,1.26,548.1,7083.04,6971.43,6859.82,56.26,62.69,43.42,2,7753.48,6216.76
2011-03-24,6986.15,6971.59,7014.81,6970.15,-8.05,-0.12,553.52,7081.94,6974.87,6867.8,57.37,60.92,50.29,2,7750.41,6214.3
2011-03-25,6971.94,7009.53,7026.69,6970.14,37.94,0.54,627.67,7084.48,6979.23,6873.98,62.77,61.53,65.24,2,7754.06,6217.22
2011-03-28,7030.25,6915.26,7045.83,6907.45,-94.27,-1.34,734.08,7083.6,6975.13,6866.67,53.4,58.82,42.54,2,7740.58,6206.41
2011-03-29,6899.04,6756.08,6900.21,6752.96,-159.18,-2.3,716.16,7103.76,6961.74,6819.72,35.92,51.19,5.4,2,7714.78,6185.73
2011-03-30,6750.81,6698.91,6781.56,6686.22,-57.17,-0.85,582.25,7129.35,6947.49,6765.63,25.13,42.5,-9.63,2,7672.39,6151.74
2011-03-31,6713.49,6650.08,6736.6,6620.18,-48.83,-0.73,467.32,7157.47,6937.74,6718.02,19.09,34.7,-12.12,2,7637.85,6124.04
2011-04-01,6662.35,6711.34,6711.34,6630.67,61.26,0.92,391.81,7169.05,6928.59,6688.13,19.87,29.75,0.09,2,7605.86,6098.39
2011-04-06,6693.74,6658.36,6710.3,6633.06,-52.98,-0.79,443.88,7178.54,6912.43,6646.31,16.23,25.25,-1.79,2,7575.01,6073.66
2011-04-07,6659.1,6696.67,6696.67,6615.58,38.31,0.58,497.09,7175.94,6897.25,6618.57,17.11,22.53,6.25,2,7553.27,6056.22
2011-04-08,6693.13,6771.49,6771.65,6683.23,74.82,1.12,476.1,7161.77,6884.53,6607.28,23.48,22.85,24.75,2,7530.16,6037.7
2011-04-11,6784.97,6695.8,6803.06,6693.01,-75.69,-1.12,601.65,7152.97,6869.35,6585.74,21.87,22.52,20.56,2,7499.55,6013.15
2011-04-12,6680.88,6644.75,6713.74,6620.85,-51.05,-0.76,541.29,7147.91,6852.76,6557.6,18.0,21.01,11.96,2,7459.06,5980.69
2011-04-13,6626.9,6739.5,6739.5,6610.42,94.75,1.43,501.34,7124.32,6837.9,6551.48,34.33,25.45,52.09,2,7439.55,5965.05
2011-04-14,6738.76,6720.54,6748.46,6705.74,-18.96,-0.28,525.09,7106.52,6824.5,6542.48,41.94,30.95,63.93,2,7435.61,5961.88
2011-04-15,6713.9,6687.64,6722.6,6639.59,-32.9,-0.49,530.97,7066.76,6804.84,6542.93,41.32,34.41,55.16,2,7434.35,5960.88
2011-04-18,6668.16,6681.77,6711.32,6648.66,-5.87,-0.09,594.24,7047.68,6790.87,6534.05,39.9,36.24,47.21,2,7437.87,5963.7
2011-04-19,6647.23,6624.22,6653.07,6557.56,-57.55,-0.86,630.77,7019.86,6772.1,6524.34,35.65,36.04,34.86,2,7428.2,5955.95
2011-04-20,6610.05,6651.42,6653.79,6596.2,27.2,0.41,636.73,6998.89,6757.86,6516.82,36.51,36.2,37.13,2,7427.43,5955.33
2011-04-21,6660.61,6682.97,6692.07,6656.29,31.55,0.47,582.0,6982.22,6747.38,6512.53,41.37,37.92,48.26,2,7425.91,5954.11
2011-04-22,6678.4,6624.39,6678.4,6596.71,-58.58,-0.88,585.19,6944.39,6729.62,6514.84,39.25,38.36,41.02,2,7409.58,5941.02
2011-04-25,6613.01,6511.79,6613.01,6500.82,-112.6,-1.7,530.5,6911.06,6706.63,6502.19,27.64,34.79,13.35,2,7389.16,5924.64
2011-04-26,6494.98,6445.35,6509.84,6412.25,-66.44,-1.02,441.52,6862.57,6678.42,6494.26,21.71,30.43,4.27,2,7367.02,5906.89
2011-04-27,6456.23,6385.12,6483.58,6345.36,-60.23,-0.93,438.24,6844.49,6651.91,6459.33,17.99,26.28,1.4,2,7327.69,5875.35
2011-04-28,6398.13,6221.05,6418.37,6221.05,-164.07,-2.57,439.81,6888.18,6625.16,6362.13,11.99,21.52,-7.06,2,7272.24,5830.9
2011-04-29,6223.73,6292.91,6293.81,6204.08,71.86,1.16,336.64,6902.39,6604.86,6307.33,14.06,19.03,4.12,1,7228.43,5795.77
2011-05-03,6302.19,6366.52,6366.52,6263.92,73.61,1.17,378.89,6904.8,6590.68,6276.56,20.47,19.51,22.39,1,7193.44,5767.71
2011-05-04,6348.3,6222.7,6348.3,6210.45,-143.82,-2.26,437.71,6913.31,6566.25,6219.18,14.92,17.98,8.79,1,7148.87,5731.98
2011-05-05,6198.66,6250.42,6269.46,6191.57,27.72,0.45,327.71,6916.04,6545.85,6175.66,13.98,16.65,8.63,2,7104.36,5696.29
2011-05-06,6218.14,6303.6,6317.38,6180.09,53.18,0.85,339.35,6903.93,6526.2,6148.46,18.83,17.37,21.73,2,7062.25,5662.52
2011-05-09,6311.46,6340.56,6376.11,6311.46,36.96,0.59,337.58,6873.01,6504.65,6136.29,28.77,21.17,43.97,2,7030.74,5637.26
2011-05-10,6349.02,6353.76,6355.07,6312.55,13.2,0.21,365.86,6850.54,6487.55,6124.56,38.26,26.87,61.03,2,7013.2,5623.2
2011-05-11,6361.37,6344.03,6378.77,6309.41,-9.73,-0.15,420.99,6833.12,6472.51,6111.91,48.44,34.06,77.2,2,7001.95,5614.18
2011-05-12,6313.25,6248.97,6335.18,6248.54,-95.06,-1.5,377.61,6799.22,6447.99,6096.75,43.85,37.32,56.9,2,6986.84,5602.06
2011-05-13,6248.66,6274.67,6276.81,6184.98,25.7,0.41,346.53,6761.15,6425.69,6090.24,45.1,39.91,55.47,2,6992.79,5606.83
2011-05-16,6263.43,6270.86,6306.77,6261.26,-3.81,-0.06,315.45,6724.02,6404.85,6085.69,45.3,41.71,52.47,2,6990.35,5604.87
2011-05-17,6270.53,6270.47,6300.6,6210.16,-0.39,-0.01,399.27,6681.69,6384.29,6086.89,45.36,42.93,50.23,2,6979.68,5596.32
2011-05-18,6259.06,6304.33,6315.86,6244.16,33.86,0.54,340.33,6646.13,6368.29,6090.46,51.08,45.65,61.96,2,6988.75,5603.59
2011-05-19,6321.39,6296.42,6361.1,6289.08,-7.91,-0.13,416.0,6597.39,6350.54,6103.7,53.22,48.17,63.33,2,6993.85,5607.68
2011-05-20,6291.56,6282.49,6302.91,6253.99,-13.93,-0.22,325.82,6525.85,6330.52,6135.2,52.26,49.53,57.7,2,6991.51,5605.8
2011-05-23,6275.45,6085.62,6275.45,6079.11,-196.87,-3.13,447.56,6476.71,6303.58,6130.46,35.56,44.88,16.93,2,6963.21,5583.11
2011-05-24,6058.32,6058.92,6069.07,5959.35,-26.7,-0.44,357.28,6457.64,6280.94,6104.24,31.97,40.57,14.76,2,6930.48,5556.87
