time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1241.47,1250.06,1250.06,1232.25,13.09,1.06,1226.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1244.92,1247.3,1252.38,1239.02,-2.76,-0.22,1181.27,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1245.33,1237.59,1250.59,1234.87,-9.71,-0.78,991.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1235.38,1228.41,1242.28,1220.74,-9.18,-0.74,1030.54,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1227.55,1194.69,1227.9,1191.08,-33.72,-2.75,1009.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1190.02,1181.18,1190.8,1172.28,-13.51,-1.13,844.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1183.39,1185.92,1190.77,1168.45,4.74,0.4,767.6,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1190.48,1188.06,1193.47,1183.29,2.14,0.18,779.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1186.05,1164.95,1186.05,1163.89,-23.11,-1.95,826.09,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1155.93,1113.09,1155.93,1110.25,-51.86,-4.45,918.95,0.0,0.0,0.0,0.0,0.0,0.0,2,1331.03,1067.22
2011-01-18,1107.74,1116.85,1119.02,1101.09,3.76,0.34,572.91,0.0,0.0,0.0,0.0,0.0,0.0,2,1316.24,1055.37
2011-01-19,1116.95,1144.19,1144.29,1114.82,27.34,2.45,753.1,0.0,0.0,0.0,0.0,0.0,0.0,2,1304.8,1046.19
2011-01-20,1143.55,1103.63,1143.55,1103.63,-40.56,-3.54,923.89,0.0,0.0,0.0,0.0,0.0,0.0,2,1289.93,1034.27
2011-01-21,1100.16,1109.07,1120.06,1096.11,5.44,0.49,892.6,0.0,0.0,0.0,0.0,0.0,0.0,1,1276.68,1023.65
2011-01-24,1108.25,1073.51,1112.52,1073.24,-35.56,-3.21,804.86,0.0,0.0,0.0,0.0,0.0,0.0,1,1263.23,1012.86
2011-01-25,1069.32,1057.07,1069.32,1048.57,-16.44,-1.53,701.86,0.0,0.0,0.0,0.0,0.0,0.0,1,1249.45,1001.81
2011-01-26,1056.38,1077.67,1079.8,1056.38,20.6,1.95,656.3,0.0,0.0,0.0,11.53,9.05,16.5,1,1237.44,992.18
2011-01-27,1071.72,1096.83,1100.11,1063.04,19.16,1.78,863.79,0.0,0.0,0.0,22.67,13.59,40.84,1,1227.31,984.06
