time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-03-30,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-05,998.48,1028.28,1028.28,995.34,28.28,2.83,130.84,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-06,1025.19,1031.3,1035.49,1023.12,3.02,0.29,111.92,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-09,1025.62,1013.01,1029.01,1013.01,-18.29,-1.77,122.42,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-10,1006.32,1019.18,1019.28,985.56,6.17,0.61,135.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-11,1002.63,1017.7,1023.64,1001.94,-1.48,-0.15,153.76,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-12,1020.7,1034.46,1034.46,1016.66,16.76,1.65,189.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-13,1036.15,1043.54,1046.09,1034.39,9.08,0.88,173.91,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-16,1037.16,1047.62,1050.9,1037.16,4.08,0.39,140.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-04-17,1045.11,1040.99,1049.14,1037.85,-6.63,-0.63,142.76,0.0,0.0,0.0,0.0,0.0,0.0,2,1140.64,914.57
2012-04-18,1043.78,1056.94,1057.17,1036.37,15.95,1.53,177.44,0.0,0.0,0.0,0.0,0.0,0.0,2,1146.97,919.64
2012-04-19,1054.18,1052.92,1058.68,1048.38,-4.02,-0.38,151.41,0.0,0.0,0.0,0.0,0.0,0.0,2,1149.7,921.83
2012-04-20,1049.99,1050.63,1053.51,1044.34,-2.29,-0.22,177.04,0.0,0.0,0.0,0.0,0.0,0.0,2,1151.85,923.55
2012-04-23,1049.79,1027.82,1049.79,1024.22,-22.81,-2.17,194.42,0.0,0.0,0.0,0.0,0.0,0.0,2,1153.49,924.87
2012-04-24,1013.98,1011.19,1026.06,988.29,-16.63,-1.62,187.01,0.0,0.0,0.0,0.0,0.0,0.0,2,1152.6,924.16
2012-04-25,1008.04,1018.92,1021.43,1007.37,7.73,0.76,166.93,0.0,0.0,0.0,0.0,0.0,0.0,2,1152.74,924.27
2012-04-26,1019.77,1018.33,1022.92,1013.51,-0.59,-0.06,143.99,0.0,0.0,0.0,51.6,68.06,18.68,2,1150.95,922.83
2012-04-27,1015.9,1017.01,1022.11,1012.16,-1.32,-0.13,109.72,0.0,0.0,0.0,48.0,61.38,21.25,2,1148.0,920.47
2012-05-02,1032.35,1028.64,1032.35,1020.49,11.63,1.14,127.14,0.0,0.0,0.0,51.11,57.95,37.42,2,1145.9,918.78
2012-05-03,1027.2,1032.06,1032.55,1025.36,3.42,0.33,128.55,1059.73,1029.53,999.33,54.8,56.9,50.6,2,1144.91,917.99
2012-05-04,1032.46,1043.25,1043.67,1028.83,11.19,1.08,144.2,1059.2,1031.69,1004.18,64.62,59.48,74.92,2,1143.39,916.77
2012-05-07,1039.22,1059.68,1059.68,1039.22,16.43,1.57,170.2,1063.28,1033.26,1003.24,76.42,65.12,99.0,2,1144.14,917.37
2012-05-08,1058.89,1063.32,1066.84,1053.99,3.64,0.34,170.05,1067.59,1034.86,1002.14,82.78,71.01,106.33,2,1145.54,918.5
2012-05-09,1054.09,1047.6,1056.58,1047.26,-15.72,-1.48,165.93,1068.15,1036.59,1005.03,77.74,73.25,86.71,2,1147.74,920.26
2012-05-10,1048.56,1052.61,1054.83,1045.82,5.01,0.48,125.21,1069.49,1038.26,1007.03,76.48,74.33,80.79,2,1152.34,923.95
2012-05-11,1051.72,1047.75,1056.6,1047.38,-4.86,-0.46,138.69,1069.76,1039.76,1009.77,72.69,73.78,70.49,2,1155.54,926.51
2012-05-14,1057.57,1044.42,1057.57,1044.12,-3.33,-0.32,136.12,1070.22,1040.26,1010.3,65.67,71.08,54.85,2,1158.43,928.83
2012-05-15,1034.83,1039.8,1040.14,1027.83,-4.62,-0.44,125.23,1070.0,1040.08,1010.15,55.38,65.84,34.46,2,1160.96,930.86
2012-05-16,1037.99,1028.22,1040.71,1027.31,-11.58,-1.11,130.08,1069.24,1039.11,1008.97,37.69,56.46,0.15,2,1160.92,930.83
2012-05-17,1031.69,1039.19,1039.52,1023.27,10.97,1.07,145.57,1069.14,1039.02,1008.89,37.31,50.07,11.77,2,1161.71,931.46
