time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,1150.84,1160.98,1161.01,1142.39,14.53,1.27,596.45,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,1154.26,1155.43,1161.75,1149.35,-5.55,-0.48,576.61,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,1152.64,1150.8,1158.91,1145.25,-4.63,-0.4,464.39,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,1148.61,1148.14,1162.2,1140.35,-2.66,-0.23,523.4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,1147.65,1125.69,1156.26,1122.59,-22.45,-1.96,487.38,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,1120.01,1118.33,1126.33,1110.24,-7.36,-0.65,405.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,1120.71,1127.55,1128.31,1108.49,9.22,0.82,372.34,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,1131.27,1123.65,1132.21,1119.3,-3.9,-0.35,363.2,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,1121.27,1103.21,1121.27,1101.34,-20.44,-1.82,367.58,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,1093.59,1048.24,1094.72,1046.4,-54.97,-4.98,427.08,0.0,0.0,0.0,0.0,0.0,0.0,2,1250.08,1002.32
2011-01-18,1043.84,1052.76,1056.29,1039.4,4.52,0.43,255.24,0.0,0.0,0.0,0.0,0.0,0.0,2,1238.07,992.69
2011-01-19,1053.25,1078.07,1078.07,1049.64,25.31,2.4,349.18,0.0,0.0,0.0,0.0,0.0,0.0,2,1229.48,985.8
2011-01-20,1077.66,1038.27,1077.66,1038.27,-39.8,-3.69,452.36,0.0,0.0,0.0,0.0,0.0,0.0,2,1216.99,975.79
2011-01-21,1036.38,1047.27,1060.82,1032.97,9.0,0.87,448.82,0.0,0.0,0.0,0.0,0.0,0.0,1,1205.8,966.81
2011-01-24,1047.34,1022.46,1051.2,1022.46,-24.81,-2.37,359.86,0.0,0.0,0.0,0.0,0.0,0.0,1,1194.34,957.62
2011-01-25,1018.87,1007.18,1018.87,1000.52,-15.28,-1.49,319.27,0.0,0.0,0.0,0.0,0.0,0.0,1,1182.0,947.73
2011-01-26,1007.77,1029.72,1032.8,1007.77,22.54,2.24,323.4,0.0,0.0,0.0,12.47,9.39,18.62,1,1171.14,939.02
2011-01-27,1019.9,1046.28,1049.76,1012.71,16.56,1.61,434.51,0.0,0.0,0.0,24.5,14.43,44.66,1,1162.55,932.14
2011-01-28,1044.84,1054.97,1057.85,1043.36,8.69,0.83,369.27,0.0,0.0,0.0,39.74,22.86,73.49,2,1157.2,927.84
2011-01-31,1052.22,1064.52,1065.29,1048.71,9.55,0.91,379.64,1182.48,1085.18,987.87,54.0,33.24,95.52,2,1159.01,929.29
2011-02-01,1064.17,1068.76,1070.97,1059.89,4.24,0.4,311.4,1171.6,1080.56,989.53,65.49,43.99,108.48,2,1160.78,930.72
