time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-06-30,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-01,0.0,1003.59,0.0,0.0,1003.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-04,0.0,1024.08,0.0,0.0,1024.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-05,0.0,1029.19,0.0,0.0,1029.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-06,0.0,1033.37,0.0,0.0,1033.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-07,0.0,1039.58,0.0,0.0,1039.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-08,0.0,1040.98,0.0,0.0,1040.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-11,0.0,1050.68,0.0,0.0,1050.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-12,0.0,1038.17,0.0,0.0,1038.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-07-13,0.0,1059.02,0.0,0.0,1059.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1145.37,918.36
2011-07-14,0.0,1067.25,0.0,0.0,1067.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1152.84,924.35
2011-07-15,0.0,1075.62,0.0,0.0,1075.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1160.83,930.76
2011-07-18,0.0,1077.12,0.0,0.0,1077.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1166.72,935.48
