time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2012-12-31,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-04,1007.56,1002.32,1007.56,987.0,2.32,0.23,404.31,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-07,998.92,1009.97,1010.32,998.92,7.65,0.76,435.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-08,1008.9,1023.64,1023.64,1008.88,13.67,1.35,406.95,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-09,1024.09,1029.65,1034.87,1024.09,6.01,0.59,413.36,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-10,1029.52,1037.82,1037.82,1029.52,8.17,0.79,375.7,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-11,1039.88,1016.13,1039.88,1016.13,-21.69,-2.09,368.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-14,1016.09,1054.98,1054.98,1016.09,38.85,3.82,433.66,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-15,1060.12,1073.02,1073.02,1060.12,18.04,1.71,580.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2013-01-16,1068.31,1064.3,1069.69,1053.77,-8.72,-0.81,457.78,0.0,0.0,0.0,0.0,0.0,0.0,2,1144.61,917.75
2013-01-17,1059.53,1054.54,1059.53,1053.54,-9.76,-0.92,317.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1150.67,922.61
2013-01-18,1062.95,1074.84,1074.92,1059.78,20.3,1.93,370.93,0.0,0.0,0.0,0.0,0.0,0.0,2,1158.72,929.06
2013-01-21,1075.61,1075.09,1075.61,1072.33,0.25,0.02,349.77,0.0,0.0,0.0,0.0,0.0,0.0,2,1165.95,934.86
2013-01-22,1071.85,1062.01,1073.54,1061.99,-13.08,-1.22,420.82,0.0,0.0,0.0,0.0,0.0,0.0,2,1170.2,938.27
2013-01-23,1055.78,1065.18,1065.9,1053.79,3.17,0.3,343.21,0.0,0.0,0.0,0.0,0.0,0.0,2,1174.15,941.43
2013-01-24,1063.93,1046.27,1073.8,1046.1,-18.91,-1.78,508.97,0.0,0.0,0.0,0.0,0.0,0.0,2,1175.09,942.19
2013-01-25,1043.77,1042.09,1044.38,1042.09,-4.18,-0.4,297.91,0.0,0.0,0.0,49.43,77.96,-7.62,2,1177.97,944.5
2013-01-28,1046.32,1062.4,1062.4,1046.32,20.31,1.95,414.91,0.0,0.0,0.0,53.15,69.69,20.07,2,1178.79,945.16
2013-01-29,1060.31,1064.67,1064.67,1060.31,2.27,0.21,417.81,0.0,0.0,0.0,57.89,65.76,42.15,2,1177.86,944.41
2013-01-30,1065.87,1064.47,1065.87,1058.79,-0.2,-0.02,387.31,1094.22,1046.17,998.12,60.85,64.12,54.3,2,1177.88,944.43
2013-01-31,1065.78,1053.85,1065.78,1050.01,-10.62,-1.0,420.58,1092.05,1048.86,1005.68,52.26,60.17,36.44,2,1177.81,944.37
2013-02-01,1051.36,1060.9,1060.9,1051.36,7.05,0.67,356.73,1089.56,1051.79,1014.02,54.61,58.32,47.21,2,1176.26,943.13
2013-02-04,1065.19,1050.07,1065.19,1049.85,-10.83,-1.02,435.69,1086.37,1053.8,1021.22,44.8,53.81,26.77,2,1173.48,940.9
2013-02-05,1044.25,1066.27,1066.27,1044.25,16.2,1.54,350.54,1085.8,1055.93,1026.06,55.28,54.3,57.25,2,1173.95,941.28
2013-02-06,1066.2,1073.23,1073.23,1066.2,6.96,0.65,340.44,1086.3,1058.11,1029.91,70.19,59.6,91.37,2,1174.85,942.0
2013-02-07,1073.2,1080.25,1081.39,1072.56,7.02,0.65,318.17,1088.38,1060.23,1032.07,79.1,66.1,105.11,2,1178.62,945.02
2013-02-08,1081.33,1093.16,1095.12,1081.33,12.91,1.2,320.06,1087.77,1064.08,1040.39,84.78,72.33,109.7,2,1184.29,949.57
2013-02-18,1103.71,1091.7,1103.71,1090.11,-1.46,-0.13,464.07,1092.07,1065.92,1039.76,83.12,75.93,97.52,2,1187.54,952.17
2013-02-19,1087.8,1069.38,1087.8,1069.38,-22.32,-2.04,391.43,1091.74,1065.73,1039.73,69.5,73.78,60.94,2,1188.06,952.59
2013-02-20,1072.66,1096.18,1096.18,1072.66,26.8,2.51,415.65,1096.5,1067.33,1038.16,75.45,74.34,77.66,2,1191.58,955.41
2013-02-21,1083.13,1077.98,1091.67,1074.71,-18.2,-1.66,461.26,1097.4,1068.5,1039.6,69.21,72.63,62.37,2,1194.26,957.56
2013-02-22,1077.64,1078.39,1088.31,1077.64,0.41,0.04,350.11,1097.78,1068.68,1039.58,65.28,70.18,55.48,2,1196.2,959.12
2013-02-25,1081.49,1086.86,1086.86,1078.08,8.47,0.79,348.97,1099.32,1069.27,1039.21,61.88,67.41,50.81,2,1200.29,962.39
2013-02-26,1079.75,1066.45,1087.01,1066.33,-20.41,-1.88,397.34,1099.39,1069.49,1039.58,41.36,58.73,6.62,2,1200.31,962.41
2013-02-27,1071.59,1067.08,1071.59,1062.59,0.63,0.06,318.76,1099.44,1069.58,1039.72,31.21,49.56,-5.47,2,1199.62,961.86
2013-02-28,1072.09,1083.5,1083.5,1067.36,16.42,1.54,421.39,1099.87,1071.44,1043.02,37.76,45.62,22.03,2,1199.99,962.15
2013-03-01,1082.87,1090.66,1091.01,1082.87,7.16,0.66,408.86,1100.06,1073.87,1047.69,53.03,48.09,62.9,2,1199.71,961.93
2013-03-04,1076.03,1058.84,1076.03,1058.83,-31.82,-2.92,429.29,1100.24,1073.69,1047.15,35.36,43.85,18.39,2,1196.06,959.0
2013-03-05,1061.16,1085.2,1085.2,1061.16,26.36,2.49,412.24,1101.38,1074.72,1048.07,50.34,46.01,59.0,2,1197.82,960.41
2013-03-06,1089.56,1105.72,1105.72,1089.56,20.52,1.89,489.42,1106.19,1076.78,1047.38,66.89,52.97,94.74,2,1198.88,961.26
2013-03-07,1099.36,1088.61,1101.77,1082.09,-17.11,-1.55,424.78,1106.37,1078.52,1050.68,65.77,57.24,82.82,2,1200.06,962.21
2013-03-08,1091.27,1077.29,1091.27,1077.05,-11.32,-1.04,294.86,1106.0,1079.34,1052.68,56.97,57.15,56.61,2,1199.93,962.11
2013-03-11,1075.69,1079.26,1080.83,1075.69,1.97,0.18,236.84,1103.84,1080.8,1057.76,52.5,55.6,46.31,2,1199.09,961.43
2013-03-12,1076.55,1046.44,1077.97,1041.42,-32.82,-3.04,335.83,1106.66,1079.81,1052.96,37.6,49.6,13.61,2,1196.87,959.65
2013-03-13,1044.03,1039.73,1044.03,1029.0,-6.71,-0.64,267.3,1110.11,1078.13,1046.16,29.73,42.98,3.24,2,1193.83,957.22
2013-03-14,1036.35,1043.32,1046.38,1036.35,3.59,0.35,230.71,1111.65,1076.29,1040.93,26.04,37.33,3.46,2,1189.37,953.64
2013-03-15,1041.12,1046.87,1060.88,1041.12,3.55,0.34,316.26,1110.65,1073.97,1037.3,25.13,33.26,8.85,2,1184.51,949.74
2013-03-18,1041.36,1035.38,1044.17,1035.13,-11.49,-1.1,262.21,1110.5,1071.16,1031.81,19.52,28.68,1.2,2,1181.91,947.66
2013-03-19,1035.82,1037.99,1037.99,1027.95,2.61,0.25,257.58,1111.51,1069.59,1027.66,17.55,24.97,2.7,2,1176.67,943.45
2013-03-20,1038.48,1067.76,1067.76,1038.48,29.77,2.87,299.97,1108.28,1068.17,1028.06,32.66,27.53,42.9,2,1172.45,940.08
2013-03-21,1067.05,1070.62,1074.28,1067.05,2.86,0.27,271.99,1107.68,1067.8,1027.92,48.67,34.58,76.85,2,1170.46,938.47
2013-03-22,1070.36,1080.15,1080.15,1070.36,9.53,0.89,310.28,1107.87,1067.89,1027.91,65.78,44.98,107.38,2,1170.77,938.73
2013-03-25,1082.53,1078.47,1082.53,1074.63,-1.68,-0.16,239.33,1106.81,1067.47,1028.12,74.71,54.89,114.34,2,1170.69,938.66
2013-03-26,1073.32,1072.87,1073.32,1063.36,-5.6,-0.52,288.04,1107.2,1067.79,1028.38,77.24,62.34,107.04,2,1173.62,941.01
2013-03-27,1073.05,1073.16,1082.24,1069.4,0.29,0.03,260.3,1107.57,1068.09,1028.61,79.1,67.93,101.46,2,1177.33,943.99
2013-03-28,1056.75,1058.02,1061.73,1056.75,-15.14,-1.41,316.16,1105.87,1066.82,1027.77,71.1,68.98,75.33,2,1178.96,945.29
2013-03-29,1059.91,1052.35,1059.91,1050.16,-5.67,-0.54,191.48,1102.83,1064.9,1026.98,62.3,66.76,53.39,2,1179.57,945.78
2013-04-01,1053.47,1054.04,1055.38,1053.47,1.69,0.16,238.17,1102.8,1064.66,1026.53,53.31,62.27,35.38,2,1181.64,947.44
2013-04-02,1055.38,1033.33,1055.38,1033.3,-20.71,-1.96,269.43,1101.31,1062.07,1022.83,35.56,53.37,-0.06,2,1181.13,947.03
