time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-12-30,0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-04,1009.61,975.81,1010.91,975.81,-24.19,-2.42,689.87,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-05,964.86,927.62,966.28,926.12,-48.19,-4.94,817.73,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-06,923.15,930.28,930.84,902.32,2.66,0.29,715.74,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-09,928.16,967.11,967.11,920.05,36.83,3.96,981.01,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-10,965.77,1004.42,1005.2,965.68,37.31,3.86,1420.08,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-11,1001.74,1008.89,1015.35,998.15,4.47,0.45,1316.53,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-12,1001.98,1004.48,1018.3,1000.78,-4.41,-0.44,1127.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-13,1004.35,958.71,1004.48,955.46,-45.77,-4.56,1119.96,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2012-01-16,949.87,922.16,950.1,922.16,-36.55,-3.81,721.48,0.0,0.0,0.0,0.0,0.0,0.0,2,1076.64,863.25
2012-01-17,922.36,968.93,968.93,912.85,46.77,5.07,1054.67,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.19,860.49
2012-01-18,970.81,939.4,976.35,936.22,-29.53,-3.05,1063.57,0.0,0.0,0.0,0.0,0.0,0.0,2,1069.15,857.25
2012-01-19,935.35,944.85,951.32,927.78,5.45,0.58,833.07,0.0,0.0,0.0,0.0,0.0,0.0,2,1071.06,858.78
2012-01-20,948.16,958.85,960.57,946.26,14.0,1.48,785.32,0.0,0.0,0.0,0.0,0.0,0.0,2,1074.24,861.32
2012-01-30,962.66,958.6,969.65,955.25,-0.25,-0.03,726.09,0.0,0.0,0.0,0.0,0.0,0.0,2,1073.29,860.57
2012-01-31,956.65,958.81,959.15,946.0,0.21,0.02,612.94,0.0,0.0,0.0,0.0,0.0,0.0,2,1068.23,856.51
2012-02-01,955.9,956.66,971.12,953.43,-2.15,-0.22,739.01,0.0,0.0,0.0,45.48,45.21,46.04,2,1062.43,851.86
2012-02-02,959.94,977.07,977.07,958.64,20.41,2.13,902.04,0.0,0.0,0.0,63.66,51.36,88.26,2,1059.39,849.42
2012-02-03,975.89,996.24,998.21,975.4,19.17,1.96,1245.87,0.0,0.0,0.0,75.0,59.24,106.53,2,1063.55,852.76
2012-02-06,997.6,1007.12,1008.33,996.4,10.88,1.09,1243.58,1022.71,968.3,913.89,82.83,67.1,114.29,2,1072.98,860.32
2012-02-07,999.79,991.07,1000.1,984.34,-16.05,-1.59,1005.05,1021.36,967.85,914.35,81.41,71.87,100.49,2,1075.44,862.29
2012-02-08,988.92,1016.11,1016.11,985.98,25.04,2.53,1214.67,1027.31,969.87,912.43,87.61,77.12,108.59,2,1083.96,869.12
2012-02-09,1014.42,1024.28,1033.91,1014.42,8.17,0.8,1509.03,1033.36,974.7,916.04,88.09,80.78,102.71,2,1092.77,876.19
2012-02-10,1022.39,1029.58,1033.58,1021.7,5.3,0.52,1316.14,1039.25,979.67,920.08,90.42,83.99,103.27,0,1100.62,882.48
2012-02-13,1018.06,1045.92,1049.44,1017.71,16.34,1.59,1499.8,1049.44,983.61,917.77,92.39,86.79,103.59,0,1110.32,890.25
2012-02-14,1044.34,1047.57,1050.2,1039.54,1.65,0.16,1321.07,1056.81,985.77,914.72,93.97,89.18,103.54,0,1120.17,898.15
2012-02-15,1046.23,1067.34,1067.34,1044.36,19.77,1.89,1700.05,1067.66,988.69,909.71,95.98,91.45,105.04,0,1132.46,908.0
