time,open,close,high,low,chg,chgp,vol,bollUpper,bollMiddle,bollLower,slowK,slowD,slowJ,td9,eneUpper,eneLower
2011-01-04,0.0,6665.67,0.0,0.0,6665.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-05,0.0,6650.74,0.0,0.0,6650.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-06,0.0,6599.32,0.0,0.0,6599.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-07,0.0,6551.51,0.0,0.0,6551.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-10,0.0,6372.89,0.0,0.0,6372.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-11,0.0,6301.24,0.0,0.0,6301.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-12,0.0,6325.5,0.0,0.0,6325.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-13,0.0,6337.77,0.0,0.0,6337.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-14,0.0,6213.2,0.0,0.0,6213.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
2011-01-17,0.0,5934.5,0.0,0.0,5934.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7098.71,5691.76
2011-01-18,0.0,5954.43,0.0,0.0,5954.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,7019.76,5628.46
2011-01-19,0.0,6101.29,0.0,0.0,6101.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6958.77,5579.56
2011-01-20,0.0,5883.76,0.0,0.0,5883.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6879.35,5515.87
2011-01-21,0.0,5914.3,0.0,0.0,5914.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6808.62,5459.16
2011-01-24,0.0,5722.95,0.0,0.0,5722.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6736.47,5401.32
2011-01-25,0.0,5638.0,0.0,0.0,5638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6662.85,5342.29
2011-01-26,0.0,5748.74,0.0,0.0,5748.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6598.83,5290.96
2011-01-27,0.0,5852.0,0.0,0.0,5852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6544.91,5247.72
2011-01-28,0.0,5903.86,0.0,0.0,5903.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6510.58,5220.19
2011-01-31,0.0,5961.91,0.0,0.0,5961.91,0.0,0.0,6767.2,6131.68,5496.16,0.0,0.0,0.0,2,6513.62,5222.63
2011-02-01,0.0,5980.42,0.0,0.0,5980.42,0.0,0.0,6686.26,6097.42,5508.57,0.0,0.0,0.0,2,6516.5,5224.94
2011-02-09,0.0,5919.33,0.0,0.0,5919.33,0.0,0.0,6596.1,6060.85,5525.59,0.0,0.0,0.0,2,6496.3,5208.75
2011-02-10,0.0,6092.99,0.0,0.0,6092.99,0.0,0.0,6511.08,6035.53,5559.98,0.0,0.0,0.0,2,6519.53,5227.37
2011-02-11,0.0,6184.84,0.0,0.0,6184.84,0.0,0.0,6436.74,6017.2,5597.65,0.0,0.0,0.0,2,6549.56,5251.45
2011-02-14,0.0,6283.49,0.0,0.0,6283.49,0.0,0.0,6418.7,6012.73,5606.75,0.0,0.0,0.0,2,6611.78,5301.34
2011-02-15,0.0,6279.09,0.0,0.0,6279.09,0.0,0.0,6414.55,6011.62,5608.69,0.0,0.0,0.0,2,6682.94,5358.39
2011-02-16,0.0,6376.96,0.0,0.0,6376.96,0.0,0.0,6425.67,6014.19,5602.71,0.0,0.0,0.0,0,6752.67,5414.31
2011-02-17,0.0,6420.32,0.0,0.0,6420.32,0.0,0.0,6444.11,6018.32,5592.53,0.0,0.0,0.0,0,6815.76,5464.89
2011-02-18,0.0,6359.45,0.0,0.0,6359.45,0.0,0.0,6469.21,6025.63,5582.05,0.0,0.0,0.0,0,6866.33,5505.43
2011-02-21,0.0,6488.7,0.0,0.0,6488.7,0.0,0.0,6538.02,6053.34,5568.66,0.0,0.0,0.0,0,6924.8,5552.32
2011-02-22,0.0,6341.77,0.0,0.0,6341.77,0.0,0.0,6570.8,6072.71,5574.62,0.0,0.0,0.0,2,6964.91,5584.48
2011-02-23,0.0,6408.81,0.0,0.0,6408.81,0.0,0.0,6607.3,6088.08,5568.87,0.0,0.0,0.0,2,7019.24,5628.04
2011-02-24,0.0,6453.83,0.0,0.0,6453.83,0.0,0.0,6650.19,6116.59,5582.98,0.0,0.0,0.0,2,7059.3,5660.16
2011-02-25,0.0,6462.64,0.0,0.0,6462.64,0.0,0.0,6689.44,6144.0,5598.57,0.0,0.0,0.0,2,7090.13,5684.88
2011-02-28,0.0,6525.88,0.0,0.0,6525.88,0.0,0.0,6717.78,6184.15,5650.53,0.0,0.0,0.0,2,7117.04,5706.45
2011-03-01,0.0,6541.14,0.0,0.0,6541.14,0.0,0.0,6721.68,6229.31,5736.94,0.0,0.0,0.0,2,7146.12,5729.78
2011-03-02,0.0,6503.75,0.0,0.0,6503.75,0.0,0.0,6720.5,6267.06,5813.62,0.0,0.0,0.0,2,7160.2,5741.06
2011-03-03,0.0,6374.48,0.0,0.0,6374.48,0.0,0.0,6706.38,6293.18,5879.99,0.0,0.0,0.0,2,7155.11,5736.98
2011-03-04,0.0,6422.51,0.0,0.0,6422.51,0.0,0.0,6694.71,6319.12,5943.52,0.0,0.0,0.0,2,7162.11,5742.59
2011-03-07,0.0,6495.33,0.0,0.0,6495.33,0.0,0.0,6690.63,6345.79,6000.95,0.0,0.0,0.0,2,7162.85,5743.18
2011-03-08,0.0,6522.22,0.0,0.0,6522.22,0.0,0.0,6681.92,6372.88,6063.84,0.0,0.0,0.0,2,7182.88,5759.24
2011-03-09,0.0,6553.57,0.0,0.0,6553.57,0.0,0.0,6643.07,6404.59,6166.11,0.0,0.0,0.0,2,7198.94,5772.13
2011-03-10,0.0,6522.23,0.0,0.0,6522.23,0.0,0.0,6621.96,6426.05,6230.14,0.0,0.0,0.0,2,7206.54,5778.21
2011-03-11,0.0,6516.13,0.0,0.0,6516.13,0.0,0.0,6607.75,6442.61,6277.48,0.0,0.0,0.0,2,7212.47,5782.97
2011-03-14,0.0,6572.53,0.0,0.0,6572.53,0.0,0.0,6614.37,6457.07,6299.76,0.0,0.0,0.0,2,7217.65,5787.13
2011-03-15,0.0,6517.98,0.0,0.0,6517.98,0.0,0.0,6605.32,6469.01,6332.7,0.0,0.0,0.0,2,7215.08,5785.06
2011-03-16,0.0,6592.46,0.0,0.0,6592.46,0.0,0.0,6619.32,6479.79,6340.25,0.0,0.0,0.0,2,7224.93,5792.96
2011-03-17,0.0,6486.16,0.0,0.0,6486.16,0.0,0.0,6619.93,6483.08,6346.23,0.0,0.0,0.0,2,7237.32,5802.9
2011-03-18,0.0,6522.94,0.0,0.0,6522.94,0.0,0.0,6616.64,6491.25,6365.87,0.0,0.0,0.0,2,7248.47,5811.84
2011-03-21,0.0,6478.82,0.0,0.0,6478.82,0.0,0.0,6616.26,6490.76,6365.26,0.0,0.0,0.0,2,7246.64,5810.37
2011-03-22,0.0,6440.44,0.0,0.0,6440.44,0.0,0.0,6603.95,6495.69,6387.44,0.0,0.0,0.0,2,7237.56,5803.09
